start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"48.21654,16.31926","48.19847,16.47129",8:45,14768.0,11168.0,13443.76,inf,11168.0,3795.0,1357.0,11.443830249079872
"48.20792,16.34087","48.13082,16.47481",9:02,15511.0,11911.0,14457.56,inf,11911.0,4829.0,1445.0,13.12101236356411
"48.15581,16.39347","48.15438,16.39358",8:28,7464.0,264.0,303.04,0.0,264.0,117.0,142.0,0.15921797419399888
"48.24776,16.46948","48.29152,16.42479",6:34,10669.0,7069.0,8632.09,inf,7069.0,2522.0,913.0,5.883683595633374
"48.26568,16.32659","48.18439,16.27398",8:38,14025.0,10425.0,13122.93,inf,10425.0,3868.0,1614.0,9.843423602156898
"48.17844,16.22034","48.24707,16.35492",9:17,19244.0,12044.0,15083.58,inf,12044.0,5966.0,,12.556906624279819
"48.20635,16.35182","48.21913,16.30708",9:19,10536.0,3336.0,4036.3,inf,3336.0,1162.0,602.0,3.6068281515421456
"48.24564,16.30906","48.14221,16.34749",7:42,15211.0,11611.0,14272.75,inf,11611.0,4674.0,1657.0,11.84841287389734
"48.22438,16.23158","48.24339,16.50962",9:59,,,,,,7068.0,2519.0,20.70149982511216
"48.24139,16.31909","48.22959,16.30387",7:57,9635.0,2435.0,2921.89,inf,2435.0,801.0,,1.7298257589256445
"48.20353,16.52897","48.25731,16.38515",6:22,14211.0,10611.0,13165.54,inf,10611.0,3578.0,1257.0,12.21659524206027
"48.25487,16.43025","48.2379,16.44987",7:33,9695.0,2495.0,3064.13,inf,2495.0,945.0,438.0,2.381463987162257
"48.29007,16.48493","48.13561,16.28005",6:32,,,,,,7916.0,1853.0,22.92258170136895
"48.1582,16.22176","48.23516,16.53286",9:49,,,,,,9526.0,,24.595395274587194
"48.23197,16.24436","48.15102,16.45808",8:47,,,,,,5890.0,2357.0,18.221042035188432
"48.18354,16.40247","48.25948,16.33729",7:09,12794.0,9194.0,10976.04,inf,9194.0,3278.0,1270.0,9.727318785909503
"48.18069,16.46179","48.1997,16.57621",8:32,16864.0,9664.0,12115.51,inf,9664.0,3530.0,1705.0,8.741294358166726
"48.1911,16.41775","48.27384,16.45657",7:46,16870.0,9670.0,11897.76,inf,9670.0,3659.0,988.0,9.639107913657629
"48.14943,16.27894","48.19984,16.31937",7:32,9640.0,6040.0,7347.36,inf,6040.0,2361.0,956.0,6.356690939268809
"48.22309,16.22578","48.25432,16.23562",9:47,7351.0,3751.0,4874.31,inf,3751.0,1071.0,914.0,3.548258118259799
"48.18419,16.51756","48.25329,16.40203",9:25,17402.0,10202.0,12770.58,inf,10202.0,3490.0,1165.0,11.502178514691995
"48.15349,16.31748","48.28738,16.40168",6:19,,,,,,5532.0,1598.0,16.14192470879271
"48.20584,16.3616","48.1603,16.39986",6:14,12734.0,5534.0,6513.62,inf,5534.0,2409.0,952.0,5.804172194743479
