start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"50.69996,5.4821","50.67008,5.51095",8:45,10569.0,3369.0,4405.58,inf,3369.0,968.0,578.0,3.894889580432744
"50.68426,5.49244","50.67779,5.52675",9:02,9520.0,2320.0,3019.02,inf,2320.0,698.0,343.0,2.5221705184744825
"50.68118,5.49732","50.65358,5.52754",8:28,10791.0,3591.0,4637.8,inf,3591.0,1086.0,519.0,3.735617959691116
"50.66253,5.50919","50.66201,5.50921",6:34,7368.0,168.0,210.95,0.0,168.0,54.0,40.0,0.05783854391894971
"50.70185,5.4941","50.67276,5.48223",8:38,10485.0,3285.0,4319.76,inf,3285.0,937.0,418.0,3.3410004732367917
"50.68062,5.49979","50.68519,5.4897",9:17,7889.0,689.0,903.14,0.0,689.0,198.0,86.0,0.8738334445104
"50.69468,5.49014","50.65766,5.49881",9:19,12208.0,5008.0,6465.1,inf,5008.0,1599.0,699.0,4.16152364879088
"50.71233,5.50488","50.66748,5.54955",7:42,12257.0,5057.0,6585.98,inf,5057.0,1465.0,719.0,5.896862845703298
"50.69316,5.49241","50.68893,5.48897",9:59,8732.0,1532.0,2020.36,inf,1532.0,420.0,231.0,0.5291057743465197
"50.67245,5.51122","50.69963,5.49651",7:57,10310.0,3110.0,4078.23,inf,3110.0,890.0,474.0,3.1950139094818155
"50.71662,5.49371","50.71054,5.46581",6:22,9726.0,2526.0,3309.01,inf,2526.0,717.0,335.0,2.0774751502362054
"50.67143,5.52461","50.67824,5.55042",7:33,9128.0,1928.0,2486.49,inf,1928.0,617.0,323.0,1.9700831047496699
"50.67516,5.51467","50.70477,5.52343",6:32,10121.0,2921.0,3812.12,inf,2921.0,805.0,497.0,3.349810968617163
"50.71147,5.4901","50.67726,5.49343",9:49,10889.0,3689.0,4828.34,inf,3689.0,1046.0,530.0,3.81120301597862
"50.6617,5.49204","50.70962,5.51104",8:47,12677.0,5477.0,7138.89,inf,5477.0,1618.0,795.0,5.494017184716277
"50.71517,5.48794","50.66436,5.50816",7:09,9244.0,5644.0,7376.17,inf,5644.0,1622.0,786.0,5.826599187840807
"50.68043,5.502","50.66413,5.51063",8:32,9043.0,1843.0,2393.43,inf,1843.0,569.0,285.0,1.9117875407058256
"50.65603,5.5444","50.67086,5.51252",7:46,6191.0,2591.0,3341.01,inf,2591.0,872.0,463.0,2.787177570343417
"50.70085,5.47669","50.71036,5.53137",7:32,10672.0,3472.0,4521.97,inf,3472.0,1028.0,437.0,3.993146583893408
