start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"47.46756,8.56512","47.44899,8.59214",8:45,9932.0,2732.0,3412.34,inf,2732.0,944.0,331.0,2.8966212584823405
"47.45781,8.5748","47.45379,8.60694",9:02,9564.0,2364.0,2969.89,inf,2364.0,804.0,404.0,2.4574557735123266
"47.45589,8.57937","47.43874,8.60768",8:28,9787.0,2587.0,3176.12,inf,2587.0,1078.0,463.0,2.858075187373511
"47.4443,8.59049","47.44398,8.59051",6:34,7280.0,80.0,84.95,0.0,80.0,48.0,2.0,0.035614149733458875
"47.46475,8.60656","47.47449,8.59711",8:38,8669.0,1469.0,1906.4,0.0,1469.0,426.0,281.0,1.29519137253516
"47.46874,8.57635","47.45065,8.56523",9:17,9805.0,2605.0,3199.12,inf,2605.0,998.0,442.0,2.178323546247883
"47.44933,8.5539","47.4646,8.58234",9:19,9940.0,2740.0,3296.94,inf,2740.0,1216.0,573.0,2.7303906515740395
"47.45554,8.58169","47.45838,8.57223",7:42,7906.0,706.0,867.73,0.0,706.0,286.0,273.0,0.77819386469639
"47.46428,8.57265","47.44127,8.58077",9:59,9912.0,2712.0,3241.26,inf,2712.0,1037.0,329.0,2.6304314706750955
"47.47525,8.58645","47.44737,8.6283",7:57,11420.0,4220.0,5470.5,inf,4220.0,1412.0,603.0,4.416917429915238
"47.45955,8.55627","47.46378,8.61504",6:22,11864.0,4664.0,5840.54,inf,4664.0,1631.0,442.0,4.443120745753898
"47.46334,8.57477","47.46071,8.57155",7:33,7930.0,730.0,927.11,0.0,730.0,228.0,341.0,0.37963116393730434
"47.46633,8.59827","47.46256,8.60241",6:32,7589.0,389.0,511.77,0.0,389.0,106.0,115.0,0.5221000127966222
"47.47417,8.60982","47.4398,8.56652",9:49,11759.0,4559.0,5714.34,inf,4559.0,1569.0,620.0,5.020349791027373
"47.44483,8.5542","47.46195,8.61995",8:47,12881.0,5681.0,7276.83,inf,5681.0,1893.0,784.0,5.297524313886043
"47.46124,8.55897","47.44323,8.60415",7:09,10569.0,3369.0,4275.41,inf,3369.0,1263.0,493.0,3.9434540549117614
