start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"50.10587,14.34227","50.00912,14.49498",8:45,,,,,,5441.0,1613.0,15.31623222813449
"50.05505,14.39702","50.03411,14.57864",9:02,16962.0,13362.0,16764.14,inf,13362.0,4608.0,1369.0,13.176552988918711
"50.04506,14.42284","49.95572,14.58285",8:28,17697.0,14097.0,17986.94,inf,14097.0,4608.0,1342.0,15.14868121975123
"50.09124,14.57648","50.14194,14.52309",6:34,10706.0,7106.0,8876.58,inf,7106.0,2473.0,1092.0,6.802489022517205
"50.112,14.40578","50.0178,14.34293",8:38,15437.0,11837.0,14389.22,inf,11837.0,4340.0,1082.0,11.39480985818691
"50.04324,14.43592","50.05806,14.38247",9:17,9159.0,5559.0,6931.58,inf,5559.0,1962.0,975.0,4.156889397512617
"50.08877,14.38483","49.96891,14.43074",9:19,16618.0,13018.0,16289.76,inf,13018.0,4478.0,1499.0,13.725362180913773
"50.14592,14.46285","50.0007,14.69937",7:42,,,,,,6932.0,2277.0,23.359420161799093
"50.06414,14.29227","50.08616,14.62443",9:59,,,,,,7281.0,2080.0,23.83001747520182
"50.08385,14.39682","50.07017,14.37864",7:57,5652.0,2052.0,2499.64,inf,2052.0,784.0,482.0,1.9992364700560448
"50.03998,14.64755","50.10229,14.47574",6:22,16656.0,13056.0,16532.16,inf,13056.0,4346.0,1673.0,14.083989266260714
"50.09947,14.52962","50.07981,14.55305",7:33,6149.0,2549.0,3226.1,inf,2549.0,897.0,302.0,2.751909499681838
"50.07293,14.30754","49.97913,14.56286",6:32,,,,,,6545.0,1465.0,21.01067936799496
"50.01681,14.49643","50.10481,14.41856",9:49,14812.0,11212.0,13435.68,inf,11212.0,4586.0,1162.0,11.253811325557484
"50.01351,14.5673","50.03554,14.70398",8:47,13671.0,10071.0,12992.42,inf,10071.0,3255.0,1213.0,10.066769474320763
"50.02557,14.51469","50.12145,14.56106",7:09,14620.0,11020.0,13487.36,inf,11020.0,4082.0,1251.0,11.163139105600525
"49.97728,14.34886","50.0357,14.39715",8:32,10807.0,7207.0,9176.01,inf,7207.0,2291.0,770.0,7.355803401378145
"50.06264,14.28534","50.09883,14.2971",7:46,8098.0,4498.0,5766.65,inf,4498.0,1652.0,372.0,4.110702831485177
"50.01757,14.63392","50.09764,14.4959",7:32,15263.0,11663.0,14766.33,inf,11663.0,3994.0,1322.0,13.279831311103573
"50.14312,14.3846","50.03239,14.40224",9:47,15305.0,11705.0,14732.06,inf,11705.0,4208.0,1268.0,12.376765208067617
"49.98199,14.3949","50.13715,14.49548",9:25,,,,,,6356.0,1440.0,18.687392325901435
"50.13193,14.57959","50.03464,14.3113",6:19,,,,,,7057.0,2007.0,21.98806698155437
"50.08329,14.69841","50.14581,14.27285",6:14,,,,,,8893.0,3354.0,31.1303629042346
"50.04265,14.4476","49.98988,14.49331",6:36,9459.0,5859.0,7405.16,inf,5859.0,2442.0,724.0,6.715455458139137
"50.0495,14.58467","50.11933,14.25836",6:32,,,,,,8141.0,2194.0,24.542589864215504
"50.10875,14.3136","50.13954,14.60309",8:16,,,,,,5899.0,1990.0,20.919783892833582
"50.00921,14.54861","50.01391,14.28792",9:04,,,,,,5935.0,1241.0,18.635584557522566
"50.09842,14.56323","50.151,14.44274",6:49,13795.0,10195.0,12651.84,inf,10195.0,3754.0,1235.0,10.390609473767745
"50.04498,14.50173","50.12205,14.27546",8:55,,,,,,6049.0,1440.0,18.277992149915406
"50.07904,14.39414","50.13378,14.67208",7:03,,,,,,6386.0,1834.0,20.73517934664691
"50.11866,14.58927","50.07701,14.27275",8:02,,,,,,7040.0,1710.0,23.047203427384115
"50.07422,14.33029","49.97047,14.61751",7:20,,,,,,7491.0,1492.0,23.54009265430987
"50.0696,14.54302","49.95739,14.70432",7:39,,,,,,5017.0,1733.0,16.985879449180832
"50.09755,14.60841","49.95322,14.47964",8:02,,,,,,5560.0,1949.0,18.498190315114773
"50.04206,14.42921","50.1275,14.4619",9:20,13694.0,10094.0,11915.81,inf,10094.0,3798.0,1262.0,9.782607757801875
"50.04004,14.34686","50.17486,14.66702",6:47,,,,,,8114.0,2076.0,27.313818388869453
"50.1582,14.45372","49.96317,14.47187",8:56,,,,,,7428.0,2132.0,21.725014838213664
"50.01561,14.34925","49.95281,14.28046",9:48,12368.0,8768.0,11351.66,inf,8768.0,3035.0,1050.0,8.541260130160422
"50.01284,14.48942","50.17286,14.53028",9:07,,,,,,6693.0,1946.0,18.030574644824444
"50.11038,14.3254","50.03845,14.69087",9:41,,,,,,8390.0,2563.0,27.28021707130564
"50.01253,14.36786","50.09125,14.40601",8:35,12386.0,8786.0,10963.59,inf,8786.0,3071.0,1027.0,9.167268481458592
"50.08252,14.53298","50.01077,14.24782",9:28,,,,,,7249.0,1584.0,21.869167087823794
"50.1091,14.4378","50.16766,14.64633",7:52,17554.0,13954.0,17813.65,inf,13954.0,4788.0,1464.0,16.225593882002833
"50.02558,14.30552","50.16088,14.67794",9:38,,,,,,9084.0,2007.0,30.531008402652837
"49.99482,14.40662","50.148,14.48964",7:33,,,,,,5672.0,1746.0,18.03394757806028
"50.0756,14.50479","49.99481,14.54659",6:21,12817.0,9217.0,11422.98,inf,9217.0,3056.0,1102.0,9.466524930163928
"50.01197,14.44875","50.04036,14.67433",9:54,,,,,,4960.0,1978.0,16.420783657565142
"50.08018,14.4972","50.16524,14.47109",6:30,13742.0,10142.0,12448.35,inf,10142.0,3904.0,1177.0,9.639671081470496
"50.0849,14.39343","50.1331,14.40003",6:27,10594.0,6994.0,8327.48,inf,6994.0,2932.0,1123.0,5.38022182951055
"50.03358,14.40931","50.11962,14.3495",9:34,14127.0,10527.0,13118.11,inf,10527.0,3672.0,1005.0,10.476072396275635
"50.00622,14.3938","49.99025,14.38945",7:33,7273.0,3673.0,4743.86,inf,3673.0,1072.0,425.0,1.8027979480204288
"50.14968,14.56949","50.13554,14.68703",6:12,12296.0,8696.0,11299.14,inf,8696.0,2597.0,1244.0,8.522482025325209
"50.04128,14.29075","49.99942,14.37719",9:40,10722.0,7122.0,9203.26,inf,7122.0,2407.0,640.0,7.733320065633447
"50.07477,14.5541","49.98676,14.33693",8:03,,,,,,6349.0,1626.0,18.3412065274977
"50.0072,14.49895","50.11655,14.39309",8:42,17076.0,13476.0,16482.87,inf,13476.0,4884.0,1322.0,14.315969194932334
"50.06968,14.66481","50.10529,14.50882",6:05,14043.0,10443.0,13224.39,inf,10443.0,3432.0,1421.0,11.81246430962424
"50.02007,14.54511","50.16652,14.59927",6:00,,,,,,5441.0,1786.0,16.736542269658937
"50.10396,14.45703","49.98982,14.61625",9:11,,,,,,6035.0,1520.0,17.039299063636943
"50.10082,14.27663","49.94307,14.39872",8:34,,,,,,6247.0,1297.0,19.589947637104824
"49.99025,14.40579","49.98057,14.64185",6:58,,,,,,5090.0,1292.0,16.911723382509464
"50.09631,14.35662","50.0373,14.2744",9:10,12401.0,8801.0,10987.66,inf,8801.0,3057.0,772.0,8.803057316579045
"50.0038,14.42312","50.00566,14.32251",7:22,13218.0,9618.0,12316.1,inf,9618.0,3408.0,1216.0,7.1933375269550925
"50.16655,14.52976","49.9659,14.44339",7:13,,,,,,7758.0,2445.0,23.14727886631529
"50.04151,14.64419","50.02936,14.36751",8:18,,,,,,6342.0,1548.0,19.80716420954827
"50.06508,14.27947","49.96737,14.62967",9:36,,,,,,8191.0,1571.0,27.27899548685899
"50.05184,14.491","50.0301,14.63976",9:15,13741.0,10141.0,12786.77,inf,10141.0,3332.0,1194.0,10.895079707068238
"50.09542,14.60007","49.99658,14.29885",7:43,,,,,,7930.0,2149.0,24.15424333038363
"49.98068,14.34788","50.08611,14.56721",7:27,,,,,,6374.0,1505.0,19.566492846625934
"50.09393,14.5933","49.95077,14.34379",9:44,,,,,,7460.0,1871.0,23.898669783150396
"50.13276,14.52363","49.97256,14.70062",7:30,,,,,,6786.0,2553.0,21.840270545165904
"50.14979,14.43106","50.15845,14.58596",7:52,13237.0,9637.0,12441.86,inf,9637.0,2982.0,1372.0,11.077832373412981
"50.15242,14.43605","50.05872,14.37935",6:06,14579.0,10979.0,13201.82,inf,10979.0,4009.0,1499.0,11.176153236705652
"50.04571,14.42262","50.16161,14.46037",7:45,17166.0,13566.0,16616.81,inf,13566.0,4798.0,1613.0,13.165719816748123
"50.08718,14.70263","50.03708,14.28202",8:51,,,,,,9665.0,2782.0,30.53652399220791
"50.0869,14.54669","49.95554,14.41358",6:26,,,,,,6557.0,2059.0,17.42951018314013
