start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"51.384,12.30825","51.29821,12.4066",8:45,20299.0,13099.0,16216.46,inf,13099.0,4559.0,1512.0,11.733299030842796
"51.33894,12.34351","51.32037,12.46048",9:02,16198.0,8998.0,10876.21,inf,8998.0,3111.0,1429.0,8.385165096507489
"51.33008,12.36014","51.25086,12.46319",8:28,17656.0,10456.0,13237.99,inf,10456.0,3462.0,1031.0,11.355454630889943
"51.37102,12.45908","51.41598,12.4247",6:34,12546.0,5346.0,6877.32,inf,5346.0,1705.0,500.0,5.539238619962901
"51.38943,12.34915","51.30591,12.30868",8:38,16658.0,9458.0,11972.45,inf,9458.0,3162.0,1543.0,9.703011516159352
"51.29979,12.26741","51.37031,12.37095",9:17,17579.0,10379.0,12959.41,inf,10379.0,4044.0,1583.0,10.640853340699683
"51.32847,12.36857","51.3416,12.33414",9:19,10032.0,2832.0,3474.92,inf,2832.0,1070.0,566.0,2.8022573403610793
"51.32752,12.52568","51.42517,12.39161",7:42,20308.0,13108.0,16678.26,inf,13108.0,4260.0,894.0,14.300112658184254
"51.36884,12.33566","51.26256,12.36523",9:59,18010.0,10810.0,13653.95,inf,10810.0,3555.0,1436.0,11.995158007128811
"51.41951,12.38591","51.29075,12.53823",7:57,,,,,,6031.0,1150.0,17.800710068903477
"51.347,12.27605","51.36653,12.48997",6:22,21306.0,14106.0,17558.82,inf,14106.0,5420.0,1953.0,15.012033446843281
"51.36447,12.34339","51.35234,12.33167",7:33,9283.0,2083.0,2640.41,inf,2083.0,690.0,562.0,1.5752737708455444
"51.32557,12.50486","51.38083,12.39421",6:32,17414.0,10214.0,12903.67,inf,10214.0,3775.0,1130.0,9.838629778023241
"51.37832,12.42891","51.36089,12.444",9:49,9509.0,2309.0,2916.23,inf,2309.0,802.0,339.0,2.203098326883122
"51.27899,12.2685","51.35807,12.50785",8:47,,,,,,6955.0,1854.0,18.815021591964275
"51.36953,12.24438","51.38963,12.41967",7:09,18985.0,11785.0,14960.76,inf,11785.0,3900.0,1742.0,12.369285328326162
"51.35479,12.28589","51.27162,12.45032",8:32,20646.0,13446.0,17061.4,inf,13446.0,4862.0,1887.0,14.70162264722705
"51.30503,12.40753","51.38306,12.35739",7:46,15881.0,8681.0,10510.85,inf,8681.0,3257.0,1274.0,9.349368269539308
"51.3021,12.45318","51.32163,12.5412",7:32,13550.0,6350.0,8270.68,inf,6350.0,1855.0,694.0,6.491898739344018
"51.3128,12.41929","51.39781,12.44916",9:47,16401.0,9201.0,11353.74,inf,9201.0,3628.0,1176.0,9.677570082418821
"51.26998,12.3125","51.32178,12.3436",9:25,12696.0,5496.0,6978.64,inf,5496.0,2018.0,,6.152423994900443
"51.34567,12.27159","51.37776,12.27917",6:19,11129.0,3929.0,5002.12,inf,3929.0,1242.0,862.0,3.606847116250954
"51.3057,12.49608","51.3767,12.40719",6:14,17641.0,10441.0,13159.1,inf,10441.0,3770.0,1212.0,10.022572723635898
"51.41703,12.33551","51.31884,12.34687",6:36,17951.0,10751.0,13617.15,inf,10751.0,3658.0,1358.0,10.94667371001916
"51.27415,12.34215","51.41173,12.40692",6:32,,,,,,5334.0,1944.0,15.94598379171642
"51.4071,12.46109","51.32084,12.28831",8:16,21475.0,14275.0,17771.56,inf,14275.0,5343.0,1931.0,15.358836044641661
"51.32794,12.37609","51.28115,12.40553",9:04,12242.0,5042.0,6403.31,inf,5042.0,1550.0,736.0,5.59086038471022
"51.33402,12.46436","51.39593,12.25422",6:49,,,,,,4965.0,1790.0,16.131660727930637
"51.38656,12.28979","51.41385,12.47622",8:55,19121.0,11921.0,15311.79,inf,11921.0,3823.0,1410.0,13.284234411650017
"51.29829,12.44114","51.30246,12.27325",7:03,17634.0,10434.0,13282.48,inf,10434.0,3371.0,1387.0,11.681461084841613
"51.37739,12.45055","51.42401,12.37296",8:02,15341.0,8141.0,10522.65,inf,8141.0,2574.0,725.0,7.472904446694841
"51.33,12.41095","51.39835,12.26523",7:20,18690.0,11490.0,14254.28,inf,11490.0,3915.0,1569.0,12.653575517800443
"51.36021,12.34166","51.40875,12.52065",7:39,19757.0,12557.0,15989.78,inf,12557.0,4306.0,1700.0,13.54314632959266
"51.39534,12.46733","51.35841,12.26348",8:02,20789.0,13589.0,17165.19,inf,13589.0,4778.0,1937.0,14.732540929058963
"51.35593,12.30054","51.26394,12.48551",9:20,,,,,,5272.0,1659.0,16.429603371751618
"51.31762,12.24838","51.37813,12.43224",6:47,20574.0,13374.0,16493.89,inf,13374.0,4847.0,1834.0,14.433522799341539
"51.35184,12.43754","51.25234,12.54142",8:56,19840.0,12640.0,16085.58,inf,12640.0,3992.0,1367.0,13.212272960872522
"51.39925,12.2706","51.35835,12.45162",9:48,19644.0,12444.0,15705.1,inf,12444.0,4435.0,1092.0,13.361386928778916
"51.32742,12.36424","51.40318,12.3853",9:07,15309.0,8109.0,9794.15,inf,8109.0,3042.0,1135.0,8.550065786336036
"51.32563,12.31121","51.44517,12.5174",9:41,,,,,,6056.0,2328.0,19.529830037882277
"51.30396,12.31275","51.24828,12.26845",8:35,13864.0,6664.0,8635.84,inf,6664.0,2196.0,467.0,6.915800067852696
"51.30151,12.40302","51.4434,12.42934",9:28,,,,,,5244.0,1624.0,15.882874572284074
"51.40542,12.30261","51.4054,12.37388",7:52,12329.0,5129.0,6626.83,inf,5129.0,1548.0,658.0,4.9435754561388165
"51.388,12.29739","51.32421,12.53275",9:38,,,,,,5695.0,1218.0,17.815989427346707
"51.31664,12.27145","51.28313,12.30996",7:33,12306.0,5106.0,6524.95,inf,5106.0,2034.0,778.0,4.588293350888162
"51.30123,12.32474","51.37103,12.3493",6:21,14555.0,7355.0,9092.67,inf,7355.0,2784.0,1274.0,7.946722768606421
"51.36329,12.43108","51.29967,12.24743",9:54,21289.0,14089.0,17478.66,inf,14089.0,5351.0,2012.0,14.589170619217764
"51.38686,12.36977","51.43879,12.50407",6:30,16661.0,9461.0,12138.5,inf,9461.0,3123.0,1138.0,10.958794449333666
"51.31281,12.28459","51.43278,12.52443",6:27,,,,,,6881.0,2444.0,21.33346233670473
