walk_time,bike_time,car_time,line_distance
,6733.0,1590.0,23.678393247565076
,8897.0,2156.0,27.09843566688016
12521.0,4038.0,1368.0,12.111560462220405
,,,25.92036462046285
6958.0,1963.0,531.0,7.4565913958159395
4747.0,1340.0,758.0,4.904617725260867
,7259.0,2353.0,20.027205443129617
,,,18.093245658891608
,6797.0,1153.0,19.826648367279446
,7808.0,1497.0,23.72884920546528
,13887.0,3324.0,55.828317905507895
13779.0,4215.0,1655.0,11.954277945208487
,12812.0,2871.0,44.02009174470401
,9535.0,2599.0,33.53164354189934
,,,18.57419629647456
,10521.0,2523.0,32.73800378855206
,11532.0,3014.0,41.35488872454607
,12607.0,3198.0,36.4175674268345
,11092.0,2405.0,39.01108192155824
,,,30.33195627528954
,11866.0,2376.0,32.927974720859694
,6030.0,1667.0,17.365504317656402
,10313.0,3044.0,40.40450874346664
13848.0,3975.0,1071.0,15.228205031346144
,9548.0,2601.0,31.996896215894765
11246.0,3967.0,1117.0,10.70932446643218
,10641.0,2591.0,16.280526071137846
,10714.0,2715.0,39.24455342285103
,8739.0,1710.0,29.04734038173933
,,3223.0,54.65825820245464
,5609.0,1233.0,16.817232041038288
,11667.0,2449.0,29.519667037586608
,9642.0,2483.0,18.624855873276633
13919.0,3966.0,1224.0,13.841926798519417
,7994.0,2135.0,25.487387045563057
,6344.0,1593.0,21.182981743721662
,13441.0,3414.0,42.27540805597521
,10300.0,2138.0,29.7116319153154
,,,30.407692585219998
,12682.0,2756.0,38.29305203151504
,7505.0,2169.0,25.938138825519644
,14206.0,3296.0,12.789620307676499
,13044.0,2815.0,35.61508780143553
,5336.0,1307.0,19.576017895047354
,12611.0,3019.0,43.302771560783285
,14014.0,2400.0,42.72711562765052
,,,38.916487234859055
,13721.0,2953.0,44.59598451259891
,7461.0,1827.0,23.366995046235708
9703.0,2696.0,1013.0,9.529156880679121
,9322.0,1992.0,31.049278960671085
,4852.0,1455.0,16.84413262519836
,12639.0,3218.0,40.986137391297206
,7865.0,1973.0,27.787995055300303
,11655.0,2335.0,31.6846828258465
10890.0,3410.0,1043.0,11.608943018264968
8209.0,2860.0,1048.0,9.18073766831425
12702.0,3660.0,1006.0,13.925899547123922
,8023.0,2783.0,15.928604159795672
,10718.0,2627.0,31.410660623056078
,,4313.0,23.998230846140157
,7443.0,1931.0,25.877977000601927
14327.0,4389.0,1255.0,14.105834646911603
,9120.0,2236.0,30.957434172399655
,11906.0,2819.0,41.461857980857914
12371.0,3538.0,1658.0,10.691784338747105
9405.0,2796.0,874.0,10.356798107855598
,,,55.002465420020776
,11622.0,2473.0,21.04287808592629
,10124.0,1603.0,31.25828907141003
12745.0,4253.0,1216.0,13.6925361130068
,12177.0,2637.0,28.510013259460727
,12235.0,3232.0,47.183371996895154
13055.0,3699.0,1025.0,14.379139457908773
,5433.0,1658.0,20.03364449667268
,4969.0,1312.0,9.061953159171905
,9946.0,2081.0,26.98276825218032
,12053.0,2820.0,40.898817450099784
11011.0,3209.0,1052.0,10.407177667283301
,,3314.0,50.95020708085133
,7240.0,1624.0,21.13243156003607
,7822.0,2166.0,28.133786249954767
,12194.0,2811.0,44.5623732626056
,7215.0,1627.0,25.057264193225688
13665.0,4644.0,883.0,12.914692837535574
,4111.0,937.0,15.569905977985934
,6588.0,1732.0,23.819244035897256
,9381.0,2125.0,33.350002683356855
,5884.0,1252.0,15.492800943485824
,10306.0,2326.0,15.498847325019533
7162.0,2047.0,795.0,6.716349940548201
,5693.0,1109.0,21.215236670243314
,8162.0,2334.0,26.751761054921488
,7134.0,1720.0,24.258432995408725
7736.0,2293.0,604.0,9.274220553441708
6930.0,2207.0,513.0,6.738667858442952
,,,37.07710735358356
,9326.0,2313.0,28.670539825979958
,4916.0,1367.0,18.65566374429421
,,3216.0,47.180587574087035
,8453.0,1765.0,28.870401904403394
,7259.0,1813.0,23.917095175917066
,8166.0,1628.0,28.561035317090493
,11254.0,3040.0,26.268716352259123
,10319.0,2713.0,28.191864478267505
,,3416.0,51.32381903242994
,13509.0,2893.0,17.497937962910946
12126.0,3668.0,1307.0,13.975620814118367
,7938.0,1517.0,20.316780093356776
,9021.0,1833.0,32.9006168330155
,4204.0,1452.0,13.711851147322575
,4367.0,1113.0,16.409679883072368
14222.0,4551.0,1090.0,13.725610829884005
,4525.0,1572.0,15.168408959020512
,5095.0,1138.0,18.853802968468838
4862.0,1350.0,674.0,6.124271523391259
,9975.0,2309.0,31.035134906678547
9065.0,2523.0,763.0,8.88365074729881
2292.0,628.0,258.0,2.299155976407728
12027.0,3779.0,1286.0,12.656683342632624
,6681.0,1754.0,22.21872451600086
,4680.0,1238.0,13.414007979279681
,10700.0,2351.0,32.617721353320626
,,,28.196195301681502
,7333.0,1928.0,24.761660160039387
,11224.0,2361.0,31.101116629413138
,13549.0,3642.0,40.01713189320274
,,3119.0,24.20953309716475
,5965.0,1700.0,20.782155764812973
3639.0,990.0,451.0,4.077526804015084
,9458.0,2606.0,31.17075943723115
,6543.0,1908.0,21.893230825894634
,11011.0,2133.0,24.494121517078366
4260.0,1322.0,441.0,2.466667064884716
,,,38.0803969697621
,12403.0,2740.0,24.43643588277753
,11731.0,2483.0,41.21913838039989
,,3348.0,49.105851591423416
8667.0,2370.0,810.0,8.133556505887652
,5586.0,1408.0,22.08429348719375
,,3216.0,49.976654461429696
11729.0,3857.0,1335.0,12.126751409137519
,9464.0,1963.0,20.95308085695337
,11413.0,2975.0,26.862267535372997
,,,22.58177127949182
,8171.0,1799.0,30.061900770651768
,5040.0,1484.0,16.52139434753309
,13812.0,2752.0,22.43419751991137
11667.0,3802.0,1148.0,12.36870024483103
,,,20.853140236049374
,10812.0,2782.0,39.297348060017825
,11568.0,2678.0,36.150561647899416
,6560.0,1047.0,11.598246780271838
,7185.0,1491.0,14.341745954361025
,11386.0,3053.0,36.864526206884065
,5743.0,1294.0,16.932720891474748
,10234.0,3062.0,39.17709762826169
,9875.0,2058.0,26.717327634323695
,,,19.779069384888086
,13465.0,3137.0,45.34324163747928
,8070.0,1881.0,28.823568324582048
,,,44.17293572112215
11730.0,3303.0,1033.0,13.33825046165627
,5535.0,1378.0,18.425120225340198
,5950.0,1634.0,21.562465374257748
14094.0,4804.0,2081.0,15.224413625231035
,6890.0,1827.0,19.655858988519913
,11815.0,3371.0,40.420976900905174
,,,14.694420595272625
,4812.0,1327.0,17.43633944097424
,9376.0,2517.0,30.41334854339601
,12139.0,2902.0,40.60007911564665
,12340.0,2067.0,18.61135683339487
,9985.0,2380.0,37.675027947143256
,,,21.818806672542365
,,3434.0,53.64083133942903
,5140.0,1662.0,19.214454657662845
,,4406.0,10.886502143610862
,13721.0,2946.0,28.62110856441337
,,4050.0,31.291015141849282
,,,34.18364069819961
,8429.0,2341.0,29.750943173212914
8714.0,2713.0,983.0,8.592748112265884
14287.0,3982.0,1234.0,15.270754317934617
,14082.0,2974.0,46.75708625470231
,10068.0,2493.0,18.40966639123938
,12856.0,3026.0,40.64674652637853
,,4103.0,21.98644747409357
,10250.0,2108.0,21.967352027974655
,11482.0,2436.0,35.00759713282474
12128.0,3603.0,1071.0,10.986834465027579
,8635.0,2060.0,26.83695980588135
,6394.0,1636.0,21.853461348728302
,10940.0,2218.0,25.318720742128818
