start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"59.45753,24.70019","59.36725,24.82813",8:45,15650.0,12050.0,14625.39,inf,12050.0,4250.0,1284.0,12.376580735540873
"59.39651,24.75044","59.39483,24.75054",9:02,,,,,,,,0.18689323251186146
"59.45569,24.71065","59.47066,24.66791",8:28,6770.0,3170.0,4030.89,inf,3170.0,1123.0,513.0,2.9328474360895984
"59.45461,24.90572","59.56589,24.73925",6:34,,,,,,,,15.534461560860434
"59.45239,24.87986","59.51536,24.74249",8:38,,,,,,,,10.44925562640186
"59.42898,24.75903","59.5179,24.69677",9:17,,,,,,,,10.494147252788537
"59.42564,24.8157","59.4479,24.92499",9:19,13434.0,6234.0,7755.28,inf,6234.0,2241.0,,6.656702246555535
"59.43783,24.77363","59.53472,24.81071",7:42,14159.0,10559.0,13465.03,inf,10559.0,3518.0,1262.0,10.975189251640616
"59.38904,24.64104","59.44807,24.67965",9:59,10078.0,6478.0,7907.37,inf,6478.0,2197.0,1209.0,6.917719419109298
"59.42975,24.86897","59.51066,24.75861",7:57,,,,,,,,10.945388363043035
"59.39379,24.67785","59.55058,24.75827",6:22,,,,,,,,18.016256782484028
"59.45509,24.71999","59.40176,24.75654",7:33,13247.0,6047.0,7354.49,inf,6047.0,2131.0,938.0,6.279975350402366
"59.46201,24.82959","59.53257,24.56867",6:32,,,,,,,,16.686047372370123
"59.4213,24.80076","59.42605,24.59231",9:49,18353.0,11153.0,13353.93,inf,11153.0,3971.0,1296.0,11.802433014450195
"59.37251,24.70069","59.38601,24.71008",8:47,8751.0,1551.0,1967.42,0.0,1551.0,512.0,251.0,1.592555954642768
"59.3607,24.72837","59.53049,24.59621",7:09,,,,,,,,20.304068799768704
"59.4545,24.70528","59.54083,24.73142",8:32,,,,,,,,9.712167207402114
"59.42777,24.64135","59.36431,24.58634",7:46,14564.0,7364.0,9417.67,inf,7364.0,2328.0,929.0,7.713022843667734
"59.42497,24.75343","59.58667,24.7861",7:32,,,,,,,,18.07447185823389
"59.44221,24.59008","59.40402,24.63788",9:47,8617.0,5017.0,6230.89,inf,5017.0,1850.0,855.0,5.034224586175903
"59.42465,24.65623","59.5042,24.68673",9:25,,,,,,,,9.011822584065413
"59.43784,24.60638","59.57456,24.90416",6:19,,,,,,,,22.659098985589754
"59.40676,24.68722","59.56154,24.7536",6:14,,,,,,,,17.61411549490914
"59.42409,24.72091","59.45277,24.90127",6:36,13592.0,9992.0,12201.17,inf,9992.0,3956.0,1140.0,10.684339256828853
"59.36544,24.69054","59.44995,24.87297",6:32,16401.0,12801.0,15967.62,inf,12801.0,4158.0,1330.0,13.960081179436916
"59.44592,24.68937","59.53287,24.64155",8:16,,,,,,,,10.038215865204153
"59.41828,24.67697","59.40214,24.67349",9:04,9215.0,2015.0,2349.22,inf,2015.0,718.0,370.0,1.8054570434156243
"59.38764,24.7773","59.37499,24.68745",6:49,13194.0,5994.0,7731.13,inf,5994.0,1875.0,1227.0,5.279401999461939
"59.41927,24.76104","59.52977,24.67641",8:55,,,,,,,,13.183980863090381
"59.4824,24.89367","59.51838,24.76894",7:03,,,,,,,,8.0966563354105
"59.43227,24.79796","59.58026,24.84126",8:02,,,,,,,,16.636121489252325
"59.40322,24.63245","59.45339,24.86868",7:20,20359.0,13159.0,15895.26,inf,13159.0,4820.0,1669.0,14.478041017683461
"59.46174,24.90148","59.4197,24.6687",7:39,20000.0,12800.0,15659.86,inf,12800.0,4662.0,1476.0,13.96574295744921
