start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"37.99982,23.79618","37.98784,23.80928",8:45,5274.0,1674,2133.57,inf,1674,583,360,1.7585028106604998
"37.99353,23.80088","37.99093,23.81646",9:02,5008.0,1408,1789.47,0.0,1408,483,745,1.3955816663958105
"37.99229,23.80309","37.98122,23.81682",8:28,5419.0,1819,2337.47,inf,1819,629,307,1.7213546743917032
"38.00058,23.80163","37.98891,23.79624",6:34,4958.0,1358,1751.1,0.0,1358,544,303,1.3809304374706275
"37.99206,23.80422","37.9939,23.79963",8:38,4023.0,423,537.43,0.0,423,182,104,0.45127296059775124
"37.9977,23.79983","37.98286,23.80377",9:17,5262.0,1662,2140.48,inf,1662,577,350,1.6858694936357492
"38.00478,23.80653","37.98679,23.82682",9:19,6393.0,2793,3617.62,inf,2793,988,1232,2.676333287833581
"37.99709,23.80086","37.9954,23.7993",7:42,3854.0,254,319.77,0.0,254,96,105,0.23237944820916817
"38.0065,23.80145","38.00406,23.78878",9:59,4817.0,1217,1467.84,0.0,1217,402,195,1.1427756576330002
"37.98838,23.81549","37.99111,23.82722",7:57,4971.0,1371,1790.23,0.0,1371,458,696,1.071844181920218
"37.98987,23.81097","38.00175,23.81495",6:22,5010.0,1410,1769.67,0.0,1410,563,435,1.3662585101289304
"37.98888,23.82121","37.9988,23.80936",7:33,5060.0,1460,1878.42,0.0,1460,515,588,1.5149382902114916
"38.00443,23.79981","37.99072,23.80132",6:32,5000.0,1400,1783.32,0.0,1400,512,309,1.5302136873684316
"38.00592,23.79883","37.98554,23.80802",9:49,5752.0,2152,2757.32,inf,2152,795,485,2.4049857253838756
"37.99199,23.80522","37.98545,23.80914",8:47,4603.0,1003,1286.03,0.0,1003,460,659,0.8042742918765814
"37.98221,23.82448","37.98815,23.81",7:09,5360.0,1760,2293.47,inf,1760,521,471,1.4306312999800472
"37.99284,23.81698","38.00149,23.78898",8:32,5984.0,2384,3059.1,inf,2384,814,563,2.635328010548195
"38.00018,23.79372","38.00399,23.81856",7:46,5679.0,2079,2656.18,inf,2079,647,359,2.2173370030120125
"37.99228,23.80986","38.00182,23.79045",7:32,5443.0,1843,2368.93,inf,1843,635,302,2.004521882442661
"37.9965,23.80063","38.00328,23.82448",9:47,5580.0,1980,2532.57,inf,1980,746,383,2.221634606192419
"37.99533,23.81341","37.98143,23.82725",9:25,5406.0,1806,2344.78,inf,1806,585,1426,1.9646920370504315
"38.00195,23.79116","37.99624,23.81528",6:19,6046.0,2446,3081.14,inf,2446,820,402,2.2067982709402325
"37.99192,23.80364","38.0025,23.80644",6:14,4748.0,1148,1466.13,0.0,1148,395,209,1.201754849368617
"37.98478,23.82117","37.98886,23.79457",6:36,6071.0,2471,3146.85,inf,2471,756,560,2.374920193978391
"38.0063,23.80574","37.98215,23.8073",6:32,7827.0,4227,5453.58,inf,4227,1437,1186,2.6888347500223073
"37.98644,23.82316","38.00307,23.78876",8:16,6860.0,3260,4151.95,inf,3260,1066,804,3.5364223221721867
"37.98231,23.82591","37.99297,23.80082",9:04,6087.0,2487,3209.48,inf,2487,894,1228,2.4979719368283884
"38.00281,23.79543","38.00281,23.80492",6:49,4421.0,821,1047.82,0.0,821,278,159,0.8315084888330742
"38.00038,23.79473","37.99147,23.82609",8:55,6752.0,3152,4062.92,inf,3152,1006,897,2.9211475530018767
"37.99693,23.81254","37.98804,23.78807",7:03,6957.0,3357,4330.26,inf,3357,1077,730,2.361231146748593
"37.98082,23.82624","38.00024,23.82222",8:02,6527.0,2927,3792.31,inf,2927,1038,1504,2.187953298064147
"38.00022,23.80438","38.00747,23.82227",7:20,5378.0,1778,2247.15,inf,1778,668,369,1.7626465787639254
