start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"41.50234,2.2765","41.48668,2.29037",8:45,9847.0,2647,3384.25,inf,2647,834,451.0,2.08965051089022
"41.49411,2.28147","41.49072,2.29798",9:02,8722.0,1522,1952.52,0.0,1522,594,268.0,1.4258448040103677
"41.49249,2.28382","41.47803,2.29836",8:28,6108.0,2508,3202.43,inf,2508,792,446.0,2.0130080268773973
"41.49997,2.29778","41.50817,2.29293",6:34,8963.0,1763,2280.25,inf,1763,571,155.0,0.9972450974995546
"41.50333,2.28227","41.48808,2.27656",8:38,6144.0,2544,3300.41,inf,2544,892,802.0,1.7611454472050847
"41.4922,2.28501","41.4946,2.28015",9:17,4070.0,470,609.77,0.0,470,254,374.0,0.4848373341580136
"41.49203,2.30718","41.50985,2.28826",9:19,10250.0,3050,3906.46,inf,3050,1028,602.0,2.531589646569077
"41.49957,2.28037","41.48017,2.28454",7:42,10017.0,2817,3617.19,inf,2817,951,599.0,2.184964995884855
"41.50882,2.28745","41.48531,2.30895",9:59,6552.0,2952,3779.38,inf,2952,997,464.0,3.1686372123402777
"41.49877,2.28146","41.49656,2.2798",7:57,7586.0,386,494.6,0.0,386,164,54.0,0.281960232633874
"41.49167,2.30424","41.50176,2.28863",6:22,9209.0,2009,2584.57,inf,2009,621,491.0,1.7172546973383906
"41.5013,2.29352","41.49812,2.29565",7:33,7683.0,483,622.72,0.0,483,146,94.0,0.39559972218702816
"41.5079,2.29946","41.47893,2.27722",6:32,7331.0,3731,4783.72,inf,3731,1200,664.0,3.7159166131483805
"41.48792,2.29051","41.50216,2.28343",9:49,5358.0,1758,2228.26,inf,1758,554,297.0,1.6896490504673616
"41.51106,2.28208","41.50788,2.26866",8:47,5267.0,1667,2187.0,inf,1667,473,2039.0,1.1720661007473314
"41.48739,2.29695","41.49095,2.30936",7:09,8778.0,1578,1965.43,0.0,1578,530,276.0,1.1068837834540024
