start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"36.82119,-4.26761","36.74501,-4.36426",8:45,20160.0,12960.0,16968.42,inf,12960.0,3625.0,2660.0,12.076481092096119
"36.75988,-4.47584","36.73705,-4.34982",9:02,21117.0,13917.0,17588.54,inf,13917.0,5090.0,1806.0,11.51142211062159
"36.74899,-4.45792","36.6516,-4.3469",8:28,,,,,,,,14.671024651282798
"36.79933,-4.35132","36.8546,-4.38837",6:34,15633.0,8433.0,11090.96,inf,8433.0,4177.0,4944.0,6.974581146267059
"36.71175,-4.55784","36.79845,-4.44628",8:38,,,,,,6401.0,2104.0,13.846342608787754
"36.74701,-4.44885","36.76316,-4.48594",9:17,12039.0,4839.0,6297.46,inf,4839.0,1349.0,1196.0,3.760780888229673
"36.79664,-4.4843","36.66598,-4.45244",9:19,,,,,,5770.0,1750.0,14.80356075968944
"36.76979,-4.54852","36.7938,-4.31805",7:42,,,,,,9020.0,2942.0,20.69819576360216
"36.79127,-4.47597","36.77636,-4.4886",9:59,10060.0,2860.0,3758.11,inf,2860.0,798.0,606.0,2.003450217295515
"36.8083,-4.38383","36.78687,-4.36757",7:57,12051.0,4851.0,6303.09,inf,4851.0,1912.0,1482.0,2.788251697361562
"36.85278,-4.33851","36.65764,-4.50834",6:22,,,,,,8738.0,3075.0,26.45270617846637
"36.71819,-4.40686","36.81412,-4.46089",7:33,19857.0,12657.0,16174.29,inf,12657.0,4425.0,1519.0,11.702413923748994
"36.72774,-4.39419","36.83227,-4.36202",6:32,20465.0,13265.0,17311.84,inf,13265.0,4147.0,2102.0,11.971113870362363
"36.6751,-4.50926","36.73879,-4.47575",9:49,15889.0,8689.0,11044.45,inf,8689.0,2968.0,1104.0,7.686254781935543
"36.76815,-4.55333","36.80761,-4.54517",8:47,11946.0,4746.0,6273.66,inf,4746.0,1305.0,1502.0,4.447516073320178
"36.68023,-4.47731","36.84938,-4.40752",7:09,,,,,,7836.0,2638.0,19.809400477717833
"36.84368,-4.34916","36.73763,-4.53531",8:32,,,,,,7898.0,2672.0,20.34281760088052
"36.74636,-4.44075","36.68883,-4.40903",7:46,,,,,,,,6.993982064063374
"36.75383,-4.34564","36.82995,-4.57205",7:32,,,,,,8343.0,5158.0,21.865727339174935
"36.80716,-4.36051","36.86448,-4.44411",9:47,20961.0,13761.0,18057.63,inf,13761.0,4040.0,2599.0,9.796838052158277
"36.7489,-4.40319","36.83292,-4.56019",9:25,,,,,,6430.0,3202.0,16.81483410085283
"36.78603,-4.47784","36.84571,-4.28498",6:19,,,,,,8030.0,4008.0,18.406081347279674
"36.82923,-4.34244","36.78382,-4.56207",6:14,,,,,,7379.0,3745.0,20.19501568101315
"36.85716,-4.29077","36.84742,-4.54591",6:36,,,,,,9605.0,4923.0,22.727262155802332
"36.73367,-4.57834","36.80806,-4.38024",6:32,,,,,,8060.0,2995.0,19.487636050318812
"36.77574,-4.37454","36.65342,-4.26261",8:16,,,,,,,,16.868266225909082
"36.80621,-4.32916","36.64888,-4.41851",9:04,,,,,,,,19.22133463142316
"36.74572,-4.4535","36.83886,-4.43082",6:49,20661.0,13461.0,17529.4,inf,13461.0,3922.0,1978.0,10.551767404118278
"36.74352,-4.51065","36.89048,-4.28849",8:55,,,,,,11626.0,4996.0,25.654034744605532
