start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"60.27163,24.58086","60.14841,24.69299",8:45,20366.0,13166.0,16738.51,inf,13166.0,4133.0,1580.0,15.036667443535443
"60.20691,24.62106","60.18024,24.75441",9:02,15162.0,7962.0,9835.13,inf,7962.0,2729.0,975.0,7.94473189545942
"60.19419,24.64002","60.08041,24.75751",8:28,,,,,,,,14.226105189402059
"60.25299,24.75283","60.31756,24.71363",6:34,15965.0,8765.0,11145.07,inf,8765.0,2785.0,1088.0,7.497900991480208
"60.27943,24.62749","60.15947,24.58135",8:38,,,,,,5377.0,1710.0,13.580164366082029
"60.19187,24.64963","60.21073,24.61038",9:17,10986.0,3786.0,4716.24,inf,3786.0,1632.0,820.0,3.01697540356246
"60.24985,24.61211","60.09721,24.64582",9:19,,,,,,6740.0,2180.0,17.07487931702094
"60.32262,24.66939","60.1377,24.84306",7:42,,,,,,,,22.687844849517795
"60.21848,24.54415","60.24653,24.78804",9:59,21237.0,14037.0,17743.33,inf,14037.0,4870.0,1697.0,13.820781701529434
"60.24358,24.62092","60.22616,24.60756",7:57,10294.0,3094.0,3933.58,inf,3094.0,1354.0,534.0,2.0726646473313184
"60.18771,24.80501","60.26707,24.67886",6:22,18536.0,11336.0,14048.11,inf,11336.0,3986.0,1423.0,11.24217979852189
"60.26347,24.71842","60.23844,24.73563",7:33,11198.0,3998.0,5013.68,inf,3998.0,1288.0,530.0,2.9407353907228466
"60.22968,24.55536","60.11022,24.74283",6:32,,,,,,4957.0,1927.0,16.851362389135307
"60.15821,24.69405","60.27028,24.63688",9:49,19237.0,12037.0,15198.07,inf,12037.0,3950.0,1434.0,12.855510533576641
"60.34029,24.62598","60.31523,24.51753",8:47,15385.0,8185.0,10694.3,inf,8185.0,3823.0,2522.0,6.5880340878795876
"60.15401,24.74609","60.18206,24.84645",7:09,13298.0,6098.0,7634.2,inf,6098.0,1964.0,666.0,6.367592497869616
"60.16937,24.70746","60.29147,24.74151",8:32,20365.0,13165.0,16600.88,inf,13165.0,4544.0,1399.0,13.706429439520297
"60.21657,24.53906","60.26266,24.5477",7:46,13227.0,6027.0,7835.73,inf,6027.0,1851.0,1418.0,5.14711308210479
"60.15918,24.79501","60.26114,24.69366",7:32,19902.0,12702.0,15550.69,inf,12702.0,4507.0,1276.0,12.644594136359327
"60.31906,24.61194","60.17805,24.62489",9:47,,,,,,5022.0,1913.0,15.695870736121543
"60.30481,24.75511","60.18091,24.55813",9:25,,,,,,5098.0,1221.0,17.549562112622805
"60.19112,24.6582","60.12391,24.69176",6:19,14351.0,7151.0,8977.06,inf,7151.0,2341.0,898.0,7.7006600921746085
