start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"65.19053,25.67248","65.12662,26.31407",8:45,,,,,,12070.0,,30.802017684304104
"65.16005,25.76371","64.88737,26.32894",9:02,,,,,,10300.0,,40.29388067926234
"64.97575,25.98569","64.97069,25.98615",8:28,7886.0,686.0,900.31,0.0,686.0,205.0,69.0,0.5630622645549389
"65.30098,26.30643","65.45573,26.11783",6:34,,,,,,6467.0,,19.29851415920741
"65.36434,25.70343","65.07684,25.48142",8:38,,,,,,,,33.60116641217364
"65.1545,25.80991","65.19971,25.62108",9:17,19205.0,12005.0,15811.8,inf,12005.0,3781.0,,10.147560570409823
"65.46788,25.90502","65.02466,26.74056",9:19,,,,,,,6632.0,62.78649126391515
"65.21828,25.30245","65.2855,26.47583",7:42,,,,,,,,55.128488823928436
"64.9842,25.26102","65.2564,26.57391",9:59,,,,,,,3920.0,68.4698718482482
"65.24512,25.35639","64.95882,26.25833",7:57,,,,,,13800.0,3622.0,52.87885624104305
"65.07383,26.02365","65.34241,25.74859",6:22,,,,,,10363.0,,32.50201968349114
"65.06375,26.27401","65.13098,26.75685",7:33,,,,,,5763.0,,23.811247076580273
"65.10056,26.08815","65.3932,26.25197",6:32,,,,,,10986.0,,33.421984665240544
"64.95318,25.50235","65.13148,25.67294",9:49,,,,,,6050.0,1590.0,21.380669346104636
"65.2137,25.27798","65.32417,25.31952",8:47,19983.0,12783.0,16724.97,inf,12783.0,3861.0,1326.0,12.43477368531219
"65.07614,26.50936","65.32053,26.02178",7:09,,,,,,11305.0,,35.43570481543787
"64.96754,25.66499","65.44111,26.0203",8:32,,,,,,,5187.0,55.203651930995434
"65.15269,25.85115","64.99162,26.01264",7:46,,,,,,7550.0,,19.44361475046169
"64.91158,26.64417","65.05806,26.04796",7:32,,,,,,8165.0,2210.0,32.42167642348043
"65.17361,26.33537","65.38671,25.18266",9:47,,,,,,,,58.603600837186086
