start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"50.63465,3.18247","50.63005,3.18854",8:45,8216.0,1016.0,1307.76,0.0,1016.0,584.0,103.0,0.6670191763940999
"50.63223,3.18465","50.63124,3.19186",9:02,7977.0,777.0,973.82,0.0,777.0,272.0,,0.5203086103300051
"50.63176,3.18567","50.62751,3.19202",8:28,7700.0,500.0,650.07,0.0,500.0,144.0,175.0,0.6511057454587
"50.62888,3.18817","50.62881,3.18817",6:34,7204.0,4.0,4.5,0.0,4.0,1.0,2.0,0.007783644865480777
"50.63395,3.19177","50.63637,3.18965",8:38,7604.0,404.0,492.33,0.0,404.0,160.0,97.0,0.3078395224637458
"50.63494,3.185","50.63046,3.1825",9:17,7692.0,492.0,638.19,0.0,492.0,142.0,201.0,0.5284382442405263
"50.63167,3.18619","50.63238,3.18407",9:19,7359.0,159.0,188.71,0.0,159.0,56.0,,0.16908769326227388
"50.63162,3.19587","50.63686,3.18761",7:42,7978.0,778.0,976.56,0.0,778.0,253.0,228.0,0.8239336711550229
"50.63384,3.18416","50.62813,3.18599",9:59,7746.0,546.0,700.87,0.0,546.0,217.0,125.0,0.6479100229582669
"50.63656,3.18726","50.62965,3.19665",7:57,8108.0,908.0,1136.38,0.0,908.0,299.0,212.0,1.0143827212252972
"50.63267,3.18049","50.63371,3.19367",6:22,8296.0,1096.0,1400.55,0.0,1096.0,564.0,,0.9367381812520104
"50.6336,3.18464","50.63295,3.18392",7:33,7262.0,62.0,82.11,0.0,62.0,17.0,,0.08833239580075054
"50.63152,3.19459","50.63448,3.18777",6:32,7727.0,527.0,648.45,0.0,527.0,200.0,125.0,0.582839332434934
"50.63435,3.18991","50.63341,3.19084",9:49,7333.0,133.0,163.8,0.0,133.0,54.0,37.0,0.12339890353805114
"50.63387,3.17854","50.63495,3.18934",8:47,8325.0,1125.0,1426.96,0.0,1125.0,640.0,,0.7711024998337173
"50.63308,3.1811","50.62862,3.19123",7:09,8046.0,846.0,1085.07,0.0,846.0,406.0,,0.8697404733569902
"50.63041,3.18859","50.6346,3.1855",8:32,7680.0,480.0,591.66,0.0,480.0,181.0,103.0,0.5143598040736164
"50.63722,3.18491","50.63628,3.17905",7:46,8407.0,1207.0,1548.14,0.0,1207.0,595.0,,0.4262818391177709
"50.63026,3.19141","50.6313,3.19683",7:32,7621.0,421.0,533.68,0.0,421.0,134.0,104.0,0.39939520954092506
"50.63083,3.18932","50.63539,3.19116",9:47,7805.0,605.0,748.46,0.0,605.0,283.0,100.0,0.5233925365510027
"50.63259,3.18022","50.63432,3.18068",9:25,8554.0,1354.0,1762.15,0.0,1354.0,894.0,,0.19508384807838977
"50.63045,3.19405","50.63426,3.18857",6:19,7704.0,504.0,625.69,0.0,504.0,169.0,103.0,0.5734705074892693
"50.63642,3.18415","50.63115,3.18486",6:14,7871.0,671.0,859.2,0.0,671.0,346.0,213.0,0.5881328896642238
"50.63589,3.19189","50.63126,3.18125",6:36,8190.0,990.0,1244.79,0.0,990.0,378.0,236.0,0.9100476622304405
"50.63358,3.19661","50.63655,3.17972",6:32,8891.0,1691.0,2143.63,inf,1691.0,674.0,,1.2361199867059511
"50.63164,3.18666","50.62913,3.18847",8:16,7446.0,246.0,313.98,0.0,246.0,83.0,49.0,0.30691170142922736
"50.63197,3.1921","50.63529,3.17914",9:04,8778.0,1578.0,2014.27,inf,1578.0,733.0,,0.985782670027373
"50.63479,3.18134","50.63625,3.19283",6:49,8070.0,870.0,1113.41,0.0,870.0,569.0,193.0,0.8264405709065021
"50.63005,3.19066","50.63028,3.18032",8:55,7900.0,700.0,885.12,0.0,700.0,309.0,230.0,0.729765347154788
"50.6343,3.19124","50.6368,3.18646",7:03,7747.0,547.0,678.69,0.0,547.0,227.0,201.0,0.4369454551188215
"50.63175,3.1888","50.63542,3.17982",8:02,8508.0,1308.0,1658.57,0.0,1308.0,691.0,,0.7534321478333779
"50.63337,3.18453","50.63598,3.19557",7:20,7980.0,780.0,982.62,0.0,780.0,295.0,182.0,0.830944998352904
"50.63526,3.19228","50.63328,3.17972",7:39,8347.0,1147.0,1455.26,0.0,1147.0,562.0,,0.912774678890484
"50.63314,3.182","50.62821,3.1934",8:02,8630.0,1430.0,1860.7,0.0,1430.0,755.0,,0.9731640348505235
"50.63292,3.19044","50.62759,3.19684",9:20,7822.0,622.0,785.14,0.0,622.0,192.0,93.0,0.745004063860555
"50.63425,3.19304","50.62739,3.18793",6:47,8097.0,897.0,1140.27,0.0,897.0,276.0,164.0,0.8436606072849072
"50.63161,3.18593","50.63568,3.18722",8:56,7694.0,494.0,629.43,0.0,494.0,149.0,251.0,0.46161805874633044
"50.62887,3.19403","50.63044,3.18173",9:48,8325.0,1125.0,1431.4,0.0,1125.0,421.0,248.0,0.8849623930293171
"50.63152,3.18266","50.63793,3.19536",9:07,8433.0,1233.0,1550.56,0.0,1233.0,521.0,222.0,1.1446770583551251
