start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"41.99367,12.37261","41.79457,12.57487",8:45,,,,,,9239.0,1800.0,27.756117516655888
"41.88908,12.44512","41.84599,12.68566",9:02,,,,,,7307.0,2357.0,20.486274058230332
"41.86853,12.47933","41.68468,12.69123",8:28,,,,,,7120.0,2539.0,26.956991482792912
"41.74427,12.56255","41.74086,12.56272",6:34,7976.0,776.0,1014.76,0.0,776.0,321.0,346.0,0.37943693647329296
"42.00627,12.45673","41.81243,12.37349",8:38,,,,,,8574.0,1533.0,22.62793963776891
"41.86479,12.49665","41.89527,12.42585",9:17,14060.0,6860.0,8387.23,inf,6860.0,3151.0,1155.0,6.770819506068461
"41.95848,12.42898","41.71183,12.48979",9:19,,,,,,9044.0,2391.0,27.88510330861385
"41.90779,12.3064","41.95312,12.7463",7:42,,,,,,13053.0,2611.0,36.7377474012394
"41.94834,12.44487","41.92021,12.42078",9:59,10751.0,3551.0,4440.77,inf,3551.0,1193.0,419.0,3.7087355572001104
"41.74997,12.29087","41.93349,12.78307",7:57,,,,,,,3017.0,45.59482445246546
"41.92589,12.32662","41.73286,12.66476",6:22,,,,,,10700.0,2449.0,35.29348169956956
"41.8104,12.57678","41.99149,12.47366",7:33,,,,,,8256.0,1273.0,21.870230687062453
"41.82842,12.60096","42.02573,12.66238",6:32,,,,,,7168.0,1674.0,22.52057565289212
"41.72905,12.38134","41.84927,12.4453",9:49,,,,,,5065.0,1686.0,14.381187893054697
"41.90471,12.29722","41.97919,12.3128",8:47,21575.0,14375.0,18835.43,inf,14375.0,3991.0,1129.0,8.381449553178781
"41.73874,12.44232","42.05803,12.57552",7:09,,,,,,13573.0,2344.0,37.175659933441274
"41.86357,12.51211","41.75497,12.57265",8:32,19606.0,12406.0,16103.85,inf,12406.0,3887.0,1214.0,13.076724897996082
"41.87767,12.69364","42.02135,12.26149",7:46,,,,,,13434.0,2816.0,39.14701647823841
"41.9996,12.33464","42.06295,12.71804",7:32,,,,,,10944.0,3133.0,32.44027813778202
"41.86836,12.5838","42.02697,12.28413",9:47,,,,,,11399.0,2106.0,30.41806985469137
"41.93845,12.44131","42.05111,12.80941",9:25,,,,,,10742.0,,32.89845016041708
"41.69541,12.48016","41.72289,12.4957",6:19,14634.0,7434.0,9727.29,inf,7434.0,2116.0,1221.0,3.316771618033395
"41.92853,12.35675","41.71504,12.73714",6:14,,,,,,11656.0,2492.0,39.46021375342804
"41.91903,12.63848","41.68812,12.85211",6:36,,,,,,9022.0,3915.0,31.189920063547206
"42.02906,12.29518","41.93413,12.66744",6:32,,,,,,13296.0,2245.0,32.530397374561026
"41.86237,12.48776","42.03817,12.53105",8:16,,,,,,6780.0,,19.87318433864693
"41.8582,12.37869","42.13563,12.80271",9:04,,,,,,13670.0,3852.0,46.68457582718868
"41.80792,12.38186","41.67869,12.29075",6:49,,,,,,,,16.23663634113133
"41.80224,12.5675","42.13153,12.62161",8:55,,,,,,11834.0,2530.0,36.887656495249175
"42.04338,12.36102","42.04335,12.50758",7:03,,,,,,5195.0,1891.0,12.102571623229322
"42.00295,12.35027","41.85492,12.83429",8:02,,,,,,13610.0,2993.0,43.29227608491006
"41.83734,12.29694","41.75957,12.37612",7:20,,,,,,5670.0,2122.0,10.856463996373213
"41.80159,12.40651","41.96357,12.45703",7:39,,,,,,6042.0,1403.0,18.490564712976852
"41.94561,12.62519","41.79797,12.24754",8:02,,,,,,12072.0,2207.0,35.31699797760098
"42.00031,12.49913","42.12082,12.77531",9:20,,,,,,8302.0,2909.0,26.446292988442917
"41.82844,12.32395","42.10687,12.81717",6:47,,,,,,,4804.0,51.19867122117321
"42.05978,12.30845","42.06625,12.60302",8:56,,,,,,8585.0,,24.327986236144802
"41.76514,12.45784","42.08036,12.56779",9:48,,,,,,11619.0,2718.0,36.212027552337
"41.93138,12.58785","41.76512,12.64321",9:07,,,,,,6586.0,1356.0,19.047465139373674
"41.80044,12.51364","41.85885,12.81238",9:41,,,,,,7892.0,1997.0,25.589966084832295
