start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"40.99233,14.15706","40.98475,14.16841",8:45,8399.0,1199,1552.16,0.0,1199,379,217.0,1.2719916061667018
"40.98835,14.16113","40.98671,14.17463",9:02,8590.0,1390,1792.95,0.0,1390,441,236.0,1.1477127876649142
"40.98756,14.16305","40.98056,14.17494",8:28,8547.0,1347,1739.66,0.0,1347,449,256.0,1.26568253530322
"40.98283,14.16772","40.9827,14.16773",6:34,7202.0,2,1.56,0.0,2,1,1.0,0.01447969235787414
"40.99118,14.17447","40.99516,14.1705",8:38,8050.0,850,1084.41,0.0,850,291,161.0,0.5539634504586837
"40.99281,14.16178","40.98543,14.15711",9:17,8743.0,1543,1995.27,0.0,1543,469,251.0,0.9094260261641333
"40.98489,14.15234","40.99112,14.16429",9:19,8506.0,1306,1699.52,0.0,1306,397,190.0,1.2189971086949347
"40.98742,14.16402","40.98858,14.16004",7:42,7710.0,510,663.13,0.0,510,146,127.0,0.3580988376681954
"40.98734,14.18215","40.99597,14.16668",9:59,8650.0,1450,1880.1,0.0,1450,526,232.0,1.6145311180560182
"40.99099,14.16022","40.98159,14.16363",7:57,8101.0,901,1166.77,0.0,901,282,259.0,1.0837140186392171
"40.99547,14.16602","40.98409,14.1836",6:22,8921.0,1721,2229.03,inf,1721,569,280.0,1.9438239390678405
"40.98906,14.15334","40.99079,14.17803",7:33,9242.0,2042,2639.71,inf,2042,628,316.0,2.081207802366664
"40.9906,14.16111","40.98953,14.15976",6:32,7291.0,91,120.86,0.0,91,25,27.0,0.16430097129890653
"40.98717,14.17975","40.99205,14.16698",9:49,8614.0,1414,1810.11,0.0,1414,433,216.0,1.2013571779393257
"40.99183,14.17098","40.99029,14.17273",8:47,7541.0,341,439.45,0.0,341,100,49.0,0.22560329867824466
"40.99105,14.14968","40.99283,14.16992",7:09,8781.0,1581,2059.01,inf,1581,457,282.0,1.7102377043306618
"40.98975,14.15447","40.9824,14.17345",8:32,8807.0,1607,2067.42,inf,1607,499,253.0,1.79053970031006
