start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"54.69556,25.18807","54.67279,25.35629",8:45,13727.0,10127.0,12683.33,inf,10127.0,3439.0,1209.0,11.105630196037572
"54.6847,25.21199","54.58754,25.36019",9:02,21158.0,13958.0,17583.27,inf,13958.0,4547.0,1273.0,14.411269681762626
"54.61903,25.27019","54.61723,25.27031",8:28,7504.0,304.0,391.06,0.0,304.0,87.0,97.0,0.20029993280208025
"54.73492,25.35428","54.79006,25.30483",6:34,17015.0,9815.0,12565.16,inf,9815.0,3194.0,1399.0,6.903439710523579
"54.64755,25.07862","54.73404,25.22753",8:38,17226.0,13626.0,17406.77,inf,13626.0,4531.0,1339.0,13.567722366055103
"54.68272,25.2241","54.69883,25.17459",9:17,10731.0,3531.0,4450.04,inf,3531.0,1270.0,638.0,3.6515659074515465
"54.68157,25.45006","54.80134,25.25724",9:19,,,,,,5813.0,2163.0,18.181109080993384
"54.67917,25.42011","54.74695,25.26098",7:42,19628.0,12428.0,15340.99,inf,12428.0,4221.0,1605.0,12.699756120849772
"54.74387,25.31088","54.72249,25.33259",9:59,6282.0,2682.0,3402.29,inf,2682.0,923.0,487.0,2.755820543046121
"54.78825,25.37138","54.59357,25.14469",7:57,,,,,,8478.0,2475.0,26.09350322484306
"54.62204,25.08019","54.71904,25.42441",6:22,,,,,,7783.0,2318.0,24.621976128427203
"54.65398,25.28014","54.74968,25.20802",7:33,18493.0,11293.0,13909.38,inf,11293.0,4451.0,963.0,11.60650472008354
"54.65039,25.34578","54.67434,25.47238",6:32,15713.0,8513.0,11004.07,inf,8513.0,2593.0,1087.0,8.566662823123284
"54.6635,25.29705","54.76778,25.34",9:49,15112.0,11512.0,14414.39,inf,11512.0,3892.0,1645.0,11.91905067974306
"54.61099,25.14347","54.67452,25.18819",8:47,10718.0,7118.0,9210.87,inf,7118.0,2108.0,817.0,7.6277968938588225
"54.6161,25.18611","54.78485,25.27926",7:09,,,,,,6880.0,1793.0,19.695591918218724
"54.77917,25.35717","54.67337,25.10868",8:32,,,,,,6459.0,2309.0,19.824373117249237
"54.68208,25.23492","54.62469,25.27726",7:46,12452.0,8852.0,11243.14,inf,8852.0,3067.0,1081.0,6.93841821978504
"54.68953,25.36187","54.76547,25.05965",7:32,,,,,,6394.0,2125.0,21.16347605451442
