start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"57.01794,24.023","56.92554,24.14953",8:45,21073.0,13873.0,17464.64,inf,13873.0,4373.0,1576.0,12.82072764091394
"56.96941,24.06836","56.94941,24.21884",9:02,17553.0,10353.0,12447.73,inf,10353.0,3821.0,1482.0,9.390312710079916
"56.95987,24.08976","56.87455,24.22233",8:28,,,,,,,1177.0,12.439900340471373
"56.9022,24.14182","56.90062,24.14193",6:34,7668.0,468.0,589.84,0.0,468.0,239.0,316.0,0.17581490732181904
"57.00396,24.21705","57.05239,24.17281",8:38,15707.0,8507.0,10972.54,inf,8507.0,2625.0,1279.0,6.013935681870881
"57.02379,24.07562","56.93383,24.02355",9:17,16881.0,9681.0,12312.81,inf,9681.0,3154.0,1195.0,10.488911634139228
"56.95813,24.10059","56.97228,24.05631",9:19,11618.0,4418.0,5383.18,inf,4418.0,1516.0,627.0,3.111316142667069
"57.00161,24.05827","56.88714,24.0963",7:42,19376.0,12176.0,15461.56,inf,12176.0,4058.0,1799.0,12.935787001468972
"57.05619,24.1229","56.91751,24.31887",9:59,,,,,,6272.0,2083.0,19.461354006504127
"56.99691,24.0682","56.98385,24.05313",7:57,9791.0,2591.0,3346.44,inf,2591.0,758.0,605.0,1.7153054306823508
"57.01183,24.17823","56.99305,24.19764",6:22,9617.0,2417.0,3117.58,inf,2417.0,750.0,340.0,2.3963194376375
"57.00235,23.94082","57.02401,24.16634",7:33,,,,,,8207.0,,13.86370406648598
"56.93289,24.15073","57.01693,24.08621",6:32,18568.0,11368.0,14262.65,inf,11368.0,3769.0,1247.0,10.129859478932184
"57.06943,24.07391","57.05064,23.95153",9:49,,,,,,,,7.688826099862723
"56.92974,24.20945","56.95077,24.32269",8:47,14081.0,6881.0,8834.63,inf,6881.0,2464.0,860.0,7.2560777968563865
"56.94125,24.16585","57.03282,24.20428",7:09,18729.0,11529.0,14528.68,inf,11529.0,3833.0,1747.0,10.444900202303609
"57.05352,24.05807","56.94777,24.07269",8:32,,,,,,5891.0,2182.0,11.792149106923434
"57.06497,24.0486","56.90787,24.13732",7:46,,,,,,7189.0,2245.0,18.27692881228403
"57.0642,24.03497","57.0826,24.15462",7:32,13778.0,6578.0,8511.83,inf,6578.0,2101.0,2092.0,7.515682478438561
"56.95757,24.11027","56.90717,24.14814",9:47,13666.0,6466.0,8017.14,inf,6466.0,2338.0,856.0,6.056927049196824
"56.96411,24.22384","57.03079,23.95348",9:25,,,,,,,,17.974858238052093
"57.02069,23.99924","57.05009,24.2391",6:19,,,,,,9238.0,3613.0,14.876011655123548
"56.92563,24.19397","56.93012,23.97797",6:14,20158.0,12958.0,15985.68,inf,12958.0,4918.0,1379.0,13.116043723279628
"57.01083,24.20607","57.06104,24.10625",6:36,15354.0,8154.0,10530.49,inf,8154.0,2719.0,1311.0,8.22465381394831
"56.95979,24.15512","57.03339,23.96764",6:32,,,,,,5932.0,,13.99691320676215
"56.99232,24.06598","57.0446,24.29626",8:16,,,,,,6751.0,3174.0,15.102716615324715
"56.87953,24.09028","56.89228,24.1",9:04,9244.0,2044.0,2684.55,inf,2044.0,562.0,1120.0,1.5357778979789585
"56.98771,24.01307","56.88864,24.25105",6:49,,,,,,5398.0,1917.0,18.159275359507205
"56.9833,24.18933","56.87615,24.32298",8:55,,,,,,5024.0,1793.0,14.412365809197006
"57.00999,24.24351","56.87217,24.13682",7:03,,,,,,5611.0,2339.0,16.635267526097607
"56.95701,24.09503","57.03859,24.12212",8:02,17351.0,10151.0,12578.44,inf,10151.0,3893.0,1348.0,9.21846205091337
"56.95508,24.0268","57.08382,24.29207",7:20,,,,,,7694.0,2934.0,21.511405127659508
"57.06791,24.11534","56.88167,24.13038",7:39,,,,,,7355.0,2308.0,20.728991097435152
"56.93174,24.02878","56.87177,23.97179",8:02,14811.0,7611.0,9826.37,inf,7611.0,2392.0,768.0,7.512786967525919
"56.9291,24.14492","57.08192,24.17878",9:20,,,,,,6837.0,1978.0,17.116052021776103
"57.04101,24.01574","57.04099,24.10743",6:47,,,,,,7820.0,2427.0,5.5467269361732034
"57.02225,24.00902","56.95355,24.31183",8:56,,,,,,6955.0,2237.0,19.87144657790243
"57.00765,23.94438","57.05599,24.03862",9:48,,,,,,10794.0,4047.0,7.836432600720019
"56.94539,23.97565","56.9093,24.02519",9:07,12095.0,4895.0,6334.75,inf,4895.0,1497.0,521.0,5.014052148087571
