walk_time,bike_time,car_time,line_distance
5351,1916,801.0,5.717766077703603
4088,1368,569.0,4.362651313357734
7445,2310,969.0,5.569525795098708
399,107,117.0,0.07568386566584524
3080,1072,464.0,2.6503793048623443
4089,1376,618.0,4.585022899784507
3482,1351,560.0,1.4263861045990436
8092,2844,952.0,7.0393048220645245
5376,1687,628.0,5.628965946843036
1893,546,400.0,0.7608693403710435
6356,2292,1024.0,4.945187884908318
1203,381,175.0,1.0595586996352062
9463,2844,1142.0,10.0481314846032
4798,1728,848.0,4.447520214296334
4549,1322,779.0,3.3588954641852524
4573,1559,752.0,4.551410931345575
4883,1788,667.0,4.907285221148124
8497,2703,987.0,7.530264771784676
7260,2494,966.0,7.7191958089785295
5742,1824,1050.0,2.658417611155319
7324,2622,,8.292225391232154
8566,2948,1204.0,6.112381699790046
3910,1532,532.0,3.7191435869442313
5688,2058,687.0,6.380317607242186
6295,2176,880.0,6.980763197595276
7736,2681,1136.0,7.657779221931563
8568,2707,1146.0,8.618564014608516
8799,2693,1104.0,8.256582473112362
5403,1745,566.0,6.406750682053103
6275,1875,1007.0,7.305964596225325
5521,2058,764.0,4.011166604747255
8776,3099,1005.0,9.73866348783194
9719,3145,1445.0,9.000157675296139
6990,2347,867.0,7.438467120642391
2295,725,317.0,2.5916494838740536
8418,2829,1028.0,9.179722643300297
6906,2380,907.0,7.454334728244505
5402,1734,792.0,5.578201839120081
5746,1793,807.0,5.208767462996164
8066,2501,1129.0,7.323676841953077
3702,1272,661.0,3.850336586907432
6728,2268,852.0,5.4450042713496885
4181,1370,470.0,3.968091348411628
10293,3180,1328.0,10.01908486464573
2317,735,402.0,2.228189676714972
4704,1489,680.0,4.206459089097546
1275,551,304.0,0.7431188046849294
2777,846,416.0,2.828302297135631
3919,1110,760.0,2.6963039555684363
7232,2477,993.0,6.507225741469962
7209,2344,1189.0,5.618334641100453
7319,2508,903.0,7.118675757175136
7777,2474,1224.0,6.8688183568569885
6389,2025,824.0,6.449691706662428
8146,2638,927.0,7.085062078537251
9271,2848,1269.0,9.73223211778005
7450,2135,1029.0,5.550364320505064
3413,994,451.0,3.33287447746871
2860,999,524.0,2.358880839401652
8656,2703,1085.0,9.468963544536399
9074,2868,1276.0,6.506128873714262
7797,2713,977.0,8.166983848806472
4418,1385,743.0,3.626917468380093
8177,2926,1008.0,8.400249370547225
8400,2651,981.0,8.816511947807903
7931,2483,910.0,8.469691278504804
4765,1429,803.0,3.6484447163540525
4168,1261,656.0,4.518264740697211
4375,1465,580.0,4.378970687679764
5739,1870,856.0,5.414544960426058
5501,1814,493.0,6.810320922466736
6292,1973,778.0,4.693179877690437
3850,1161,848.0,3.6043958488166195
7051,2894,,8.056525640429513
5631,1822,670.0,5.513052169589459
6291,1857,919.0,4.26145821191276
7103,2101,1018.0,7.111381561711753
3329,1115,501.0,3.570027543323471
7850,2631,,8.920846468277093
3279,929,426.0,2.5556713635469
2196,773,304.0,1.8310123751386296
2727,855,433.0,3.1768415622693706
2858,983,384.0,3.100076457994425
7027,1976,992.0,6.014868953301645
5230,1782,681.0,5.319364898616196
3666,1440,539.0,2.7593624279751374
6413,2013,919.0,6.964166498488286
9592,3037,1334.0,8.799974787651067
1729,790,210.0,1.982850293586437
3923,1358,488.0,4.204665648597729
5507,1803,660.0,5.847473843071419
5732,1939,735.0,6.429416466912036
8743,2731,928.0,9.317224969309066
3662,1119,695.0,3.189005941868456
5622,1684,1014.0,6.194782364700985
7458,2398,959.0,8.81118697610707
7020,2235,930.0,7.477915007560378
4912,1402,879.0,2.9792766523523992
3203,921,746.0,3.706685838426628
9040,2870,1489.0,6.570424610351043
2926,847,453.0,2.440974566171617
6430,2060,850.0,6.272615506728253
9638,2944,1310.0,7.702526564440928
5123,1664,653.0,5.1011664189405925
7130,2331,892.0,8.367194997736537
2929,885,426.0,3.2866946294724797
2048,635,329.0,2.3259847502809703
4166,1457,684.0,4.396868587178231
8414,2754,1048.0,8.82895375795274
5606,1797,647.0,4.69059717621526
3057,1138,425.0,3.0180562472048713
5760,2008,849.0,5.288496490917306
8035,2396,1273.0,8.901653439432652
4817,1503,831.0,3.2104337767605053
4897,1448,861.0,3.48264400639843
10342,3119,1294.0,9.150094949723087
5419,1666,689.0,6.004212658278398
5785,1988,914.0,5.825463645321614
3620,1254,486.0,3.5016865010088396
5238,1751,715.0,5.1873858844201335
3524,1075,482.0,3.2743101539434645
4399,1305,417.0,4.856935155930959
6360,1973,862.0,4.536168990741952
4305,1404,545.0,4.439644020305496
6599,2013,1037.0,6.087933158089702
6016,1991,850.0,3.423909477458943
2172,703,370.0,1.7068377796202965
1517,442,213.0,1.2734601367117617
9844,3062,1505.0,7.001552451415381
6387,1889,816.0,5.567987122501405
4220,1281,584.0,3.650189958283423
5348,1723,629.0,5.90155157969794
6349,2092,829.0,5.3815493100957426
5793,1931,658.0,6.099839050010831
3307,1201,510.0,3.3543840752301515
5156,1655,668.0,5.60204271921403
6476,2041,832.0,6.3820813932997
8763,2771,1676.0,5.822653504546035
5107,1529,787.0,4.085522260657672
11638,3461,1400.0,7.74759856500854
8617,2857,1105.0,9.231482268600805
4870,1633,706.0,4.696601197737004
10311,3114,1620.0,6.643089568232952
9096,2861,1076.0,9.797728356366205
2443,852,301.0,2.047991306129568
6863,2197,880.0,7.3500117402626985
4227,1284,622.0,4.547830120753126
2901,868,392.0,2.856938184615787
6458,1816,902.0,4.328661148006378
3171,1039,470.0,3.4404791610693786
2788,1020,459.0,2.864495746705006
12765,4177,1600.0,10.268961910843691
3264,1062,479.0,2.835594758552148
3883,1164,572.0,3.4303891230839882
5810,1823,834.0,5.680207795218715
4685,1517,587.0,4.808297032483336
5690,1993,690.0,6.17828818071616
458,128,144.0,0.44323515356754745
5127,1577,743.0,4.6451683916066475
4413,1244,644.0,2.9174674024898053
2898,965,470.0,2.3403227525172934
5212,1588,506.0,5.180133817888358
2829,998,449.0,2.697635263871834
7308,2309,1186.0,7.552311518221744
6101,1845,731.0,6.286725029246319
1597,461,211.0,1.913016432262853
5284,1759,708.0,4.645989378397136
6402,2203,885.0,5.839121013259909
9139,2855,1338.0,9.595320549486143
7862,2592,1000.0,8.571638888959413
5020,1412,911.0,4.345652393947626
6747,2040,774.0,5.721926064356167
1478,450,222.0,1.5689018775266363
11173,3493,1349.0,9.453193685104585
7488,2382,1034.0,7.053682115275454
5173,1579,1011.0,5.446692734941246
8137,2625,1194.0,6.632972514237706
7489,2334,1046.0,7.968556836718964
9830,3003,1075.0,9.341218615095666
8541,3004,998.0,9.544705403395866
7217,2179,1057.0,7.644786261247978
2247,739,332.0,2.1880921425451474
2781,873,538.0,2.5345222111076198
6160,2145,,4.386846599082303
4361,1881,,5.193167697325983
5430,1792,715.0,4.246621850261555
6627,2411,843.0,6.9721135454210375
3534,1102,644.0,3.5861893310834243
3897,1252,898.0,2.762689329245634
7538,2155,1116.0,4.783181828428626
3082,1006,534.0,2.8871280616801327
1413,470,192.0,1.5747575632851711
7971,2507,1058.0,8.173500138349468
8594,2666,1260.0,5.163251282672459
3594,1136,530.0,3.8106084642379976
6986,2207,995.0,6.67488652435059
8467,2901,1133.0,7.173482367895773
8857,2701,1056.0,6.454225601762617
5994,1915,941.0,6.211873716037025
7009,2308,997.0,7.0329125097552865
2655,933,339.0,2.5570265254681392
7193,2304,1057.0,7.372618598304863
3389,1142,419.0,3.3201562724913547
4575,1465,662.0,4.646683078804757
6939,2056,988.0,3.874540531966499
6712,2125,886.0,6.134038084868377
4208,1370,632.0,4.375259644599808
7903,2819,873.0,6.234260832229188
4215,1235,665.0,4.289887426141405
7840,2800,,8.701695811508738
5420,1811,697.0,5.709973417526421
2887,925,413.0,2.934710547484087
4688,1587,664.0,4.136286455445387
10268,3544,1230.0,11.357847672512722
9150,2886,1299.0,10.004039029439308
3729,1403,500.0,4.094538880499969
9101,2778,1136.0,8.499523579783954
5612,1626,952.0,4.666328625567309
10052,3105,1279.0,7.823760172187217
7207,2521,924.0,7.679229720335144
7732,2484,1302.0,7.758354617157831
1641,472,196.0,1.8749263531961218
4174,1255,575.0,4.307371148072358
7349,2526,836.0,7.101391707581496
4646,1459,679.0,4.556811721756196
4418,1269,565.0,4.459389619939893
2516,715,326.0,2.254873083751326
6335,1890,964.0,6.278111455099615
2938,1138,359.0,3.3236578642705683
8888,2775,1297.0,9.147605622687907
7811,2554,1074.0,8.142764505887925
7117,2399,986.0,7.1135047477974505
4613,1499,605.0,4.3363445583581965
4032,1427,545.0,4.130640520359691
6645,2079,790.0,6.6660776023116854
1727,467,509.0,2.012039555303397
6427,2113,1012.0,7.020949290939665
6405,2090,857.0,7.1185849218875115
7618,2398,1114.0,5.685248535774187
3946,1247,579.0,4.021432626558574
4853,1736,672.0,4.914128286968125
5129,1727,698.0,5.444591522773424
3684,1202,559.0,3.2210008642022276
5302,1713,861.0,5.756395886914581
3761,1140,783.0,3.559810199169267
2207,629,407.0,2.4568866668539777
4970,1663,646.0,4.022961238119507
2715,815,415.0,2.4707504761860455
5084,1933,,4.0300344361760265
1842,909,,1.5962204690929878
5454,1806,776.0,5.515124351609658
7854,2877,981.0,8.484806767687193
3610,1247,522.0,3.7249433876239277
5737,1677,719.0,4.4832460136032655
2765,916,357.0,2.722684567430679
9875,3289,1445.0,6.427562995788369
1910,594,278.0,1.255673575064456
4419,1522,718.0,4.4037321280496675
7059,2261,1143.0,6.945973485477322
8774,2971,1150.0,9.509291697484237
10722,3450,1460.0,10.353270415048714
4321,1471,659.0,3.5607007140060776
5320,1622,914.0,3.040214512633665
6688,2142,909.0,5.6745818004337485
7504,2235,944.0,8.008411186544267
4024,1374,642.0,4.470581906318082
4414,1283,739.0,1.6207268771190149
6385,2123,716.0,6.867652004837475
5897,2030,800.0,5.774726245501988
6650,2232,947.0,6.599527744557069
8386,2661,1301.0,7.8897612179305066
7377,2550,918.0,7.9839615028359106
1172,408,212.0,1.0866731997531542
1419,447,230.0,1.3336873659575252
8532,2761,1256.0,8.15672646428465
4775,1533,632.0,3.8505902039490816
7770,2536,1270.0,7.999730046709676
3455,1112,504.0,3.815487023130202
7335,2277,1004.0,7.50691617011404
4370,1560,696.0,4.3459667120980034
3812,1372,506.0,3.9339110831896322
8767,2573,1202.0,7.361425251111191
4918,1616,561.0,5.154976255069981
5517,1697,832.0,4.478040960463814
1244,403,299.0,1.1252884867537178
1061,365,204.0,0.9772136287214208
9637,3156,1314.0,9.176302603442327
3237,970,408.0,3.4729299227170674
4387,1222,649.0,3.04116539396851
