start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"51.86787,4.64154","51.85065,4.6632",8:45,9432.0,2232,2827.6,inf,2232,657,373.0,2.4246500746870194
"51.86526,4.67476","51.87429,4.66718",9:02,8277.0,1077,1399.27,0.0,1077,420,217.0,1.130945343948754
"51.86896,4.65055","51.85219,4.64163",8:28,10074.0,2874,3510.46,inf,2874,1254,505.0,1.9627704768310332
"51.85672,4.65482","51.85936,4.64724",6:34,8691.0,1491,1937.84,0.0,1491,711,185.0,0.5976252350955747
"51.86483,4.64758","51.84349,4.65409",8:38,10494.0,3294,4062.07,inf,3294,1371,612.0,2.414656263882965
"51.875,4.65864","51.84915,4.69219",9:17,10888.0,3688,4741.76,inf,3688,1135,651.0,3.6837260356517847
"51.86395,4.64928","51.86152,4.6467",9:19,10532.0,3332,4231.43,inf,3332,1601,126.0,0.32310532558726085
"51.86673,4.66811","51.86323,4.67143",7:42,7671.0,471,568.87,0.0,471,158,94.0,0.4510340634182837
"51.87399,4.67737","51.84213,4.64266",9:59,11665.0,4465,5567.22,inf,4465,1712,713.0,4.269968436397424
"51.85202,4.6634","51.86768,4.65236",7:57,9479.0,2279,2875.47,inf,2279,729,421.0,1.899198070819688
"51.87747,4.65025","51.87396,4.62931",6:22,12904.0,5704,7263.97,inf,5704,2467,1016.0,1.489538536130572
"51.85143,4.67345","51.85535,4.69284",7:33,9454.0,2254,2907.14,inf,2254,890,295.0,1.4012703718676796
"51.85358,4.66599","51.87064,4.67257",6:32,9560.0,2360,2975.71,inf,2360,788,459.0,1.9500552938942486
"51.85215,4.6829","51.8664,4.66333",9:49,9960.0,2760,3542.0,inf,2760,843,261.0,2.0777152066493487
"51.8745,4.64754","51.85479,4.65004",8:47,10755.0,3555,4461.11,inf,3555,1500,790.0,2.1983645571386923
"51.87663,4.64592","51.84736,4.66111",7:09,8077.0,4477,5648.47,inf,4477,1811,763.0,3.417739286234215
"51.87649,4.64359","51.87992,4.66407",8:32,11028.0,3828,4906.96,inf,3828,1176,615.0,1.456657634109025
"51.87251,4.6752","51.85519,4.63715",7:46,6796.0,3196,3983.84,inf,3196,1291,535.0,3.2458562574771967
