start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"60.03639,10.59402","59.90293,10.744",8:45,,,,,,5259.0,2030.0,17.026032139882275
"59.96628,10.64779","59.9374,10.82615",9:02,17608.0,10408.0,12761.08,inf,10408.0,3656.0,1224.0,10.437104876020292
"59.95251,10.67315","59.82927,10.83028",8:28,,,,,,5942.0,1514.0,16.266906909933272
"60.0162,10.82403","60.08613,10.7716",6:34,14700.0,7500.0,9840.26,inf,7500.0,2068.0,,8.302699222879724
"60.04483,10.65639","59.9149,10.59467",8:38,20911.0,13711.0,17519.34,inf,13711.0,4526.0,1993.0,14.849956490583395
"59.95,10.68599","59.97043,10.6335",9:17,7115.0,3515.0,4341.85,inf,3515.0,1339.0,725.0,3.7010414430572434
"59.94853,10.92558","60.10043,10.72113",9:19,,,,,,6340.0,2677.0,20.35445178284393
"60.0128,10.63582","59.84747,10.68091",7:42,,,,,,,,18.55470890971447
"60.09162,10.71244","59.89132,10.94472",9:59,,,,,,8655.0,,25.7471835399038
"60.006,10.6476","59.98714,10.62974",7:57,9399.0,2199.0,2867.14,inf,2199.0,901.0,651.0,2.3203827088740168
"59.9455,10.89382","60.03145,10.72509",6:22,,,,,,5123.0,1789.0,13.394165599105788
"60.02755,10.77801","60.00044,10.80102",7:33,10877.0,3677.0,4732.36,inf,3677.0,1264.0,423.0,3.2745067367706615
"60.01387,10.49662","60.04515,10.76393",6:32,,,,,,6363.0,3074.0,15.250418168549741
"59.91354,10.74541","60.03492,10.66895",9:49,19885.0,12685.0,16079.54,inf,12685.0,5347.0,2203.0,14.151453519469383
"60.11076,10.65436","60.08361,10.50931",8:47,16331.0,9131.0,12026.97,inf,9131.0,3673.0,,8.588769390287965
"59.90899,10.81501","59.93937,10.94924",7:09,11444.0,7844.0,9816.25,inf,7844.0,2657.0,674.0,8.207382870269907
"59.92562,10.76335","60.05788,10.80889",8:32,16592.0,12992.0,16487.64,inf,12992.0,3982.0,1685.0,14.923103534374707
"59.91459,10.88044","60.02503,10.74489",7:46,21055.0,13855.0,17462.96,inf,13855.0,5151.0,,14.412001558181387
"60.08777,10.63559","59.93503,10.65291",7:32,,,,,,5177.0,2343.0,17.011170696896073
"60.10432,10.62436","59.8774,10.72953",9:47,,,,,,,,25.9013443949796
"60.1032,10.60821","60.12978,10.75003",9:25,15611.0,12011.0,15831.6,inf,12011.0,4198.0,1919.0,8.394553906761827
"59.94918,10.69746","59.87639,10.74236",6:19,13284.0,9684.0,11714.31,inf,9684.0,3652.0,1342.0,8.472036140908696
"59.84022,10.91792","59.90642,10.75217",6:14,19652.0,12452.0,15630.6,inf,12452.0,5285.0,,11.821943126125634
"59.95863,10.83207","60.05494,10.51162",6:36,,,,,,7438.0,2671.0,20.783942716338412
"60.04036,10.56587","60.08282,10.85016",6:32,,,,,,6526.0,3561.0,16.467672212214946
"59.90306,10.79667","59.90954,10.54065",8:16,16978.0,13378.0,16402.29,inf,13378.0,5147.0,1197.0,14.292527513089144
"60.02611,10.81102","60.09863,10.6927",9:04,19873.0,12673.0,16664.73,inf,12673.0,3487.0,1975.0,10.39887257780613
"59.95239,10.75062","60.05871,10.52841",6:49,,,,,,5598.0,2175.0,17.09803224727391
"59.99937,10.64497","60.07489,10.91791",8:55,,,,,,6630.0,3393.0,17.328395904788746
"59.99272,10.58226","59.84962,10.86433",7:03,,,,,,7678.0,2496.0,22.36738505216186
"60.11297,10.58443","59.99921,10.82093",8:02,,,,,,6665.0,,18.229507601387535
"59.98635,10.79117","59.83158,10.94958",7:20,,,,,,8513.0,,19.343348833699366
"59.94837,10.6794","60.06622,10.71151",7:39,15581.0,11981.0,15501.39,inf,11981.0,3883.0,2137.0,13.22531297754314
"59.86894,10.87999","59.91437,10.57556",8:02,,,,,,6427.0,1687.0,17.716382827184034
"60.10857,10.70348","59.83956,10.7213",9:20,,,,,,,,29.928975620931798
"59.88735,10.90285","60.07259,10.50914",6:47,,,,,,10034.0,3653.0,30.066301174648924
"59.90807,10.73854","60.12879,10.77866",8:56,,,,,,7407.0,2726.0,24.643984038683847
"60.06971,10.58542","60.06968,10.6941",9:48,12436.0,8836.0,11611.23,inf,8836.0,3279.0,2688.0,6.029597626888093
"60.04261,10.57745","59.94338,10.93637",9:07,,,,,,7707.0,2384.0,22.80606749150959
