start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"54.39365,18.55051","54.32397,18.71818",8:45,20070.0,12870.0,15868.61,inf,12870.0,4691.0,2277.0,13.343890052888119
"54.35705,18.61062","54.34197,18.81002",9:02,18735.0,11535.0,14454.36,inf,11535.0,4278.0,1386.0,13.031198599500682
"54.34986,18.63897","54.28551,18.81464",8:28,20363.0,13163.0,16777.03,inf,13163.0,4269.0,980.0,13.454275136346963
"54.39807,18.62024","54.33022,18.55124",6:34,15403.0,8203.0,9850.0,inf,8203.0,3053.0,1095.0,8.769458662205349
"54.32526,18.48088","54.38253,18.6574",8:38,19979.0,12779.0,16086.81,inf,12779.0,4697.0,1892.0,13.091969185246343
"54.34855,18.65333","54.35922,18.59465",9:17,11186.0,3986.0,4829.2,inf,3986.0,1826.0,578.0,3.983369037570642
"54.38134,18.59724","54.29501,18.64765",9:19,17550.0,10350.0,12864.1,inf,10350.0,3359.0,1498.0,10.140454761903456
"54.3636,18.49562","54.37946,18.86029",7:42,,,,,,,,23.686863640771104
"54.37779,18.61041","54.36794,18.59044",9:59,8848.0,1648.0,1939.81,0.0,1648.0,628.0,280.0,1.6949179897984967
"54.3462,18.88567","54.39108,18.69704",7:57,,,,,,,1577.0,13.198968130858054
"54.3819,18.44162","54.39823,18.74046",6:22,,,,,,,,19.433339300604757
"54.36993,18.51239","54.30237,18.7927",7:33,,,,,,6954.0,1251.0,19.663986927068848
"54.36252,18.48801","54.38859,18.50093",6:32,11709.0,4509.0,5720.99,inf,4509.0,1518.0,574.0,3.017212806107491
"54.33006,18.87071","54.38773,18.71918",9:49,,,,,,,1664.0,11.726855166272642
"54.42048,18.59698","54.34073,18.61635",8:47,15934.0,8734.0,10191.39,inf,8734.0,3278.0,1180.0,8.956076283359232
"54.30443,18.60829","54.41618,18.71872",7:09,,,,,,,,14.33874187076352
"54.34812,18.66615","54.31012,18.71634",8:32,12948.0,5748.0,7402.86,inf,5748.0,2705.0,769.0,5.333381629182619
"54.35306,18.81664","54.40334,18.45839",7:46,,,,,,8614.0,1804.0,23.86561419890233
"54.39573,18.51903","54.4179,18.83686",7:32,,,,,,,,20.716616809137914
"54.3498,18.72558","54.40531,18.47716",9:47,,,,,,5910.0,1524.0,17.23218370733236
"54.37433,18.60746","54.41376,18.91261",9:25,,,,,,,,20.235631422563046
"54.28927,18.63966","54.29889,18.65254",6:19,8971.0,1771.0,2325.2,inf,1771.0,556.0,183.0,1.3575396158431565
"54.37086,18.53736","54.29614,18.8527",6:14,,,,,,7033.0,2100.0,22.06848325399866
"54.36753,18.77091","54.28672,18.94801",6:36,,,,,,,,14.581546360269256
"54.40604,18.48632","54.37282,18.79492",6:32,,,,,,,,20.319120897948814
"54.3477,18.64596","54.40923,18.68185",8:16,,,,,,,810.0,7.225866144962792
"54.34624,18.55555","54.44334,18.90705",9:04,,,,,,,,25.186740569475635
"54.32865,18.55818","54.28342,18.48265",6:49,14417.0,7217.0,9195.72,inf,7217.0,2308.0,818.0,7.021831083793972
"54.31584,18.89576","54.41256,18.45562",8:55,,,,,,9401.0,2235.0,30.475420569787318
"54.32666,18.71207","54.4419,18.75693",7:03,,,,,,,,13.139232953162562
"54.29186,18.93091","54.35382,18.60993",8:02,,,,,,7262.0,1733.0,21.926337676797786
"54.41105,18.5409","54.41104,18.66239",7:20,14186.0,6986.0,8555.52,inf,6986.0,2513.0,1335.0,7.861822415539955
"54.3969,18.53199","54.34509,18.93323",7:39,,,,,,8254.0,2713.0,26.621071040972218
"54.38589,18.44633","54.42235,18.57121",8:02,16492.0,9292.0,11679.77,inf,9292.0,3850.0,1508.0,9.042346254448091
"54.36064,18.94643","54.28683,18.55548",9:20,,,,,,10717.0,,26.64818640322131
"54.33894,18.48778","54.31172,18.55342",6:47,12775.0,5575.0,7112.67,inf,5575.0,1752.0,704.0,5.22295755706703
"54.32643,18.57861","54.38312,18.62049",8:56,14021.0,6821.0,8156.05,inf,6821.0,2630.0,953.0,6.86300403948133
"54.42611,18.49889","54.27812,18.83488",9:48,,,,,,8277.0,1788.0,27.29255180107099
"54.28317,18.93507","54.39612,18.88372",9:07,,,,,,,,12.993099047020513
"54.39598,18.65539","54.43815,18.88434",9:41,,,,,,,,15.537987349295594
"54.33583,18.51017","54.43327,18.91904",8:35,,,,,,,,28.606931410842872
"54.41679,18.49732","54.41906,18.74152",9:28,,,,,,,,15.801951382131941
"54.31367,18.62116","54.42399,18.71231",7:52,,,,,,,,13.614089063250047
"54.37186,18.72894","54.31367,18.77483",9:38,,,,,,,1046.0,7.121412572562739
"54.32603,18.66742","54.34647,18.91507",7:33,,,,,,4581.0,1930.0,16.21513842385147
"54.37515,18.72061","54.43641,18.69195",6:21,,,,,,,,7.059829698050882
"54.28423,18.62572","54.34446,18.87621",9:54,,,,,,5286.0,1462.0,17.573991537474722
"54.37855,18.60668","54.41327,18.61392",6:30,11276.0,4076.0,4812.19,inf,4076.0,1658.0,438.0,3.889032888589394
"54.34159,18.62412","54.40356,18.55845",6:27,15373.0,8173.0,9748.75,inf,8173.0,3293.0,1104.0,8.097873427209922
"54.32188,18.60709","54.31038,18.60231",9:34,8349.0,1149.0,1436.66,0.0,1149.0,442.0,430.0,1.315790052833061
"54.34714,18.49395","54.31699,18.58885",7:33,14140.0,6940.0,8731.9,inf,6940.0,2731.0,807.0,7.007023295529992
"54.39228,18.67651","54.31007,18.85131",6:12,,,,,,,1515.0,14.556440195050406
"54.39001,18.47845","54.2764,18.61249",9:40,21525.0,14325.0,18017.9,inf,14325.0,4899.0,1763.0,15.33336682754627
"54.31039,18.62025","54.30341,18.87942",8:03,,,,,,4890.0,1350.0,16.83179375328084
"54.38677,18.56627","54.34427,18.476",8:42,14416.0,7216.0,9095.83,inf,7216.0,2574.0,1206.0,7.518791316961342
"54.32015,18.63928","54.32148,18.52883",6:05,14858.0,7658.0,9338.98,inf,7658.0,2690.0,747.0,7.1646514894773015
"54.3473,18.88198","54.33855,18.57822",6:00,,,,,,6347.0,1896.0,19.713475277230444
"54.36428,18.48156","54.29391,18.86604",9:11,,,,,,8674.0,2154.0,26.12915450552095
"54.34505,18.92068","54.38775,18.55996",8:34,,,,,,7458.0,2588.0,23.845662228658654
"54.35474,18.71381","54.33908,18.87713",6:58,16513.0,9313.0,12085.42,inf,9313.0,3431.0,1115.0,10.727505466553168
"54.31152,18.87332","54.342,18.49923",9:10,,,,,,7815.0,1975.0,24.493323405586843
"54.35033,18.63873","54.4338,18.68018",7:22,,,,,,,,9.661600379771507
"54.33649,18.75776","54.41085,18.45309",7:13,,,,,,6800.0,1505.0,21.395896921028807
"54.36818,18.72658","54.42175,18.52415",8:18,,,,,,,1414.0,14.394999637391518
"54.36205,18.49018","54.40392,18.85552",9:36,,,,,,,,24.111673248353327
"54.30382,18.63262","54.36608,18.56176",9:15,15307.0,8107.0,10191.89,inf,8107.0,3066.0,1025.0,8.308578536265262
"54.4241,18.45139","54.36381,18.50749",7:43,15528.0,8328.0,10710.7,inf,8328.0,2935.0,1012.0,7.624505499493835
"54.41049,18.66163","54.35893,18.59784",7:27,14045.0,6845.0,8282.5,inf,6845.0,2471.0,1305.0,7.066231537551093
"54.3237,18.65702","54.43941,18.89009",9:44,,,,,,,,19.83298445787455
"54.34378,18.70494","54.29607,18.66388",7:30,14511.0,7311.0,9439.35,inf,7311.0,2981.0,1337.0,5.935955066571057
"54.38804,18.44752","54.36868,18.44978",7:52,11375.0,4175.0,5325.28,inf,4175.0,1301.0,659.0,2.1577037405561743
"54.35487,18.66953","54.38167,18.54849",6:06,15228.0,8028.0,9750.94,inf,8028.0,3019.0,1254.0,8.388074579721534
"54.32608,18.90292","54.43532,18.517",7:45,,,,,,9062.0,2472.0,27.78751379551652
"54.33091,18.67451","54.30584,18.56934",8:51,15434.0,8234.0,10149.09,inf,8234.0,2709.0,1188.0,7.368747292704297
"54.33568,18.67158","54.43741,18.7872",6:26,,,,,,,,13.564836111432824
"54.35248,18.57499","54.33745,18.49373",8:16,12800.0,5600.0,7049.45,inf,5600.0,1923.0,631.0,5.525739167644838
"54.36348,18.48809","54.40523,18.43437",7:06,16130.0,8930.0,11480.85,inf,8930.0,2947.0,,5.801055440360689
"54.32027,18.90095","54.43562,18.66251",6:14,,,,,,,,20.07433654000431
"54.33284,18.67927","54.40684,18.88304",6:52,,,,,,,,15.554252777134959
"54.36049,18.74056","54.31093,18.75581",6:39,,,,,,,799.0,5.598803666925501
"54.38798,18.58548","54.39596,18.93523",7:11,,,,,,,,22.660797762882332
"54.32271,18.70162","54.28726,18.79207",9:54,16115.0,8915.0,11716.96,inf,8915.0,2593.0,1107.0,7.069315568071628
