start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"55.59651,12.94749","55.54064,13.03215",8:45,15277.0,8077.0,10286.23,inf,8077.0,2783.0,952.0,8.180833880735896
"55.56716,12.97784","55.55507,13.07852",9:02,9838.0,6238.0,8020.42,inf,6238.0,1924.0,410.0,6.472287096469725
"55.5614,12.99216","55.50981,13.08086",8:28,11317.0,7717.0,10021.26,inf,7717.0,2465.0,729.0,8.003751954152914
"55.52653,13.02699","55.52557,13.02707",6:34,3622.0,22.0,27.98,0.0,22.0,6.0,2.0,0.10686581668003203
"55.58806,13.07732","55.61734,13.04773",8:38,7269.0,3669.0,4630.19,inf,3669.0,1209.0,488.0,3.7490181493916777
"55.60005,12.9827","55.54565,12.94786",9:17,10233.0,6633.0,8353.31,inf,6633.0,2155.0,785.0,6.433310600747487
"55.54167,12.91234","55.58759,13.00146",9:19,11113.0,7513.0,9454.28,inf,7513.0,2584.0,841.0,7.58111782838258
"55.56035,12.99941","55.5689,12.96978",7:42,9260.0,2060.0,2613.31,inf,2060.0,691.0,240.0,2.0916313963802127
"55.58664,12.97109","55.51742,12.99654",9:59,10745.0,7145.0,9083.49,inf,7145.0,2268.0,791.0,7.861609207439473
"55.61963,13.01433","55.53578,13.14545",7:57,15457.0,11857.0,15180.89,inf,11857.0,3771.0,1037.0,12.444233550309928
"55.57241,12.91978","55.58513,13.10391",6:22,14799.0,11199.0,13933.45,inf,11199.0,3765.0,1015.0,11.659677716489433
"55.58379,12.97774","55.5759,12.96765",7:33,4661.0,1061.0,1336.33,0.0,1061.0,350.0,179.0,1.0825463640204664
"55.55846,13.11672","55.59444,13.02148",6:32,10262.0,6662.0,8508.02,inf,6662.0,2119.0,622.0,7.200486026330517
"55.59281,13.05135","55.58146,13.06434",9:49,5095.0,1495.0,1878.08,0.0,1495.0,528.0,343.0,1.503055977635686
"55.52813,12.91328","55.57962,13.1193",8:47,17326.0,13726.0,17592.13,inf,13726.0,4299.0,1041.0,14.166229307082908
"55.57749,12.92824","55.52333,13.06978",7:09,13702.0,10102.0,13015.29,inf,10102.0,3238.0,880.0,10.748553351920338
"55.54508,13.03295","55.5959,12.98979",8:32,9464.0,5864.0,7307.53,inf,5864.0,2066.0,637.0,6.268618345381009
"55.54318,13.07224","55.5559,13.14801",7:46,12107.0,4907.0,6332.17,inf,4907.0,1480.0,676.0,4.971545010451648
"55.55014,13.04307","55.60551,13.06878",7:32,9605.0,6005.0,7660.4,inf,6005.0,2030.0,536.0,6.365421257854893
"55.52226,12.95115","55.55599,12.97792",9:47,9082.0,5482.0,7143.75,inf,5482.0,1808.0,578.0,4.111451666630431
"55.57155,12.91594","55.59245,12.92246",9:25,5825.0,2225.0,2819.82,inf,2225.0,757.0,415.0,2.359825797675575
"55.54552,13.10917","55.59176,13.03266",6:19,10224.0,6624.0,8457.11,inf,6624.0,2162.0,593.0,7.041000373641516
"55.52498,12.97667","55.61457,13.03242",6:14,14185.0,10585.0,13408.65,inf,10585.0,3427.0,950.0,10.560562673447516
"55.61155,13.07905","55.55538,12.93033",6:36,14343.0,10743.0,13351.8,inf,10743.0,3915.0,858.0,11.241522276858682
"55.58347,13.14492","55.61957,12.90901",6:32,,,,,,,,15.3536537916636
"55.56,13.00588","55.52953,13.03122",8:16,7262.0,3662.0,4713.03,inf,3662.0,1267.0,444.0,3.7444032868382444
"55.56396,13.08187","55.60428,12.90098",9:04,,,,,,,,12.220495424608389
"55.5407,13.06188","55.54341,12.91737",6:49,11200.0,7600.0,9945.2,inf,7600.0,2156.0,683.0,9.096724783182767
"55.59221,13.06998","55.62257,13.00319",8:55,9065.0,5465.0,6812.37,inf,5465.0,1896.0,743.0,5.384703879421061
"55.56135,13.03589","55.60585,12.91046",7:03,,,,,,,,9.307304597892559
"55.58102,12.97625","55.61263,13.13032",8:02,13575.0,9975.0,12410.21,inf,9975.0,3236.0,854.0,10.298086918542031
"55.6039,13.08442","55.57984,12.90896",7:20,13915.0,10315.0,12991.64,inf,10315.0,3521.0,1319.0,11.344896829178408
"55.51282,12.99251","55.52053,12.99901",7:39,4578.0,978.0,1206.63,0.0,978.0,317.0,166.0,0.9499659149324251
"55.57823,12.94085","55.51833,13.10007",8:02,15194.0,11594.0,14855.53,inf,11594.0,3691.0,1059.0,12.028122391931856
"55.57556,13.05878","55.51077,13.1482",9:20,12699.0,9099.0,11797.19,inf,9099.0,2819.0,903.0,9.140563917226684
"55.5917,13.09503","55.50837,13.02364",6:47,13347.0,9747.0,12529.88,inf,9747.0,2960.0,801.0,10.296663498790274
"55.55967,12.99569","55.609,13.01381",8:56,8609.0,5009.0,6233.73,inf,5009.0,1731.0,806.0,5.602208378498733
"55.5585,12.95004","55.63634,13.12752",9:48,20517.0,13317.0,16708.22,inf,13317.0,4303.0,812.0,14.11541218514158
"55.62673,13.00928","55.51411,13.01934",9:07,16384.0,12784.0,16220.69,inf,12784.0,4166.0,972.0,12.53873357698298
"55.54439,12.95136","55.50813,12.91323",9:41,,,,,,,,4.692108265970658
"55.54279,13.02907","55.63519,13.05172",8:35,14162.0,10562.0,13244.06,inf,10562.0,3389.0,832.0,10.372527231447476
"55.55264,12.91582","55.53082,12.94896",9:28,6948.0,3348.0,4273.42,inf,3348.0,1106.0,480.0,3.199062943185996
"55.54261,12.96168","55.58806,12.98283",7:52,8311.0,4711.0,5991.5,inf,4711.0,1516.0,577.0,5.225847679650383
"55.58303,13.05321","55.5416,12.89514",9:38,13623.0,10023.0,12708.99,inf,10023.0,3200.0,777.0,10.955397273125287
"55.59837,13.00045","55.63219,13.11605",7:33,10955.0,7355.0,9343.01,inf,7351.0,2316.0,628.0,8.175578943587372
"55.55015,12.92712","55.62827,13.13357",6:21,,,,,,4491.0,1011.0,15.612688191704681
"55.53238,12.98317","55.62083,13.02919",9:54,13559.0,9959.0,12586.56,inf,9959.0,3256.0,932.0,10.251784181010288
"55.57903,13.03758","55.53238,13.06076",6:30,8802.0,5202.0,6722.82,inf,5202.0,1704.0,660.0,5.38820984142835
"55.54229,13.00652","55.55868,13.13157",6:27,11376.0,7776.0,10109.58,inf,7776.0,2312.0,608.0,8.074109149506455
"55.58167,13.03338","55.63079,13.01891",9:34,9526.0,5926.0,7450.43,inf,5926.0,1994.0,821.0,5.536999304941881
"55.50877,12.98547","55.55707,13.11195",7:33,12482.0,8882.0,11523.1,inf,8882.0,2753.0,789.0,9.601771983724635
"55.5844,12.97585","55.61223,12.97951",6:12,10277.0,3077.0,3698.29,inf,3077.0,1153.0,534.0,3.10308559655616
"55.55477,12.98466","55.60445,12.9515",9:40,8978.0,5378.0,6728.57,inf,5378.0,1937.0,831.0,5.904273994861093
"55.53897,12.97606","55.52975,12.97365",8:03,5208.0,1608.0,2117.42,inf,1608.0,499.0,405.0,1.0363729884535573
"55.55921,12.91894","55.53504,12.96685",8:42,8135.0,4535.0,5856.35,inf,4535.0,1357.0,602.0,4.038102669864548
"55.52146,13.04562","55.51423,12.98333",6:05,6901.0,3301.0,4305.01,inf,3301.0,1069.0,331.0,4.002901645708492
"55.57855,13.06492","55.52773,12.94453",6:00,12803.0,9203.0,11955.35,inf,9203.0,2794.0,754.0,9.448266199087314
"55.53954,13.03435","55.60268,12.97567",9:11,11226.0,7626.0,9542.09,inf,7626.0,2628.0,865.0,7.931051973436983
"55.57561,13.12629","55.59617,13.03982",8:34,8893.0,5293.0,6811.41,inf,5293.0,1590.0,585.0,5.8954455130116274
"55.53336,13.09123","55.60335,12.94059",6:58,14486.0,10886.0,13696.87,inf,10886.0,3545.0,1327.0,12.258410577915951
"55.54696,13.05994","55.63153,13.08996",9:10,12994.0,9394.0,12036.22,inf,9394.0,3022.0,914.0,9.591098614609098
"55.59541,13.01111","55.5295,13.09937",7:22,12140.0,8540.0,10847.38,inf,8540.0,2731.0,888.0,9.193139874679588
"55.53036,12.94519","55.55903,13.10897",7:13,13480.0,9880.0,12833.39,inf,9880.0,3400.0,634.0,10.785316289984188
"55.56381,13.13171","55.53978,12.97032",8:18,17216.0,10016.0,13000.92,inf,10016.0,3965.0,832.0,10.496984123098818
"55.56216,12.89892","55.50663,12.97512",9:36,11530.0,7930.0,10193.59,inf,7930.0,2782.0,744.0,7.817822051959675
"55.52975,12.98271","55.52416,13.11356",9:15,14525.0,7325.0,9594.09,inf,7325.0,2078.0,622.0,8.258909738549969
"55.57104,13.13624","55.54211,13.1012",7:43,7520.0,3920.0,5099.38,inf,3920.0,1185.0,552.0,3.8993000292048765
"55.59099,12.95545","55.55691,12.90987",7:27,8119.0,4519.0,5726.89,inf,4519.0,1428.0,687.0,4.750836426532647
"55.53757,12.99231","55.53865,12.93654",9:44,7217.0,3617.0,4739.75,inf,3617.0,1021.0,330.0,3.5111323500090768
"55.63155,13.05143","55.51569,13.00355",7:30,19930.0,12730.0,15971.11,inf,12730.0,4179.0,976.0,13.229980607710363
"55.55935,13.11486","55.55233,12.96148",7:52,12829.0,9229.0,11936.29,inf,9229.0,2808.0,633.0,9.677928614729325
"55.57296,12.91268","55.51653,13.10681",6:06,16611.0,13011.0,16682.68,inf,13011.0,3932.0,1201.0,13.730336339480049
"55.56531,13.02994","55.55275,13.11241",7:45,8681.0,5081.0,6579.61,inf,5081.0,1511.0,365.0,5.371049272764887
"55.59048,13.0904","55.5334,12.92343",8:51,15435.0,11835.0,15009.04,inf,11835.0,4367.0,1059.0,12.268794530382644
"55.52422,12.95061","55.5851,13.07219",6:26,18243.0,11043.0,14325.19,inf,11043.0,3718.0,913.0,10.21264400186123
"55.58961,13.08665","55.50695,12.94834",8:16,16108.0,12508.0,16149.2,inf,12508.0,3939.0,1209.0,12.656074467995996
"55.50875,13.006","55.54175,12.96321",7:06,7691.0,4091.0,5336.09,inf,4091.0,1229.0,516.0,4.551739186806947
"55.61204,13.04803","55.51953,13.14614",6:14,14684.0,11084.0,14265.17,inf,11084.0,3479.0,1000.0,11.994536124079827
"55.62187,12.99671","55.62687,13.08258",6:52,10029.0,6429.0,8229.79,inf,6429.0,2253.0,910.0,5.419719698473084
"55.62339,12.99948","55.56928,12.96805",6:39,10789.0,7189.0,8935.16,inf,7175.0,2438.0,965.0,6.332508401803746
"55.56177,12.99203","55.62869,13.01296",7:11,12077.0,8477.0,10521.71,inf,8477.0,2966.0,881.0,7.556466569216861
"55.53172,12.92685","55.54561,12.96246",9:54,6924.0,3324.0,4356.39,inf,3324.0,1075.0,393.0,2.7213268443617147
"55.58555,13.06081","55.50971,12.98703",8:07,12864.0,9264.0,11977.17,inf,9264.0,2963.0,858.0,9.625806796199214
"55.53538,13.02859","55.57315,13.07533",9:01,9091.0,5491.0,7041.78,inf,5491.0,1725.0,549.0,5.1264422347847685
"55.55068,13.05214","55.6103,12.89831",9:43,,,,,,,,11.723132007865274
"55.57609,13.03639","55.61904,12.93418",6:58,,,,,,,,8.002660899111564
"55.57117,12.91703","55.60474,13.1015",8:37,15185.0,11585.0,14500.26,inf,11583.0,3983.0,1040.0,12.178409748266157
"55.52449,12.98895","55.5744,12.95317",8:55,8890.0,5290.0,6847.31,inf,5290.0,1560.0,637.0,5.9887405260735544
"55.58983,13.08661","55.50677,13.02579",6:25,13025.0,9425.0,12133.45,inf,9425.0,2848.0,897.0,9.99689604799776
"55.61001,13.0036","55.56867,12.97139",7:50,8756.0,5156.0,6311.11,inf,5156.0,1725.0,811.0,5.022673289077033
"55.54042,13.00127","55.63319,13.11895",9:20,16004.0,12404.0,15993.73,inf,12404.0,3943.0,758.0,12.692566397383821
"55.58993,13.11072","55.61856,13.13782",7:56,7855.0,4255.0,5542.04,inf,4255.0,1480.0,,3.6100538490951206
"55.59671,13.07959","55.61134,13.04622",9:49,6390.0,2790.0,3532.6,inf,2790.0,940.0,482.0,2.653339366074036
"55.60961,13.00967","55.53476,13.0018",8:12,11605.0,8005.0,10004.85,inf,8005.0,2593.0,870.0,8.3376325902614
"55.55652,13.02547","55.51827,13.00474",6:18,12274.0,5074.0,6546.22,inf,5074.0,1606.0,585.0,4.448722507029858
"55.59718,13.13876","55.59802,13.11705",9:17,6287.0,2687.0,3512.0,inf,2687.0,786.0,296.0,1.3671318700993746
"55.56541,13.00759","55.5869,12.94647",8:01,7830.0,4230.0,5335.23,inf,4230.0,1372.0,592.0,4.524478540282323
"55.55297,13.06221","55.51583,12.93841",8:51,12869.0,9269.0,12096.9,inf,9269.0,2905.0,873.0,8.817242969790634
"55.56642,12.89657","55.6334,12.92789",9:44,,,,,,,,7.703350127573936
"55.54234,13.12543","55.62991,12.93057",7:53,,,,,,,,15.645226768171481
"55.63527,13.02919","55.6039,13.1314",7:41,11408.0,7808.0,10080.83,inf,7808.0,2388.0,616.0,7.304469020961271
"55.62158,13.05955","55.55496,13.05722",7:48,10641.0,7041.0,8960.34,inf,7041.0,2230.0,534.0,7.409252868810586
"55.5462,13.0101","55.52611,12.957",6:56,8360.0,4760.0,6238.88,inf,4760.0,1390.0,412.0,4.019236564814971
"55.55003,13.00862","55.63159,13.067",9:27,12379.0,8779.0,10986.89,inf,8779.0,2789.0,763.0,9.782882147133089
