start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"46.09321,14.48685","46.02329,14.59874",8:45,18658.0,11458.0,14324.97,inf,11458.0,4266,976.0,11.618304881065834
"46.05648,14.52697","46.04135,14.66004",9:02,17737.0,10537.0,13447.17,inf,10537.0,3585,1292.0,10.40645850854159
"46.04927,14.54589","45.98471,14.66312",8:28,18244.0,11044.0,14212.96,inf,11044.0,3510,1495.0,11.55333136171414
"46.09764,14.53338","46.02957,14.48734",6:34,15344.0,8144.0,10067.89,inf,8144.0,3333,878.0,8.36110853917235
"46.02458,14.44038","46.08205,14.55818",8:38,17316.0,10116.0,12516.55,inf,10116.0,3872,1319.0,11.111798386842846
"46.04795,14.55547","46.05866,14.5163",9:17,11056.0,3856.0,4622.66,inf,3856.0,1408,431.0,3.2488125730895745
"46.08085,14.51804","45.99424,14.55167",9:19,16613.0,9413.0,11772.18,inf,9413.0,3369,,9.974317682893647
"46.06305,14.45022","46.07897,14.69359",7:42,,,,,,5882,1806.0,18.85762806546004
"46.07729,14.52682","46.06741,14.5135",9:59,8630.0,1430.0,1725.37,0.0,1430.0,684,445.0,1.5042406354435487
"46.04559,14.71053","46.09063,14.58464",7:57,19172.0,11972.0,15614.08,inf,11972.0,3513,1499.0,10.927337885474433
"46.08142,14.41418","46.0978,14.61361",6:22,,,,,,5300,1672.0,15.486973389105353
"46.06941,14.46141","46.00162,14.64848",7:33,,,,,,5046,1397.0,16.28947803638009
"46.02885,14.5998","46.09244,14.54275",6:32,16776.0,9576.0,11986.42,inf,9576.0,3376,764.0,8.329087978386964
"46.02647,14.65173","46.04239,14.75187",9:49,16409.0,9209.0,12076.8,inf,9209.0,2869,1337.0,7.930347647262791
"46.03518,14.61318","46.10447,14.64716",8:47,18325.0,11125.0,14484.74,inf,11125.0,3236,1326.0,8.138427711062814
"46.00029,14.49168","46.0425,14.52706",7:09,12876.0,5676.0,7307.77,inf,5676.0,1741,902.0,5.4306473171451115
"46.06197,14.44514","46.08813,14.45376",8:32,10317.0,3117.0,3929.19,inf,3117.0,1048,685.0,2.9838883301540164
"46.0294,14.70054","46.08726,14.59941",7:46,20085.0,12885.0,16699.79,inf,12885.0,3803,1361.0,10.113572578078243
"46.12013,14.51786","46.04011,14.53079",7:32,16415.0,9215.0,11437.13,inf,9215.0,3376,1364.0,8.953533861540256
"46.00369,14.52541","46.11581,14.59911",9:47,20134.0,12934.0,16501.81,inf,12934.0,4794,1284.0,13.702848789028954
"46.1288,14.50949","46.00992,14.58795",9:25,21376.0,14176.0,17866.79,inf,14176.0,4819,1786.0,14.538738993983287
"46.12822,14.49743","46.14214,14.60324",6:19,15095.0,7895.0,10088.18,inf,7895.0,2682,1176.0,8.298661627687244
"46.04752,14.56402","46.00939,14.59752",6:14,12744.0,5544.0,7136.91,inf,5544.0,1811,1217.0,4.966421324628831
"46.05248,14.66445","46.10293,14.42537",6:36,,,,,,7753,2214.0,19.27554164128657
"46.09529,14.46584","46.11754,14.67795",6:32,,,,,,5874,1319.0,16.53846322351713
"46.02336,14.63804","46.02676,14.44703",8:16,,,,,,4952,1395.0,14.752245172788136
"46.04921,14.60368","46.1049,14.4379",9:04,20410.0,13210.0,16365.02,inf,13210.0,5596,1128.0,14.207893592120342
"46.07382,14.52486","46.11338,14.7285",6:49,,,,,,5744,1976.0,16.307514524633746
"46.07034,14.47807","45.99537,14.68852",8:55,,,,,,5452,2252.0,18.25997458882943
"46.13333,14.47969","46.07374,14.65614",7:03,,,,,,6210,1395.0,15.131804777900856
"46.067,14.63394","45.98591,14.75213",8:02,20182.0,12982.0,17022.11,inf,12982.0,3721,1558.0,12.828358271600113
"46.10564,14.44401","46.0723,14.64996",7:20,,,,,,6336,1452.0,16.30941337765748
"46.0471,14.55055","46.10884,14.5745",7:39,14833.0,7633.0,9663.71,inf,7633.0,3114,822.0,7.109382617915943
"46.04564,14.49021","46.14306,14.72479",8:02,,,,,,6930,1790.0,21.084189261139542
"46.02798,14.49196","45.9826,14.44156",9:20,14471.0,7271.0,9479.83,inf,7271.0,2525,1147.0,6.372996881482336
"46.01513,14.71726","46.11218,14.42352",6:47,,,,,,8730,2320.0,25.10120236077166
"46.02599,14.59467","46.14162,14.62461",8:56,20279.0,13079.0,16646.95,inf,13079.0,4321,1057.0,13.063177795637019
"46.11067,14.48043","46.11065,14.56152",9:48,13629.0,6429.0,8226.29,inf,6429.0,2042,1014.0,6.251054472994999
"46.09647,14.47449","46.04449,14.74227",9:07,,,,,,7811,2246.0,21.450979695932112
"46.08542,14.41732","46.12201,14.50066",9:41,15131.0,7931.0,10123.39,inf,7931.0,2933,993.0,7.605149977038905
"46.03831,14.44498","46.011,14.48879",8:35,12491.0,5291.0,6845.29,inf,5291.0,1682,964.0,4.545652249684901
"46.02576,14.5056","46.08264,14.53355",9:28,13618.0,6418.0,7868.73,inf,6418.0,2528,954.0,6.682403611657571
"46.12578,14.4524","45.97728,14.67663",7:52,,,,,,7843,2261.0,23.918329881382352
"46.09554,14.55684","46.13786,14.70964",9:38,20665.0,13465.0,17368.67,inf,13465.0,4041,1322.0,12.68302828862964
"46.03519,14.45993","46.13296,14.73279",7:33,,,,,,7792,2012.0,23.686564031647876
"46.11643,14.45135","46.1187,14.61432",6:21,19949.0,12749.0,16314.39,inf,12749.0,4752,1247.0,12.563967675920804
"46.07134,14.60593","46.01295,14.63655",9:54,14291.0,7091.0,8977.41,inf,7091.0,2230,1585.0,6.909433262784697
"46.02536,14.56487","46.04587,14.73015",6:30,20858.0,13658.0,17623.06,inf,13658.0,4643,1980.0,12.960645709137083
"46.07464,14.60037","46.13611,14.58124",6:27,14178.0,6978.0,8994.71,inf,6978.0,2950,777.0,6.992455480199227
"46.07806,14.52433","46.11289,14.52917",9:34,11770.0,4570.0,5712.83,inf,4570.0,1616,526.0,3.8908595536209805
"46.04097,14.53597","46.10315,14.49215",7:33,14795.0,7595.0,9472.74,inf,7595.0,2713,895.0,7.696205574716511
"46.0212,14.52461","46.00966,14.52142",6:12,8846.0,1646.0,2118.22,inf,1646.0,625,283.0,1.3066200711122529
"46.04654,14.4491","46.01629,14.51244",9:40,13312.0,6112.0,7683.01,inf,6112.0,2468,553.0,5.93497026745236
"45.99929,14.61654","45.99024,14.53421",8:03,14153.0,6953.0,9043.22,inf,6953.0,2060,1723.0,6.439095700918159
"46.07074,14.64205","46.00714,14.48294",8:42,20541.0,13341.0,16981.62,inf,13341.0,4897,1297.0,14.172007962977963
"46.02191,14.60165","46.10093,14.52409",6:05,18100.0,10900.0,13582.59,inf,10900.0,3844,1042.0,10.63091001307307
"46.06706,14.72317","46.09279,14.60888",6:00,17592.0,10392.0,13534.68,inf,10392.0,3024,1205.0,9.267943434992446
"46.01419,14.67684","46.10177,14.47773",9:11,,,,,,6133,1690.0,18.19005677089464
"46.03121,14.63547","46.13704,14.67515",8:34,20862.0,13662.0,17719.16,inf,13662.0,4056,1783.0,12.159181374127089
"46.09183,14.57094","46.00935,14.68759",6:58,20347.0,13147.0,16749.63,inf,13147.0,4117,2098.0,12.85112538213018
