walk_time,bike_time,car_time,line_distance
2246,700,583.0,2.302118193371712
1600,467,374.0,1.3828781309974503
2027,580,562.0,2.1948065162992614
12,4,4.0,0.034478218350861324
1016,284,260.0,1.126526182129536
2569,796,1318.0,2.01864883913886
749,234,183.0,0.49464504100712575
2618,722,1804.0,2.747318822118036
3384,993,1278.0,2.5248188299886314
4226,1315,1802.0,3.4801769570070737
1704,510,659.0,0.3144280595854747
2089,600,1194.0,1.7980739907913894
1972,636,1173.0,0.44487019418887425
2310,678,629.0,2.690069240646973
2040,670,864.0,1.921200553740353
2085,593,444.0,1.0893673331773068
1803,515,929.0,2.0293231293515177
2295,732,1073.0,1.945800302971913
3650,1049,734.0,2.315214552654871
3429,997,1370.0,3.319660706706906
3829,1271,1372.0,3.5207145462797587
1586,439,1155.0,1.1172841990616573
1049,335,208.0,1.1502300543418267
3061,871,934.0,2.77133134567957
4277,1286,1587.0,2.1865410781164747
1975,693,502.0,1.8852410612136048
1407,392,2295.0,1.4002046118601055
2413,716,851.0,2.293862976505731
4266,1264,1656.0,2.3093235428510486
490,148,98.0,0.29155023117057727
2896,865,649.0,2.999325716453551
3495,1044,935.0,3.7057302153008322
2526,833,413.0,2.616644736189644
2853,889,879.0,2.2468712290145647
1958,592,747.0,1.7991974840788274
2267,684,591.0,2.3430655809513827
4029,1162,1073.0,3.642734819393676
3885,1132,1056.0,4.0310211005494265
3550,1029,1213.0,3.354426473484875
783,210,155.0,0.7991886496853823
3222,979,854.0,3.0373572938304068
5691,1635,1067.0,3.3457332915111957
1966,598,1011.0,1.6663944804432544
2024,594,584.0,2.5467795737879775
5111,1454,1556.0,4.826023720183988
4209,1234,1713.0,1.9401579231568684
4288,1279,1724.0,1.606984848865304
3405,997,1342.0,3.2536433700781284
1803,591,345.0,1.713631934650932
2076,609,451.0,1.7341936847961001
2648,762,1502.0,1.786917918793556
2861,843,692.0,2.400941580963984
1680,487,427.0,1.0074400842483127
2253,687,702.0,1.848003563479585
307,89,99.0,0.33507007299854374
1531,438,395.0,0.8531324370997192
2332,715,682.0,2.4161261810205144
3376,1018,897.0,2.4075873985450382
2348,709,1079.0,1.3502129863068226
3220,941,778.0,3.2023964286245623
3066,854,952.0,3.082785575943369
2624,782,1120.0,2.6457598187494233
2757,814,687.0,2.275398974618471
1494,423,462.0,1.7174810083610683
2107,703,360.0,1.1416001955558917
2528,754,1081.0,1.367852646923559
1328,404,621.0,0.7273181125973073
2178,657,511.0,2.0143304212178905
2664,768,1263.0,2.676523668866272
2140,699,426.0,1.1667895416351914
5892,1723,1642.0,2.999238638051392
3303,984,1502.0,3.4904918640714735
2685,777,1434.0,2.7560934534484933
1261,358,381.0,1.317056378848568
1014,282,1941.0,1.1323375847568926
2403,702,532.0,2.6151798420792147
3113,888,1285.0,1.9994190593208978
3257,922,1380.0,2.4349010571799203
2578,776,689.0,2.9067941222619504
2011,573,573.0,2.1156746714250794
