start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"55.77842,-4.47555","55.71795,-4.36775",8:45,20592.0,13392.0,17542.62,inf,13392.0,3740.0,1473.0,9.525099205662807
"55.74666,-4.4369","55.73357,-4.3087",9:02,20592.0,13392.0,17444.75,inf,13392.0,3960.0,1585.0,8.155855677424695
"55.74042,-4.41867","55.68458,-4.30573",8:28,18547.0,11347.0,14905.49,inf,11347.0,3216.0,,9.412997497181848
"55.76927,-4.31023","55.80096,-4.34791",6:34,12354.0,5154.0,6424.68,inf,5154.0,1791.0,633.0,4.238790572839157
"55.78225,-4.43072","55.72338,-4.47508",8:38,9884.0,6284.0,8258.87,inf,6284.0,1753.0,584.0,7.11029522358308
"55.73928,-4.40944","55.74854,-4.44717",9:17,16462.0,9262.0,12212.48,inf,9262.0,2626.0,887.0,2.576264015537129
"55.76773,-4.4455","55.69283,-4.4131",9:19,21121.0,13921.0,18296.2,inf,13921.0,3811.0,1279.0,8.572008663727644
"55.80345,-4.39044","55.7127,-4.22348",7:42,20359.0,13159.0,16981.05,inf,13159.0,4023.0,1110.0,14.524237615072245
"55.76466,-4.43704","55.75611,-4.44988",9:59,8617.0,1417.0,1860.94,0.0,1417.0,397.0,425.0,1.2446670349436457
"55.73724,-4.26006","55.77618,-4.38134",7:57,15156.0,7956.0,10270.17,inf,7956.0,2386.0,763.0,8.736931455592808
"55.77442,-4.3433","55.76213,-4.32676",6:22,5396.0,1796.0,2289.38,inf,1796.0,582.0,274.0,1.7140493524955807
"55.79992,-4.29719","55.68805,-4.46996",7:33,,,,,,4941.0,1291.0,16.482594490894762
"55.76822,-4.54556","55.78239,-4.35342",6:32,18951.0,11751.0,15320.3,inf,11751.0,3372.0,1390.0,12.119378455285501
"55.72276,-4.36673","55.77776,-4.42169",9:49,17432.0,10232.0,13457.61,inf,10232.0,2802.0,1235.0,7.016532345101958
"55.7207,-4.3167","55.73447,-4.22022",8:47,13894.0,6694.0,8783.21,inf,6694.0,1909.0,549.0,6.232302530889879
"55.72824,-4.35384","55.78816,-4.32111",7:09,14852.0,7652.0,9832.28,inf,7652.0,2269.0,1047.0,6.970407412994214
"55.72324,-4.26968","55.77328,-4.3671",8:32,15487.0,8287.0,10702.7,inf,8287.0,2530.0,795.0,8.254249966677573
"55.8017,-4.44567","55.7325,-4.43322",7:46,18016.0,10816.0,14184.38,inf,10816.0,3672.0,1218.0,7.733999929930013
"55.7947,-4.30803","55.7339,-4.49741",7:32,16862.0,13262.0,16999.03,inf,13262.0,3946.0,1408.0,13.64051596338094
"55.73891,-4.4012","55.70593,-4.36893",9:47,16192.0,8992.0,11791.77,inf,8992.0,2593.0,980.0,4.187186216559689
"55.68954,-4.24274","55.71953,-4.36187",9:25,18177.0,10977.0,14450.53,inf,10977.0,2998.0,,8.175037887828225
"55.74319,-4.30444","55.78683,-4.53478",6:19,,,,,,5157.0,2047.0,15.20450489922752
"55.78022,-4.49579","55.79946,-4.29144",6:14,15979.0,12379.0,15820.94,inf,12379.0,3936.0,1517.0,12.953264680001798
"55.71801,-4.32989","55.72095,-4.51391",6:36,,,,,,4391.0,1389.0,11.529805344164538
"55.77376,-4.31958","55.80662,-4.40462",6:32,10865.0,7265.0,9238.05,inf,7265.0,2443.0,977.0,6.450963019237286
