start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"51.50419,-3.28142","51.42806,-3.19224",8:45,16980.0,9780.0,12454.12,inf,9780.0,3895.0,1164.0,10.479711151968768
"51.49267,-3.14465","51.53257,-3.17583",9:02,12351.0,5151.0,6304.89,inf,5151.0,1841.0,783.0,4.933534340563248
"51.50901,-3.24433","51.43489,-3.28104",8:28,12080.0,8480.0,10658.14,inf,8480.0,2660.0,1294.0,8.625067421269772
"51.49073,-3.25657","51.39642,-3.22976",6:34,17317.0,10117.0,12933.24,inf,10117.0,4833.0,1254.0,10.65013428790995
"51.5357,-3.21101","51.42144,-3.07288",8:38,,,,,,,,15.90367838351665
"51.48686,-3.24956","51.4761,-3.26018",9:17,9557.0,2357.0,2976.45,inf,2357.0,713.0,416.0,1.4044048587373794
"51.49915,-3.17201","51.48368,-3.15833",9:19,9098.0,1898.0,2338.66,inf,1898.0,786.0,348.0,1.9636862862196316
"51.53125,-3.13387","51.3904,-3.2768",7:42,,,,,,7517.0,1747.0,18.529573029645118
"51.54661,-3.24554","51.53113,-3.3318",9:59,9754.0,6154.0,7928.58,inf,6154.0,2192.0,963.0,6.209218201620664
"51.5335,-3.2567","51.44637,-3.2464",7:57,13271.0,9671.0,12211.55,inf,9671.0,3348.0,993.0,9.714623842995456
"51.54231,-3.27299","51.55747,-3.18865",6:22,13444.0,6244.0,8067.74,inf,6244.0,2145.0,1048.0,6.070412264613455
"51.52469,-3.14283","51.44814,-3.2995",7:33,20264.0,13064.0,16049.02,inf,13064.0,5489.0,1302.0,13.788861080226122
"51.50646,-3.29817","51.53068,-3.12911",6:32,19055.0,11855.0,14810.21,inf,11855.0,3885.0,1288.0,12.003657951622413
"51.49833,-3.15238","51.5397,-3.22275",9:49,13810.0,6610.0,8220.66,inf,6610.0,2327.0,953.0,6.698395517008578
"51.45627,-3.1883","51.51692,-3.32044",8:47,17530.0,10330.0,13256.77,inf,10330.0,3344.0,1008.0,11.36635968271087
"51.48307,-3.25113","51.52615,-3.08882",7:09,18775.0,11575.0,14338.28,inf,11575.0,4369.0,1072.0,12.212709747503055
"51.51425,-3.13718","51.48148,-3.32202",8:32,16973.0,13373.0,16800.3,inf,13373.0,4653.0,1683.0,13.304043308222532
"51.53442,-3.09368","51.52739,-3.30842",7:46,21098.0,13898.0,17516.26,inf,13898.0,4746.0,1085.0,14.874870383492114
"51.54788,-3.28713","51.48298,-3.14649",7:32,18062.0,10862.0,13480.94,inf,10862.0,3840.0,1655.0,12.115602365577516
"51.47565,-3.16419","51.38736,-3.06999",9:47,,,,,,,,11.790968381144697
"51.51772,-3.31557","51.48142,-3.15142",9:25,14367.0,10767.0,13491.96,inf,10767.0,3745.0,1271.0,12.058275313607913
"51.49764,-3.126","51.38408,-3.2012",6:19,,,,,,,,13.660704943545364
"51.54536,-3.21633","51.39191,-3.20573",6:14,17984.0,14384.0,17998.66,inf,14384.0,5496.0,,17.078651924604003
"51.5232,-3.28654","51.52318,-3.22191",6:36,11968.0,4768.0,6078.66,inf,4768.0,1689.0,951.0,4.471442612351619
"51.50774,-3.29128","51.45113,-3.07784",6:32,,,,,,,,16.06561428105258
"51.48581,-3.17005","51.42936,-3.33658",8:16,20445.0,13245.0,16467.27,inf,13245.0,4648.0,1248.0,13.134903620931137
"51.53965,-3.30888","51.37796,-3.13016",9:04,,,,,,,,21.830438547014264
