D3_Cityrecode,avg_PT_satisfaction,avg_Life_satisfaction,avg_EasyToGet,avg_Frequent,avg_Reliable,pct_primary_car,pct_primary_motorcycle,pct_primary_bicycle,pct_primary_foot,pct_primary_train,pct_primary_urbanPT
Wien,3.4458672875436553,3.41025641025641,3.354725787631272,2.919143876337693,3.1668611435239207,0.3560693641618497,0.04508670520231214,0.11676300578034682,0.21734104046242775,0.028901734104046242,0.2208092485549133
Antwerpen,2.561811505507956,3.396470588235294,2.9793939393939395,2.428918590522479,2.3907910271546635,0.4864864864864865,0.05052878965922444,0.18213866039952997,0.1445358401880141,0.0199764982373678,0.1045828437132785
Bruxelles / Brussel,2.6991473812423874,3.0737704918032787,3.2215568862275448,2.82950423216445,2.6718938480096504,0.4929742388758782,0.05737704918032787,0.07962529274004684,0.13817330210772832,0.03044496487119438,0.18501170960187355
Liège,2.2477535301668805,3.111764705882353,3.0528211284513804,2.8303249097472922,2.4486552567237165,0.6009389671361502,0.057511737089201875,0.03873239436619718,0.12910798122065728,0.015258215962441314,0.142018779342723
Zagreb,2.6312649164677806,3.184705882352941,3.023529411764706,2.794011976047904,2.64906103286385,0.447831184056272,0.032825322391559206,0.09261430246189918,0.15943728018757328,0.021101992966002344,0.2309495896834701
Lefkosia,1.7205882352941178,3.089940828402367,2.033857315598549,2.017948717948718,2.220731707317073,0.6394799054373522,0.07801418439716312,0.08156028368794327,0.14066193853427897,0.00591016548463357,0.0425531914893617
Praha,3.241706161137441,3.217391304347826,3.4002347417840375,3.071090047393365,3.2776470588235296,0.43157894736842106,0.05146198830409357,0.06900584795321638,0.2046783625730994,0.010526315789473684,0.22105263157894736
Tallinn,2.943717277486911,3.307511737089202,3.252707581227437,3.061818181818182,3.1664611590628855,0.5309941520467836,0.0304093567251462,0.05497076023391813,0.1695906432748538,0.010526315789473684,0.18128654970760233
Helsinki / Helsingfors,3.187648456057007,3.3552168815943726,3.234466588511137,3.1492361927144534,3.181603773584906,0.4049008168028005,0.03500583430571762,0.09684947491248541,0.24154025670945156,0.03500583430571762,0.176196032672112
Oulu / Uleåborg,2.2659176029962547,3.367561260210035,2.837098692033294,2.588796185935638,3.205988023952096,0.5745920745920746,0.037296037296037296,0.14102564102564102,0.12237762237762238,0.008158508158508158,0.10606060606060606
Bordeaux,2.904028436018957,3.3044496487119437,3.0224586288416075,2.8684210526315788,2.654963680387409,0.45964912280701753,0.0608187134502924,0.12748538011695906,0.17894736842105263,0.019883040935672516,0.13801169590643275
Lille,2.9854897218863363,3.032596041909197,3.0577830188679247,2.948870392390012,2.55410225921522,0.5046511627906977,0.044186046511627906,0.08255813953488372,0.19069767441860466,0.011627906976744186,0.15465116279069768
Marseille,2.4028950542822676,2.8250591016548463,2.7797619047619047,2.6519607843137254,2.741007194244604,0.45730994152046783,0.06900584795321638,0.06315789473684211,0.1976608187134503,0.0152046783625731,0.18011695906432748
Rennes,3.0562874251497005,3.3839811542991756,3.2950236966824646,3.123205741626794,2.9976218787158144,0.4381625441696113,0.048292108362779744,0.11778563015312132,0.2049469964664311,0.027090694935217905,0.14605418138987045
Strasbourg,3.126491646778043,3.2945285215366704,3.2365339578454333,3.1381733021077283,3.193434935521688,0.4842840512223516,0.04307334109429569,0.14318975552968569,0.1548311990686845,0.023282887077997673,0.13736903376018628
Paris,2.428402366863905,2.8823529411764706,3.1192443919716646,2.8837485172004746,2.4334916864608074,0.3094958968347011,0.05744431418522861,0.11957796014067995,0.30363423212192264,0.035169988276670575,0.16412661195779601
Berlin,3.022511848341232,3.209545983701979,3.2,2.9545454545454546,2.4398584905660377,0.4095127610208817,0.058004640371229696,0.14037122969837587,0.14153132250580047,0.02088167053364269,0.20533642691415313
Dortmund,3.028985507246377,3.295215869311552,3.2318668252080855,2.806888068880689,2.8093525179856114,0.5290697674418605,0.04534883720930233,0.08372093023255814,0.16395348837209303,0.01744186046511628,0.14302325581395348
Essen,2.6408010012515644,3.3027842227378192,3.1664712778429074,2.4239130434782608,2.447086801426873,0.5467128027681661,0.03460207612456748,0.09457900807381776,0.15570934256055363,0.02422145328719723,0.12918108419838523
Hamburg,3.111244019138756,3.526627218934911,3.263839811542992,3.0423412204234124,2.656434474616293,0.42538190364277323,0.03525264394829612,0.16216216216216217,0.15041128084606345,0.024676850763807285,0.1809635722679201
Leipzig,2.8012048192771086,3.489485981308411,3.2958579881656807,2.7669172932330826,2.7807551766138854,0.4252336448598131,0.037383177570093455,0.16004672897196262,0.1425233644859813,0.014018691588785047,0.20210280373831777
München,3.0836277974087163,3.475467289719626,3.372801875732708,2.991128010139417,2.830188679245283,0.4176334106728538,0.03248259860788863,0.1554524361948956,0.154292343387471,0.018561484918793503,0.20301624129930396
Rostock,3.2680288461538463,3.5140515222482436,3.22700119474313,2.8641975308641974,3.375609756097561,0.4310747663551402,0.036214953271028034,0.1483644859813084,0.1542056074766355,0.02570093457943925,0.19158878504672897
