walk_time,bike_time,car_time,line_distance
,8046.0,2540.0,21.300630422956637
,13447.0,,24.822143756978345
6078.0,1637.0,754.0,0.30948862418170886
,4117.0,,11.239240852385397
,,,18.9221311936027
,7730.0,2979.0,23.69562954788904
7235.0,2430.0,771.0,6.748824884849924
,,,38.32944539668678
,,,38.490923813444766
10122.0,2705.0,1438.0,4.538033096779754
,13065.0,4512.0,34.21644076973218
,7140.0,2224.0,18.634943767583415
,,,18.579388799238455
,5115.0,2426.0,12.190420095877604
7140.0,1987.0,886.0,6.852532576183407
,11949.0,4093.0,31.041673071477355
13989.0,4260.0,1061.0,11.124178691839743
,,,39.76077342520605
,,,16.953873655137794
,8798.0,3120.0,29.733341957739867
,12706.0,3482.0,33.57314921759032
,,,38.32712953822322
,13189.0,,35.25749237030615
,11609.0,,27.931447804528545
,,,30.628792838061223
,6256.0,,16.29635625566527
,13698.0,,44.54965437214721
,,,14.10489802636376
,13934.0,4778.0,30.067301594264617
13746.0,3873.0,,9.839919237730227
,6079.0,,15.25643478749579
,12773.0,5577.0,35.474786351401065
,,,26.33675163279006
,,3926.0,49.70110301955975
,10706.0,3806.0,29.994510394028122
,9592.0,4094.0,15.749539596453042
,13027.0,,26.551911197546158
,8181.0,4740.0,16.070904484130562
,,,30.57503876796503
,5828.0,1687.0,17.393208999301
2918.0,801.0,384.0,3.0067803273835976
,,,12.641679823586593
,13142.0,5713.0,29.9051415495182
,8398.0,2656.0,23.679442273063668
,8533.0,4821.0,19.14435588887215
,,4127.0,27.88679818236094
,13901.0,,28.032410950774302
,,,35.3176550981054
,11865.0,,27.320990600258238
,4407.0,2493.0,11.618370090535656
,,,44.2939947329203
,,,17.62379020092327
,,,39.2787767235992
,12718.0,5419.0,31.98270490286928
,,,39.17425469272177
,12895.0,,36.058811646890014
,8351.0,3977.0,21.944422663871077
,4425.0,2592.0,8.65688543082212
,11079.0,4833.0,28.8116227898472
,7387.0,2876.0,15.554149241905492
,14275.0,3992.0,37.27485762790192
,8273.0,2793.0,25.321084880989
,,,39.81607760970151
,6039.0,2654.0,17.68603157470675
,,,29.54494855933819
,,,14.877467022407977
,,,38.559810651350176
,,,10.78514189757747
,,,24.110360426412164
,5707.0,,13.029738139658054
,4757.0,1212.0,14.46129658834207
,10534.0,4728.0,28.413539914289426
,4871.0,2284.0,12.805814828734349
,11401.0,2867.0,28.886001481644602
,14182.0,3591.0,38.240367715815914
10222.0,3326.0,1332.0,9.373156424132464
,,5599.0,40.92263848111369
,5523.0,3909.0,17.07903434635028
13042.0,3720.0,1815.0,12.146902806122847
,,,33.61093586803878
,,,12.52104372027361
,11240.0,,28.654815308347427
,7732.0,2706.0,12.87197734162081
,14033.0,5304.0,42.570916135399806
,7648.0,3595.0,13.188664427792688
,7914.0,,18.023456294012696
,9512.0,2291.0,27.780709562027717
12649.0,3469.0,2735.0,8.375456991451593
,12002.0,4696.0,28.601159065617143
,,,24.37832222221737
13105.0,3669.0,1623.0,11.646950488148269
,5409.0,2374.0,14.96970224148234
12758.0,3928.0,1642.0,9.695616043734287
,9583.0,2970.0,19.41252659496487
,13244.0,3753.0,40.59241616786962
,9569.0,4212.0,22.596664906649767
,4058.0,2217.0,12.149445862329399
,11530.0,5906.0,24.99920522141181
,,,14.660743306219947
,,,14.512883535294302
,10856.0,4934.0,30.086748734832437
,6789.0,3738.0,14.469796652973569
,6922.0,2973.0,8.75885576695653
,11014.0,4206.0,37.77114351303653
12719.0,3469.0,1822.0,6.308610856436178
,7390.0,,19.865564238180504
,12667.0,6259.0,22.325429240162208
,10087.0,3214.0,26.567960503542583
,6258.0,2652.0,16.579744448199154
10418.0,3005.0,1466.0,8.342422542920753
9836.0,2672.0,2123.0,6.085038734045971
,10666.0,3285.0,33.476151193235964
,12197.0,,26.007241166367578
,5519.0,,16.878721869523513
,10393.0,4639.0,26.42406031135307
,9945.0,,26.28023830120259
,,,22.312967954756168
,11426.0,5271.0,26.36058915412583
,9593.0,4677.0,15.13564166534437
,7158.0,2242.0,24.250005588446076
,8224.0,1970.0,26.34190236498007
,5096.0,,14.679432718343163
,5046.0,2524.0,12.667228432435357
,7262.0,3562.0,19.06791284093096
,,,45.53342420145112
9166.0,3191.0,1328.0,9.809790211433803
,,,30.6488999688653
,6400.0,2581.0,18.978683841827156
,5068.0,5728.0,12.602165545978403
,10979.0,,21.309180049286844
,6500.0,2243.0,14.738863087707147
,5163.0,2391.0,12.617595342398253
,6041.0,,13.693747559384972
,,,17.28773440818381
,4453.0,1821.0,14.87325974530861
,8174.0,4841.0,19.030069306274207
,14355.0,,28.274684797453048
,,,20.806441604314823
,7536.0,3365.0,25.23600000642617
,7219.0,2663.0,20.891291908117854
,,,23.041601752443604
