start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"51.30655,4.29974","51.21075,4.38225",8:45,,,,,,4314.0,1544.0,12.101274552458582
"51.25623,4.32932","51.23549,4.42745",9:02,14151.0,6951.0,8917.54,inf,6951.0,2139.0,,7.209233069807624
"51.24634,4.34327","51.15788,4.42973",8:28,19147.0,11947.0,15167.52,inf,11947.0,4064.0,1703.0,11.534272851693771
"51.18655,4.37723","51.18491,4.3773",6:34,7357.0,157.0,201.98,0.0,157.0,54.0,28.0,0.1824249303062084
"51.29206,4.42628","51.34226,4.39744",8:38,12424.0,5224.0,6798.39,inf,5224.0,1529.0,667.0,5.930922817354197
"51.31262,4.33405","51.21935,4.3001",9:17,,,,,,5527.0,1090.0,10.63673792106615
"51.24454,4.35034","51.25921,4.32146",9:19,9407.0,2207.0,2874.01,inf,2207.0,670.0,757.0,2.588593609682357
"51.28962,4.32274","51.17094,4.34754",7:42,,,,,,4683.0,1749.0,13.309112603962877
"51.28474,4.32922","51.2712,4.31939",9:59,8855.0,1655.0,2112.67,inf,1655.0,640.0,273.0,1.6535655434005478
"51.21837,4.38303","51.3055,4.34096",7:57,19557.0,12357.0,15638.42,inf,12357.0,3824.0,1277.0,10.120987665604806
"51.35994,4.33294","51.34045,4.25313",6:22,,,,,,,2171.0,5.951252262725307
"51.2151,4.42132","51.23691,4.49518",7:33,12447.0,5247.0,6561.81,inf,5247.0,1874.0,821.0,5.686383730875177
"51.22704,4.3929","51.32198,4.41795",6:32,19944.0,12744.0,15881.49,inf,12744.0,4078.0,1257.0,10.699693485702126
"51.21912,4.45732","51.2984,4.38275",9:49,16911.0,9711.0,12185.65,inf,9711.0,3303.0,1134.0,10.22936061326261
"51.34344,4.32261","51.23379,4.33214",8:47,,,,,,6746.0,1381.0,12.210521677837976
"51.35532,4.31643","51.19242,4.37429",7:09,,,,,,6092.0,1450.0,18.55544399050267
"51.35452,4.30754","51.3736,4.38557",8:32,13173.0,5973.0,7766.86,inf,5973.0,1899.0,933.0,5.817994759801032
"51.24395,4.35665","51.1917,4.38135",7:46,10967.0,7367.0,9424.43,inf,7367.0,2231.0,1014.0,6.0592747954021435
"51.25074,4.43071","51.31987,4.2544",7:32,,,,,,,2290.0,14.471931874745517
"51.30941,4.28425","51.33989,4.44066",9:47,,,,,,5666.0,1074.0,11.384569312208198
"51.21084,4.41123","51.2155,4.27038",9:25,12210.0,8610.0,10611.98,inf,8610.0,2988.0,1019.0,9.824613655990213
"51.29917,4.41913","51.35124,4.35403",6:19,13765.0,6565.0,8612.11,inf,6565.0,1903.0,758.0,7.347472040345408
"51.24626,4.3859","51.32257,4.26364",6:14,,,,,,,2440.0,12.012440448685439
"51.27998,4.32777","51.33419,4.47794",6:36,,,,,,5087.0,1557.0,12.054183005552485
"51.16304,4.34361","51.17626,4.34995",6:32,8636.0,1436.0,1839.25,0.0,1436.0,460.0,299.0,1.5350188362097763
"51.36153,4.29446","51.27987,4.42458",8:16,17739.0,14139.0,18381.24,inf,14139.0,4226.0,1222.0,12.81459203423634
"51.15146,4.36231","51.31783,4.27301",9:04,,,,,,,2460.0,19.51630871540002
"51.27064,4.4082","51.15953,4.49536",6:49,19505.0,12305.0,15593.25,inf,12305.0,4045.0,1493.0,13.76584578865523
"51.24337,4.34671","51.32797,4.36438",8:55,21291.0,14091.0,18304.91,inf,14091.0,4431.0,1253.0,9.487016138134663
"51.18635,4.45707","51.21896,4.28958",7:03,18506.0,11306.0,13937.5,inf,11306.0,3905.0,1147.0,12.219615068683495
"51.19957,4.46965","51.33254,4.25304",8:02,,,,,,,2650.0,21.11252019194691
"51.21444,4.37925","51.37288,4.40132",7:20,,,,,,5589.0,2189.0,17.6844338698648
"51.33047,4.29501","51.33045,4.3548",7:39,17469.0,13869.0,18092.16,inf,13869.0,4091.0,762.0,4.1540701855181315
"51.31102,4.29062","51.23979,4.48809",8:02,,,,,,5448.0,1327.0,15.856118875919224
"51.28343,4.40278","51.21239,4.24871",9:20,,,,,,5130.0,1615.0,13.31901008777192
"51.35117,4.27434","51.14771,4.43969",6:47,,,,,,7594.0,1959.0,25.382584214154
"51.30975,4.35135","51.36773,4.46403",8:56,20738.0,13538.0,17619.38,inf,13538.0,4273.0,1433.0,10.140607139192
"51.33836,4.27356","51.34148,4.39374",9:48,21133.0,13933.0,18140.71,inf,13933.0,4223.0,1023.0,8.355307940784602
"51.27658,4.38755","51.19658,4.41013",9:07,16288.0,9088.0,11549.18,inf,9088.0,3151.0,840.0,9.033428242635816
"51.21358,4.35727","51.24168,4.47915",9:41,12632.0,9032.0,11282.06,inf,9032.0,2953.0,859.0,9.043820096537306
"51.28111,4.38345","51.36534,4.36935",8:35,17781.0,10581.0,13651.38,inf,10581.0,3558.0,1431.0,9.417057997399857
"51.28579,4.32738","51.33351,4.33095",9:28,,,,,,5489.0,642.0,5.312021100201302
"51.36287,4.33075","51.35594,4.40344",7:52,11836.0,4636.0,6001.5,inf,4636.0,1395.0,839.0,5.105628642430158
"51.17786,4.39538","51.16547,4.33466",9:38,11742.0,4542.0,5792.3,inf,4542.0,1525.0,517.0,4.451820996513933
"51.27576,4.41419","51.18862,4.29685",7:33,16971.0,13371.0,16782.26,inf,13371.0,4149.0,1424.0,12.674195431719546
"51.20886,4.38439","51.31713,4.3272",6:21,20711.0,13511.0,17483.4,inf,13511.0,4007.0,1278.0,12.679664523455807
"51.19827,4.43984","51.31828,4.29301",9:54,,,,,,5282.0,1312.0,16.80690198013313
"51.22159,4.40934","51.36661,4.4386",6:30,,,,,,4445.0,1565.0,16.253327782590205
"51.30466,4.36175","51.19164,4.44777",6:27,20295.0,13095.0,16607.49,inf,13095.0,4650.0,888.0,13.920566630080845
"51.36443,4.31076","51.25862,4.33371",9:34,,,,,,5306.0,1325.0,11.873179191445448
"51.36507,4.33586","51.28815,4.39768",7:33,18278.0,11078.0,14379.63,inf,11078.0,3479.0,919.0,9.57114416377883
"51.21935,4.49314","51.3709,4.34597",6:12,,,,,,5857.0,1118.0,19.715174511506735
"51.29708,4.30749","51.23865,4.26307",9:40,,,,,,6057.0,1128.0,7.194663764008791
"51.25305,4.3801","51.23152,4.46048",8:03,10430.0,6830.0,8563.91,inf,6830.0,2347.0,1006.0,6.0859898838736735
"51.2962,4.43903","51.19834,4.27628",8:42,,,,,,5388.0,1513.0,15.707673990438227
"51.22555,4.49608","51.20872,4.25238",6:05,,,,,,5232.0,1614.0,17.076367332895572
"51.29473,4.43538","51.15298,4.30056",6:00,,,,,,5420.0,1621.0,18.34625463704353
"51.15606,4.35676","51.21266,4.31506",9:11,16163.0,8963.0,11473.39,inf,8963.0,2927.0,1105.0,6.932330616439791
"51.35003,4.34771","51.35862,4.43141",8:34,12308.0,5108.0,6687.47,inf,5108.0,1449.0,696.0,5.890214433775181
"51.19363,4.4586","51.23554,4.2745",6:58,15679.0,12079.0,15099.11,inf,12079.0,4147.0,1094.0,13.643678708745327
"51.35264,4.35041","51.25987,4.31978",9:10,,,,,,5394.0,1082.0,10.533006720937783
"51.3593,4.32847","51.21478,4.39338",7:22,,,,,,5403.0,1305.0,16.691857504678172
"51.24698,4.34315","51.36174,4.36355",7:13,,,,,,4724.0,1353.0,12.839290209513244
"51.28777,4.41019","51.1577,4.33827",8:18,,,,,,5207.0,1475.0,15.305803265158428
"51.17562,4.42695","51.27555,4.41272",9:36,17067.0,9867.0,12403.33,inf,9867.0,3498.0,908.0,11.15580619836284
"51.20173,4.37878","51.26649,4.42434",9:15,11097.0,7497.0,9485.4,inf,7497.0,2533.0,678.0,7.86867550418593
"51.22796,4.40173","51.33019,4.2518",7:43,,,,,,,2392.0,15.426327526094445
"51.27153,4.38639","51.34518,4.28676",7:27,,,,,,5042.0,1165.0,10.725161342998106
"51.18305,4.34015","51.26864,4.30528",9:44,20835.0,13635.0,17602.09,inf,13635.0,4323.0,1433.0,9.822056432805047
"51.2951,4.43533","51.15267,4.37605",7:30,17802.0,14202.0,18003.08,inf,14202.0,4758.0,1107.0,16.366679493733105
"51.34841,4.25096","51.26552,4.27857",7:52,,,,,,8252.0,955.0,9.414652428163231
"51.21038,4.35216","51.36945,4.46686",6:06,,,,,,5529.0,1847.0,19.402987093712003
"51.23798,4.37574","51.17239,4.35553",7:45,14216.0,7016.0,8921.62,inf,7016.0,2347.0,1019.0,7.4279378387615855
"51.25322,4.35831","51.29008,4.29875",8:51,,,,,,6070.0,1142.0,5.828087996214284
"51.23189,4.41155","51.1682,4.29088",6:26,17890.0,10690.0,13481.56,inf,10690.0,3237.0,1288.0,10.99290923069523
"51.21365,4.47317","51.36383,4.28325",8:16,,,,,,6623.0,1632.0,21.29071582459801
"51.22028,4.36076","51.18583,4.309",7:06,12834.0,5634.0,7253.2,inf,5634.0,1855.0,589.0,5.261016262527619
"51.22684,4.35932","51.36671,4.41622",6:14,,,,,,5900.0,2075.0,16.048114996409236
"51.22244,4.40958","51.37645,4.2919",6:52,,,,,,6238.0,1520.0,18.979184233229894
"51.19228,4.43651","51.297,4.44812",6:39,17573.0,10373.0,13049.75,inf,10373.0,3623.0,1093.0,11.672342568330178
"51.28114,4.4093","51.3698,4.39079",7:11,16348.0,9148.0,11794.44,inf,9148.0,2816.0,1036.0,9.942086785273471
"51.36633,4.32555","51.26037,4.33565",9:54,,,,,,5352.0,1279.0,11.803108095470082
"51.20566,4.4722","51.36425,4.35486",8:07,,,,,,5486.0,1257.0,19.431090587312415
"51.22295,4.36311","51.32468,4.46339",9:01,20934.0,13734.0,17188.14,inf,13734.0,4430.0,1659.0,13.289853896168552
"51.26096,4.39327","51.19282,4.40077",9:43,10852.0,7252.0,9200.15,inf,7252.0,2447.0,785.0,7.594800201813456
"51.29875,4.31695","51.30973,4.48907",6:58,,,,,,5293.0,1418.0,12.02745912183439
"51.20901,4.37411","51.16028,4.41862",8:37,13151.0,5951.0,7460.8,inf,5951.0,2069.0,1128.0,6.243761831436476
"51.20107,4.38538","51.22299,4.46754",8:55,12793.0,5593.0,6977.11,inf,5593.0,2070.0,690.0,6.220433741323543
"51.31843,4.30608","51.19288,4.37528",6:25,,,,,,5297.0,1635.0,14.767770955186938
"51.35766,4.30469","51.3201,4.34003",7:50,12863.0,5663.0,7373.39,inf,5663.0,1716.0,605.0,4.844530943023322
"51.17045,4.39105","51.32497,4.45449",9:20,,,,,,5154.0,1399.0,17.740157802899073
"51.24454,4.38304","51.28986,4.49017",7:56,16113.0,8913.0,11437.32,inf,8913.0,3080.0,885.0,8.997129300935079
"51.32033,4.28631","51.27114,4.47197",9:49,,,,,,5717.0,1046.0,14.01995936115157
"51.19669,4.45253","51.34282,4.33149",8:12,,,,,,6055.0,1379.0,18.301237027443506
"51.35393,4.27114","51.26387,4.25542",6:18,,,,,,8455.0,1137.0,10.073653809240403
"51.22113,4.48303","51.35882,4.45596",9:17,20969.0,13769.0,17816.85,inf,13769.0,4212.0,1565.0,15.425717079680926
"51.30383,4.32468","51.25744,4.26753",8:01,,,,,,6588.0,811.0,6.512197123033696
"51.27113,4.34151","51.22497,4.32101",8:51,19335.0,12135.0,15387.0,inf,12135.0,3851.0,1497.0,5.327391916930757
"51.35919,4.31021","51.27248,4.49387",9:44,,,,,,4818.0,,15.996583121897824
"51.23341,4.41751","51.30589,4.3525",7:53,16644.0,9444.0,12106.11,inf,9444.0,3450.0,1070.0,9.241706455913283
"51.19548,4.45275","51.21258,4.33545",7:41,15875.0,8675.0,10511.28,inf,8675.0,2938.0,820.0,8.39047003722177
"51.26144,4.40659","51.2254,4.30556",7:48,18439.0,11239.0,14044.77,inf,11239.0,3641.0,1154.0,8.094310144742238
"51.37272,4.30302","51.30001,4.24591",6:56,,,,,,,1911.0,9.005935432470329
"51.195,4.3421","51.2503,4.44863",9:27,16105.0,8905.0,11237.86,inf,8905.0,3059.0,1130.0,9.635891729241292
"51.28319,4.40722","51.23851,4.46363",9:49,9587.0,5987.0,7557.5,inf,5987.0,2169.0,801.0,6.3316629086362
"51.34062,4.26705","51.28734,4.39323",6:22,,,,,,5304.0,1174.0,10.583448443571138
"51.28866,4.32019","51.22082,4.43306",9:03,15277.0,11677.0,15082.46,inf,11677.0,3448.0,1437.0,10.89050275056264
"51.24403,4.41056","51.31503,4.38392",6:03,15159.0,7959.0,10170.78,inf,7959.0,2734.0,627.0,8.109369890971504
"51.1629,4.33962","51.34142,4.2575",9:11,,,,,,,2620.0,20.656885877901782
"51.35324,4.31023","51.19607,4.29151",9:21,,,,,,7442.0,1596.0,17.52495402259648
"51.2999,4.3037","51.34443,4.41343",6:25,,,,,,5496.0,1158.0,9.091784369573677
