start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"35.19402,33.36869","35.17002,33.41287",8:45,13980.0,6780.0,8584.11,inf,6780.0,2424.0,1590.0,4.821159187136137
"35.18141,33.38453","35.17622,33.43707",9:02,15986.0,8786.0,11545.26,inf,8786.0,2473.0,2173.0,4.809899973591739
"35.17893,33.392","35.15677,33.43829",8:28,13940.0,6740.0,8846.62,inf,6740.0,1920.0,,4.8760932060289415
"35.16395,33.41018","35.16354,33.41022",6:34,7227.0,27.0,35.33,0.0,27.0,8.0,4.0,0.04573469296244187
"35.19039,33.43645","35.20297,33.421",8:38,9149.0,1949.0,2569.8,inf,1949.0,537.0,258.0,1.9818206677780117
"35.19554,33.38706","35.17217,33.36888",9:17,13270.0,6070.0,7869.63,inf,6070.0,1974.0,810.0,3.079389407014443
"35.17046,33.35034","35.19019,33.39685",9:19,13730.0,6530.0,8296.65,inf,6530.0,2374.0,912.0,4.762445948819918
"35.17848,33.39578","35.18216,33.38032",7:42,8558.0,1358.0,1731.75,0.0,1358.0,442.0,239.0,1.4634449473509261
"35.17822,33.46637","35.20554,33.40613",9:59,14276.0,7076.0,9325.93,inf,7076.0,1955.0,,6.2605296012321885
"35.18978,33.381","35.16004,33.39428",7:57,10743.0,3543.0,4553.24,inf,3543.0,1073.0,448.0,3.520332660048379
"35.20395,33.40357","35.16793,33.472",6:22,15554.0,8354.0,11027.42,inf,8354.0,2283.0,,7.396977485336736
"35.18367,33.35422","35.18913,33.45032",7:33,16737.0,9537.0,12329.52,inf,9537.0,2785.0,1298.0,8.754412572982602
"35.18855,33.38447","35.18516,33.37921",6:32,7870.0,670.0,830.85,0.0,670.0,256.0,156.0,0.608759973168225
"35.17767,33.45701","35.19313,33.4073",9:49,,,,,,,,4.833605537644796
"35.19243,33.42289","35.18755,33.42967",8:47,7909.0,709.0,931.39,0.0,709.0,195.0,122.0,0.8210090877999594
"35.16464,33.35083","35.18676,33.45835",7:09,18898.0,11698.0,15164.86,inf,11698.0,3651.0,2053.0,10.077223404569772
