start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"51.47716,6.94993","51.40072,7.02803",8:45,18550.0,11350.0,13880.64,inf,11350.0,4311.0,1598.0,10.077202298577005
"51.437,6.97793","51.42046,7.07081",9:02,13149.0,5949.0,7475.56,inf,5949.0,1963.0,909.0,6.696746092918328
"51.42911,6.99114","51.35853,7.07297",8:28,17592.0,10392.0,13002.6,inf,10392.0,3623.0,964.0,9.686445391712924
"51.38141,7.02327","51.3801,7.02334",6:34,7612.0,412.0,507.92,0.0,412.0,126.0,163.0,0.14574634288970256
"51.46559,7.06971","51.50565,7.0424",8:38,11824.0,4624.0,5537.97,inf,4624.0,1651.0,747.0,4.839235493041813
"51.48199,6.98241","51.40758,6.95027",9:17,15096.0,7896.0,9523.74,inf,7896.0,2871.0,984.0,8.568593900802522
"51.42768,6.99783","51.43938,6.97049",9:19,9864.0,2664.0,3245.93,inf,2664.0,936.0,489.0,2.2988061685140395
"51.42684,7.12259","51.51384,7.01612",7:42,19742.0,12542.0,15262.66,inf,12542.0,4308.0,1872.0,12.16435721134936
"51.46365,6.9717","51.36895,6.99518",9:59,17837.0,10637.0,12889.22,inf,10637.0,3573.0,1331.0,10.655306275053608
"51.5088,7.0116","51.39407,7.13255",7:57,,,,,,5357.0,1998.0,15.264152792993864
"51.45976,6.97783","51.44895,6.96853",6:22,8746.0,1546.0,1841.74,0.0,1546.0,626.0,272.0,1.3638511732737473
"51.4251,7.10605","51.47433,7.01819",7:33,15189.0,7989.0,9851.9,inf,7989.0,2895.0,1212.0,8.187483012398653
"51.4721,7.04574","51.45657,7.05773",6:32,9289.0,2089.0,2521.31,inf,2089.0,780.0,321.0,1.9162298216636091
"51.45113,6.93217","51.37703,7.06274",9:49,19680.0,12480.0,15633.89,inf,12480.0,4038.0,1542.0,12.242779909831892
"51.4068,7.02877","51.47632,6.98895",8:47,15373.0,8173.0,9719.71,inf,8173.0,3258.0,1050.0,8.208172336815602
"51.40419,7.06501","51.42159,7.13491",7:09,14212.0,7012.0,8805.45,inf,7012.0,2371.0,601.0,5.21959081262437
"51.41372,7.03811","51.48947,7.06182",8:32,15613.0,8413.0,10334.15,inf,8413.0,3057.0,1155.0,8.581754378984837
