start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"48.59533,2.24011","48.58402,2.24758",8:45,8853.0,1653,2087.9,inf,1653,654,313.0,1.3723889951688488
"48.58939,2.24279","48.58694,2.25167",9:02,7902.0,702,896.62,0.0,702,246,118.0,0.707677933722231
"48.58822,2.24405","48.57778,2.25188",8:28,8358.0,1158,1464.51,0.0,1158,409,209.0,1.2959055584423655
"48.59604,2.24322","48.58504,2.24015",6:34,9169.0,1969,2582.33,inf,1969,770,367.0,1.2438104014816733
"48.58801,2.24469","48.58974,2.24208",8:38,7643.0,443,561.81,0.0,443,141,85.0,0.2717657472997831
"48.59333,2.24219","48.57932,2.24444",9:17,8783.0,1583,1978.52,0.0,1583,566,322.0,1.5666070822059412
"48.59045,2.23767","48.59302,2.25391",9:19,9601.0,2401,3071.03,inf,2401,933,471.0,1.228107073121243
"48.59275,2.24278","48.59115,2.24189",7:42,7463.0,263,333.23,0.0,263,93,81.0,0.18957095323176779
"48.59458,2.24927","48.59228,2.25042",9:59,7643.0,443,562.76,0.0,443,140,98.0,0.26937011381343784
"48.59148,2.23842","48.58052,2.2509",7:57,8799.0,1599,1995.83,0.0,1599,544,299.0,1.5257394842268515
"48.58492,2.24765","48.5952,2.24384",6:22,8362.0,1162,1465.04,0.0,1162,388,239.0,1.1769302695024453
"48.60163,2.24312","48.59933,2.2359",7:33,8192.0,992,1220.65,0.0,992,380,271.0,0.5893022300659267
"48.58594,2.24854","48.59715,2.25081",6:32,8433.0,1233,1561.02,0.0,1233,364,223.0,1.2576258753418212
"48.5803,2.24044","48.58713,2.2428",9:49,8241.0,1041,1303.33,0.0,1041,424,161.0,0.7790491667794455
"48.59027,2.23733","48.5945,2.23791",8:47,8504.0,1304,1697.0,0.0,1304,925,446.0,0.47228483570120544
"48.59968,2.24218","48.58674,2.24305",7:09,8900.0,1700,2139.42,inf,1700,550,363.0,1.4402842670798919
"48.58085,2.24269","48.59898,2.2476",8:32,8941.0,1741,2187.1,inf,1741,539,282.0,2.0480535495439507
"48.60108,2.24162","48.58186,2.24686",7:46,9358.0,2158,2656.38,inf,2158,675,431.0,2.1716360069357488
"48.60099,2.24082","48.60324,2.24788",7:32,8057.0,857,1078.84,0.0,857,494,243.0,0.5762745575566552
"48.58794,2.24526","48.58177,2.2475",9:47,8003.0,803,1016.81,0.0,803,313,166.0,0.7055804818307215
"48.58874,2.25196","48.5969,2.23601",9:25,8777.0,1577,2026.56,inf,1577,492,266.0,1.483008258961483
"48.59566,2.23871","48.59926,2.25287",6:19,8947.0,1747,2229.43,inf,1747,563,288.0,1.115593882191293
"48.58821,2.24791","48.59722,2.23685",6:14,8591.0,1391,1740.0,0.0,1391,464,268.0,1.290492332218011
"48.59219,2.24265","48.59859,2.25624",6:36,8341.0,1141,1434.07,0.0,1141,381,200.0,1.2269039495104919
"48.59163,2.23953","48.57951,2.25357",6:32,10102.0,2902,3713.74,inf,2902,972,432.0,1.6978686472082427
"48.58903,2.23506","48.5984,2.24759",8:16,8779.0,1579,2032.56,inf,1579,939,362.0,1.390940179052303
"48.59109,2.24993","48.57798,2.25781",9:04,8674.0,1474,1843.22,0.0,1474,594,306.0,1.5687735634842386
"48.59734,2.23725","48.59195,2.251",6:49,8504.0,1304,1691.84,0.0,1304,401,212.0,1.175478029214074
"48.58787,2.24436","48.59785,2.24596",8:55,8233.0,1033,1311.98,0.0,1033,405,210.0,1.1159467104989607
"48.58763,2.24034","48.60339,2.25599",7:03,9263.0,2063,2629.61,inf,2063,761,417.0,2.0965756214996327
"48.58478,2.24045","48.57744,2.23709",8:02,8197.0,997,1265.79,0.0,997,355,167.0,0.8527760095727065
"48.58446,2.24731","48.60315,2.24931",7:20,9008.0,1808,2292.64,inf,1808,590,358.0,2.0834317257289534
"48.59815,2.23969","48.59815,2.2451",7:39,8538.0,1338,1583.05,0.0,1338,355,460.0,0.39783634637502624
"48.59585,2.23929","48.58745,2.25716",8:02,9221.0,2021,2545.59,inf,2021,678,370.0,1.6123757350153152
"48.58645,2.23732","48.58203,2.24024",9:20,8157.0,957,1169.9,0.0,957,319,209.0,0.5363654876547393
"48.58442,2.24136","48.59362,2.24323",6:47,8540.0,1340,1674.61,0.0,1340,576,345.0,1.0321978700495356
"48.5926,2.24944","48.58421,2.2355",8:56,8859.0,1659,2068.03,inf,1659,561,310.0,1.386219092440009
"48.5957,2.24478","48.60255,2.25498",9:48,8385.0,1185,1500.84,0.0,1185,447,283.0,1.0690005275110337
"48.58594,2.23832","48.60175,2.25652",9:07,9493.0,2293,2899.14,inf,2293,744,377.0,2.2095461812080424
"48.59908,2.23774","48.59945,2.24862",9:41,7902.0,702,782.49,0.0,702,352,122.0,0.8011243996694345
"48.58235,2.24326","48.60025,2.24732",8:35,8921.0,1721,2164.28,inf,1721,532,284.0,2.012662917341031
"48.59179,2.24806","48.58235,2.2501",9:28,8093.0,893,1136.27,0.0,893,309,220.0,1.06035040323474
"48.58435,2.24532","48.58767,2.25635",7:52,8081.0,881,1125.86,0.0,881,278,175.0,0.8913523316142744
"48.59232,2.24769","48.60226,2.24641",9:38,8243.0,1043,1226.45,0.0,1043,340,331.0,1.1092785143871686
"48.59288,2.24261","48.59851,2.24294",7:33,8610.0,1410,1811.91,0.0,1410,437,194.0,0.6264976536976139
"48.58688,2.24339","48.59693,2.24047",6:21,8634.0,1434,1807.45,0.0,1434,478,282.0,1.1379570278506812
"48.60197,2.24292","48.60115,2.2495",9:54,8346.0,1146,1306.73,0.0,1146,398,314.0,0.49235867383990556
"48.58368,2.24263","48.58182,2.24242",6:30,7486.0,286,337.52,0.0,286,119,60.0,0.2073986469584827
"48.58778,2.23759","48.58289,2.24182",6:27,8091.0,891,1102.25,0.0,891,339,238.0,0.6264707388001006
"48.59169,2.25047","48.58141,2.23985",9:34,8462.0,1262,1577.15,0.0,1262,466,298.0,1.3844953961982753
"48.5838,2.24777","48.59657,2.2426",7:33,9175.0,1975,2513.14,inf,1975,620,334.0,1.4699905495122847
"48.5911,2.25588","48.59526,2.24826",6:12,8328.0,1128,1435.42,0.0,1128,369,271.0,0.726656569952646
"48.5853,2.25003","48.60241,2.25268",9:40,9127.0,1927,2434.33,inf,1927,583,411.0,1.9125010862855512
"48.5951,2.24572","48.58177,2.25351",8:03,9007.0,1807,2282.99,inf,1807,600,358.0,1.5891160835907474
"48.60216,2.24111","48.58967,2.24319",8:42,9100.0,1900,2326.37,inf,1900,738,436.0,1.3972229253723287
"48.58194,2.23991","48.58774,2.25436",6:05,8374.0,1174,1484.69,0.0,1174,421,218.0,1.2432523536081896
"48.58838,2.23583","48.57714,2.24255",6:00,8699.0,1499,1869.35,0.0,1499,533,291.0,1.3440351010834575
"48.60223,2.24338","48.59315,2.24898",9:11,8690.0,1490,1834.83,0.0,1490,482,301.0,1.0904046261533038
