start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"44.80033,-0.72328","44.7704,-0.67283",8:45,12321.0,5121,6646.89,inf,5121,1602,782.0,5.189290383155488
"44.80201,-0.60604","44.78039,-0.65206",9:02,11097.0,3897,4901.33,inf,3897,1253,517.0,4.3551837557084365
"44.78461,-0.70519","44.77813,-0.64519",8:28,12719.0,5519,6957.14,inf,5519,1841,757.0,4.790071854919001
"44.78152,-0.69666","44.75389,-0.6438",6:34,12770.0,5570,7153.01,inf,5570,2350,786.0,5.1820115437675565
"44.79581,-0.6459","44.81149,-0.66354",8:38,9521.0,2321,2848.49,inf,2321,793,445.0,2.2308749434894484
"44.78096,-0.69234","44.78554,-0.71",9:17,8632.0,1432,1835.99,0.0,1432,496,347.0,1.4839170790457874
"44.79504,-0.70922","44.75797,-0.69405",9:19,11437.0,4237,5369.43,inf,4237,1370,585.0,4.29239349632239
"44.79352,-0.70526","44.78929,-0.71127",7:42,7848.0,648,825.59,0.0,648,206,144.0,0.6679516371224845
"44.79835,-0.66138","44.79227,-0.65364",9:59,8545.0,1345,1648.98,0.0,1345,495,198.0,0.9110809008435515
"44.81097,-0.6398","44.7556,-0.72067",7:57,15057.0,7857,9876.85,inf,7857,2686,1064.0,8.868135599670135
"44.7637,-0.74368","44.79129,-0.62088",6:22,16446.0,9246,11783.7,inf,9246,3066,1199.0,10.166699490628838
"44.79014,-0.73476","44.76113,-0.6504",7:33,16338.0,9138,11842.85,inf,9138,3113,1038.0,7.399061133090371
"44.80839,-0.64487","44.7783,-0.73351",6:32,14171.0,6971,8888.09,inf,6971,2334,875.0,7.753620551756807
"44.79335,-0.60561","44.81269,-0.74622",9:49,17398.0,10198,12857.14,inf,10198,3773,744.0,11.300157026097423
"44.7829,-0.64319","44.80449,-0.751",8:47,16118.0,8918,11284.07,inf,8918,3080,895.0,8.839455080997375
"44.79803,-0.65028","44.81429,-0.69008",7:09,11329.0,4129,5260.44,inf,4129,1367,579.0,3.6232599581392946
"44.7815,-0.6706","44.80534,-0.74536",8:32,14040.0,6840,8901.56,inf,6840,1908,884.0,6.467517170427485
"44.79203,-0.70614","44.80897,-0.61431",7:46,13990.0,6790,8564.42,inf,6790,2438,1100.0,7.486234665264069
"44.80429,-0.64167","44.7914,-0.74625",7:32,15776.0,8576,11041.32,inf,8576,2675,1139.0,8.3752943928187
"44.81221,-0.61707","44.80945,-0.73856",9:47,16708.0,9508,11975.59,inf,9508,3354,1045.0,9.58875413317278
"44.79054,-0.72724","44.75845,-0.63234",9:25,16783.0,9583,12297.8,inf,9583,3288,1194.0,8.297420000526463
"44.78911,-0.65696","44.75441,-0.60366",6:19,12371.0,5171,6472.59,inf,5171,1904,951.0,5.70880801894715
"44.79776,-0.63535","44.75312,-0.67789",6:14,13367.0,6167,7760.26,inf,6167,2642,807.0,5.99282652235556
"44.7806,-0.69456","44.80702,-0.68376",6:36,10233.0,3033,3858.32,inf,3033,1068,648.0,3.0588835957859826
"44.77997,-0.72177","44.82167,-0.61599",6:32,16047.0,8847,11172.67,inf,8847,2715,1163.0,9.547553039766322
"44.77241,-0.72098","44.75299,-0.7437",8:16,9731.0,2531,3287.32,inf,2531,732,353.0,2.8072556798223016
"44.77146,-0.71483","44.79581,-0.70222",9:04,10078.0,2878,3686.54,inf,2878,992,420.0,2.884708047262463
"44.79311,-0.66027","44.77092,-0.75449",6:49,14123.0,6923,8971.6,inf,6923,2222,911.0,7.835001460748998
"44.80133,-0.69172","44.81944,-0.62282",8:55,13256.0,6056,7547.82,inf,6056,1875,752.0,5.796325220538439
"44.7755,-0.73542","44.81735,-0.61238",7:03,16851.0,9651,12220.09,inf,9651,3257,1299.0,10.76618954332118
"44.79097,-0.66959","44.76598,-0.65578",8:02,11440.0,4240,5386.42,inf,4240,1435,669.0,2.984906615138601
"44.79238,-0.67209","44.8187,-0.68072",7:20,10042.0,2842,3588.64,inf,2842,1013,419.0,3.0048021681778048
"44.79385,-0.70638","44.80875,-0.7042",7:39,8765.0,1565,2032.9,inf,1565,464,288.0,1.6657084668907374
"44.77797,-0.70113","44.80459,-0.72089",8:02,10481.0,3281,4275.22,inf,3281,1153,474.0,3.3456104229631065
