start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"45.86116,15.87969","45.71568,16.03072",8:45,,,,,,7153.0,2283.0,19.9704335854304
"45.78475,15.93384","45.75326,16.11346",9:02,20926.0,13726.0,17258.38,inf,13726.0,4648.0,1147.0,14.365381030134383
"45.76973,15.95938","45.6354,16.11762",8:28,,,,,,6678.0,1376.0,19.341992400251243
"45.83916,16.11132","45.91539,16.05852",6:34,16988.0,9788.0,12760.66,inf,9788.0,2792.0,1106.0,9.4104373031561
"45.87037,15.9425","45.72874,15.88034",8:38,,,,,,6079.0,1814.0,16.469268568195844
"45.71837,15.81696","45.83794,15.97597",9:17,,,,,,6320.0,2043.0,18.133878096108628
"45.76699,15.97231","45.78927,15.91944",9:19,12136.0,4936.0,6039.2,inf,4936.0,1945.0,744.0,4.79050080354471
"45.83545,15.92178","45.65523,15.96719",7:42,,,,,,6631.0,2118.0,20.346987574321563
"45.92138,15.99894","45.70303,16.23286",9:59,,,,,,9289.0,4388.0,30.301440744482537
"45.82804,15.93364","45.80748,15.91566",7:57,10219.0,3019.0,3683.5,inf,3019.0,1083.0,568.0,2.6773290033113697
"45.85153,16.06498","45.82197,16.08815",6:22,11144.0,3944.0,4885.47,inf,3944.0,1348.0,763.0,3.745105504573661
"45.91288,16.12958","45.64373,15.88751",7:33,,,,,,10987.0,3044.0,35.32859511634467
"45.6831,15.81864","45.81719,16.1862",6:32,,,,,,10519.0,2654.0,32.181560898866124
"45.81164,15.84534","45.67059,16.09785",9:49,,,,,,8976.0,1728.0,25.099285666161187
"45.66782,15.88621","45.75565,15.93397",8:47,15963.0,8763.0,11459.54,inf,8763.0,2480.0,1092.0,10.446575233543532
"45.67489,15.93174","45.90819,16.03121",7:09,,,,,,10095.0,3162.0,27.06387896038823
"45.90034,16.1144","45.75406,15.84906",8:32,,,,,,8826.0,2015.0,26.21561862457632
"45.7661,15.98386","45.68676,16.02907",7:46,16623.0,9423.0,12032.26,inf,9423.0,3441.0,992.0,9.494572311006172
"45.84996,16.09822","45.92902,15.97906",7:32,,,,,,4272.0,3348.0,12.741226665244278
"45.7696,16.03739","45.88549,15.81361",9:47,,,,,,6888.0,1989.0,21.60331650325571
"45.82082,15.93099","45.90313,16.20587",9:25,,,,,,7953.0,2201.0,23.16962355198209
"45.88039,16.12398","45.81776,15.81093",6:19,,,,,,9055.0,2071.0,25.226920820644175
"45.81356,15.86784","45.65758,16.15191",6:14,,,,,,9107.0,2002.0,28.051470261115956
"45.80662,16.07823","45.63791,16.23776",6:36,,,,,,6653.0,,22.47874933939967
"45.84865,16.1429","45.63164,16.01555",6:32,,,,,,8648.0,1756.0,26.075821941077066
"45.76522,15.96567","45.89368,15.998",8:16,21589.0,14389.0,17900.04,inf,14389.0,5543.0,1721.0,14.502076211935837
"45.76218,15.88422","45.96489,16.20087",9:04,,,,,,11773.0,2587.0,33.305382370928506
