start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"47.53302,19.02128","47.42486,19.15273",8:45,21582.0,14382.0,17801.75,inf,14382.0,5362.0,1590.0,15.563899904772775
"47.47621,19.06841","47.4528,19.22473",9:02,18074.0,10874.0,13675.72,inf,10874.0,3796.0,1158.0,12.035899252271852
"47.46504,19.09064","47.36517,19.22836",8:28,20080.0,12880.0,16599.3,inf,12880.0,4300.0,1055.0,15.188946476232
"47.39754,19.14472","47.39569,19.14483",6:34,7321.0,121.0,157.34,0.0,121.0,32.0,15.0,0.20587717280362175
"47.51666,19.22287","47.57334,19.17692",8:38,14406.0,7206.0,9337.93,inf,7206.0,2084.0,1168.0,7.184483941458647
"47.53987,19.07595","47.43457,19.02186",9:17,19047.0,11847.0,14459.58,inf,11847.0,4339.0,1566.0,12.394172496109661
"47.46301,19.10189","47.47957,19.05589",9:19,11747.0,4547.0,5499.01,inf,4547.0,1742.0,540.0,3.9172807514205847
"47.46182,19.31188","47.58493,19.13269",7:42,,,,,,4919.0,1102.0,19.194664675594854
"47.51391,19.05792","47.37991,19.09744",9:59,20635.0,13435.0,16903.5,inf,13435.0,4518.0,1782.0,15.19359529036395
"47.57779,19.12507","47.41546,19.32865",7:57,,,,,,7933.0,1435.0,23.658591954990317
"47.48637,18.97825","47.51099,19.26415",6:22,,,,,,6825.0,2074.0,21.651733042745846
"47.5084,19.06824","47.49312,19.05259",7:33,9109.0,1909.0,2280.97,inf,1909.0,956.0,625.0,2.0661418001595755
"47.45936,19.28404","47.52903,19.13616",6:32,19091.0,11891.0,15316.64,inf,11891.0,4091.0,1460.0,13.544515329767059
"47.52587,19.18254","47.50389,19.20271",9:49,9780.0,2580.0,3253.13,inf,2580.0,908.0,378.0,2.8754174916611097
"47.40063,18.96816","47.50033,19.28804",8:47,,,,,,8826.0,1656.0,26.484627944108876
"47.4962,18.9914","47.39134,19.21115",7:09,,,,,,6203.0,2035.0,20.225084214373766
"47.43346,19.15397","47.53184,19.08695",8:32,18087.0,10887.0,13629.0,inf,10887.0,3901.0,1229.0,12.043021088640886
"47.42977,19.21497","47.4544,19.33262",7:46,18462.0,11262.0,14577.54,inf,11262.0,3968.0,742.0,9.262044479794467
"47.44326,19.16969","47.55044,19.2096",7:32,19700.0,12500.0,15880.91,inf,12500.0,4293.0,2039.0,12.289243731268582
"47.38927,19.02696","47.45458,19.06852",9:47,15636.0,8436.0,10563.18,inf,8436.0,2795.0,1336.0,7.906646043734468
"47.4847,18.97229","47.52516,18.98241",9:25,12245.0,5045.0,6279.84,inf,5045.0,1834.0,1259.0,4.5627155166429345
"47.57467,19.05772","47.45088,19.0729",6:19,21167.0,13967.0,17207.98,inf,13967.0,4775.0,1610.0,13.811952913340855
"47.58808,19.04788","47.40417,19.14005",6:14,,,,,,6612.0,2091.0,21.590404756395873
"47.58718,19.03372","47.60872,19.15801",6:36,19134.0,11934.0,15176.7,inf,11934.0,3924.0,1135.0,9.622362039967406
"47.46235,19.11194","47.40335,19.15129",6:32,14753.0,7553.0,9665.12,inf,7553.0,2546.0,1085.0,7.197277490454085
"47.47001,19.22992","47.54806,18.94906",8:16,,,,,,6981.0,2443.0,22.810682306019498
"47.53625,18.99661","47.57066,19.24578",9:04,,,,,,6313.0,1893.0,19.086570633132006
"47.42497,19.19889","47.43022,18.97451",6:49,,,,,,6643.0,1863.0,16.889238597275707
"47.5247,19.21147","47.58347,19.10777",8:55,15958.0,8758.0,11281.37,inf,8758.0,2695.0,1155.0,10.162036565599866
"47.46495,19.15853","47.55111,18.96378",7:03,,,,,,5790.0,2095.0,17.485982992001773
"47.50303,19.06593","47.56423,19.30516",8:02,,,,,,5874.0,2004.0,19.205986486381857
"47.49764,19.01097","47.38166,19.25819",7:20,,,,,,6941.0,1809.0,22.627802462326105
"47.49247,19.19407","47.36704,19.33291",7:39,,,,,,5751.0,1878.0,17.424090391100048
"47.55225,18.97096","47.50068,19.2129",8:02,,,,,,5708.0,2482.0,19.049464373474503
"47.52372,19.25036","47.36238,19.13952",9:20,,,,,,7292.0,1476.0,19.782111942104038
"47.46169,19.09612","47.5572,19.12425",6:47,17577.0,10377.0,12917.81,inf,10377.0,3819.0,1296.0,10.828350811027336
"47.45943,19.02523","47.61014,19.30081",8:56,,,,,,9271.0,,26.624190371851096
"47.59152,19.11722","47.3735,19.13284",9:48,,,,,,8001.0,2121.0,24.271118012396286
"47.43212,19.02729","47.36192,18.96808",9:07,16516.0,9316.0,11873.65,inf,9316.0,2950.0,1098.0,8.988548939422042
"47.42903,19.14794","47.60792,19.18311",9:41,,,,,,7109.0,1946.0,20.066231161865634
"47.56003,19.01375","47.56001,19.109",8:35,14036.0,6836.0,8405.36,inf,6836.0,2267.0,1088.0,7.147205847139465
"47.53807,19.00676","47.45765,19.32133",9:28,,,,,,7813.0,2144.0,25.26741410568555
"47.52097,18.93961","47.57757,19.03751",7:52,16765.0,9565.0,12130.6,inf,9565.0,3212.0,1568.0,9.6745239896415
"47.42868,19.04332","47.51667,19.07615",9:38,16407.0,9207.0,11308.24,inf,9207.0,3508.0,1203.0,10.09040355647659
"47.50692,19.18544","47.42671,18.94",7:33,,,,,,7495.0,2105.0,20.49235062522809
"47.53663,19.10351","47.6021,19.283",6:21,,,,,,4823.0,864.0,15.307730729898617
"47.44327,18.98966","47.59452,19.3102",9:54,,,,,,10070.0,2610.0,29.36432885449531
"47.56894,18.97959","47.57245,19.17103",6:30,,,,,,4568.0,2743.0,14.367317420509542
"47.40888,19.07667","47.58012,19.14813",6:27,,,,,,6501.0,1861.0,19.783434317056678
"47.49919,19.16117","47.40887,19.19714",9:34,16889.0,9689.0,12329.53,inf,9689.0,3396.0,1510.0,10.400901245465388
"47.42805,19.11294","47.45979,19.30709",7:33,,,,,,5614.0,1547.0,15.021052208417277
"47.5043,19.15464","47.59939,19.13217",6:12,19105.0,11905.0,15191.24,inf,11905.0,3919.0,891.0,10.707153840380217
"47.50958,19.06532","47.56347,19.071",9:40,13478.0,6278.0,7817.63,inf,6278.0,2134.0,878.0,6.00744613226992
"47.45221,19.07899","47.5484,19.02751",8:03,18697.0,11497.0,14257.7,inf,11497.0,3930.0,1546.0,11.373510574474404
"47.5966,19.07069","47.58879,19.18648",8:42,19527.0,12327.0,15806.37,inf,12327.0,3939.0,1026.0,8.726350261444114
"47.42162,19.06564","47.40377,19.0619",6:05,9138.0,1938.0,2430.51,inf,1938.0,720.0,320.0,2.0046813527302048
