walk_time,bike_time,car_time,line_distance
13121.0,4272.0,2396.0,14.763956829097722
,7414.0,1591.0,22.838918523203066
1801.0,531.0,298.0,0.3559636128495304
,7438.0,1677.0,20.787432714992583
,8157.0,1946.0,21.120813327541658
5466.0,1910.0,807.0,5.218137776641737
,,,36.13022188200261
,5307.0,1742.0,18.851016040429275
5027.0,1818.0,599.0,4.591064918905696
,13006.0,3143.0,42.82784434845869
,,,34.57382162602119
,6275.0,1872.0,19.81998412540656
,6901.0,1396.0,20.883438574287037
,5597.0,,13.082828586669656
,7107.0,1840.0,23.799198856435805
,10509.0,2050.0,34.190565916956935
,9724.0,2027.0,29.425042970144716
11280.0,4481.0,1343.0,11.865699246043114
,9005.0,2177.0,29.336268144761956
13988.0,4601.0,1156.0,14.618482476412188
,6791.0,1783.0,24.07118908334853
,,,24.4664451331352
,7992.0,2098.0,26.03324771414354
4104.0,1171.0,383.0,3.0070955465433
,,,27.13134741287917
,6144.0,1781.0,18.504982436782136
,,,38.05164168586037
13689.0,5191.0,1238.0,14.4947517834819
,10361.0,2167.0,34.4806549971387
10523.0,3676.0,1252.0,9.341550690987699
,6227.0,1210.0,17.145567407157113
,9452.0,2455.0,26.916762692573393
,,,20.406197555803686
,,,40.875616055801224
,10422.0,1798.0,33.48942202035361
,6221.0,1581.0,17.636258973583633
,6315.0,,18.51267394578896
,5021.0,1121.0,18.363490531876472
,9533.0,3165.0,25.20963538325291
,5874.0,1461.0,19.034244006464878
3412.0,1662.0,538.0,3.4436230556709098
,,,9.555475292347607
12282.0,3872.0,1431.0,9.134501173073014
,8783.0,1803.0,25.292555634246114
,8085.0,2382.0,24.850540804919095
,10511.0,2728.0,33.44584215279558
,7986.0,1914.0,26.69503033122578
,9248.0,2610.0,27.418031128108883
,8903.0,2216.0,25.263907718000908
,13859.0,2973.0,44.57770366929613
,,,18.44599928044629
8902.0,3168.0,999.0,7.814820127928978
,13221.0,2673.0,43.56783929134539
,7015.0,2016.0,21.591769833005365
,,,12.430305460836514
,11117.0,2105.0,31.52392392547788
,9926.0,2399.0,28.292810082121445
,12286.0,2861.0,36.299017792682776
,10391.0,2419.0,28.333359203667918
,,,37.004373877830915
,8608.0,1732.0,25.039048079980798
7809.0,3226.0,533.0,7.1765003822599365
,8168.0,1943.0,21.75006586188935
,5442.0,2008.0,15.477783144752811
,6346.0,1311.0,21.386212131889785
,,,19.211033073597775
,12126.0,3175.0,32.01472305633197
,5088.0,1323.0,16.00411610852842
,,,38.176310744483764
9759.0,3823.0,1021.0,7.151181207174704
,9060.0,2010.0,27.83263555718369
13498.0,4867.0,2239.0,14.508236992309149
10661.0,3230.0,986.0,11.682557831197048
,,,18.379311390953305
,6927.0,1746.0,24.757468387851784
9716.0,3373.0,1165.0,10.53527824114462
,9427.0,2229.0,31.383495644311477
7219.0,2612.0,915.0,7.274062137785555
,10705.0,2619.0,22.75250340217911
,14286.0,2388.0,43.562169628097614
,5566.0,1168.0,19.393101782491893
,8333.0,2383.0,24.466733669365716
,12099.0,3019.0,38.85387396016618
10558.0,3564.0,1184.0,9.552207483153602
,,,26.30738169070358
,,2995.0,40.18608634580076
,,,42.32816000948747
,5382.0,1919.0,14.805896772317134
13153.0,4519.0,1355.0,12.3459821665645
,,,12.71389247067806
7622.0,2122.0,687.0,8.358861377909498
,8604.0,1568.0,24.713085082242703
,12410.0,2938.0,34.69867113128659
,,,18.212097310536848
,6117.0,1517.0,13.300667458921334
11765.0,4042.0,907.0,10.426374753884367
,6273.0,1928.0,18.258492729031957
,14297.0,2356.0,41.74713888778295
,10412.0,2044.0,31.184016004765578
,,,34.188836839268696
,6423.0,1368.0,16.451936485030625
14013.0,4529.0,1070.0,14.046688748075743
,6640.0,1866.0,19.420811402438847
11308.0,3645.0,1333.0,12.609715953656815
,,,15.610800263392946
,4958.0,1335.0,15.851268501571244
8275.0,2621.0,981.0,8.675090783936442
,12143.0,2645.0,40.43455858388107
7786.0,2891.0,636.0,7.210384421445484
,6944.0,2217.0,22.24146171218817
,5316.0,1655.0,15.096148402859056
,4711.0,1333.0,14.635157578625694
,8418.0,1971.0,25.715362230897277
11151.0,3804.0,1615.0,11.885019793324986
5945.0,2307.0,592.0,5.753563527173357
4322.0,1697.0,670.0,4.552143437775008
,7607.0,2021.0,25.037980422692637
,6965.0,2089.0,20.95843834783121
,8169.0,1806.0,24.010607500991583
,8012.0,2202.0,24.519024908578107
,8714.0,1921.0,24.280761439655002
,8636.0,2105.0,26.151815316676736
,,,44.44610371448365
,4596.0,1238.0,13.422477518331995
,6523.0,1606.0,23.93062445931303
,8613.0,1844.0,28.925808280817144
