start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"64.2381,-21.41308","64.15667,-21.58442",8:45,18797.0,11597.0,15285.55,inf,11597.0,3232.0,877.0,12.278324823923292
"64.16092,-21.75047","64.05681,-21.55364",9:02,,,,,,5599.0,1174.0,15.011713959973497
"64.21472,-21.56148","64.2738,-21.62716",8:28,,,,,,,,7.295771510089936
"64.23891,-21.77146","64.12915,-21.84877",6:34,,,,,,5186.0,,12.765994728602962
"64.12112,-21.92761","64.21378,-21.72982",8:38,,,,,,5552.0,1343.0,14.071228941261866
"64.21185,-21.79723","64.07218,-21.74075",9:17,,,,,,6446.0,1531.0,15.770288542194631
"64.22432,-21.61912","64.20141,-21.59029",9:19,,,,,,,,2.904225287480006
"64.2946,-21.774","64.27167,-21.95569",7:42,,,,,,,,9.129827164413559
"64.27518,-21.79752","64.14615,-21.77582",9:59,,,,,,5798.0,,14.385835010555072
"64.08742,-21.78485","64.26822,-21.66112",7:57,,,,,,,,20.978212202963448
"64.28917,-21.81158","64.09747,-21.67985",6:22,,,,,,7268.0,1692.0,22.249408553365928
"64.28822,-21.83182","64.31068,-21.65417",7:33,17199.0,9999.0,13168.78,inf,9999.0,2768.0,706.0,8.923192715139155
"64.23514,-21.88486","64.27101,-21.52874",6:32,,,,,,,,17.65790785304325
"64.2231,-21.57777","64.28436,-21.72599",9:49,,,,,,,,9.882083223776183
"64.06289,-21.7497","64.07845,-21.73526",8:47,12342.0,5142.0,6744.52,inf,5142.0,1625.0,399.0,1.8672175478617836
"64.14455,-21.96396","64.22406,-21.61275",7:09,,,,,,,,19.167384731226615
"64.22208,-21.5222","64.05391,-21.6806",8:32,,,,,,8016.0,,20.216449923696526
"64.1266,-21.841","64.05342,-21.92562",7:46,16401.0,9201.0,11400.74,inf,9201.0,3387.0,868.0,9.116961979718939
"64.25993,-21.86036","64.25991,-21.72423",7:32,,,,,,2345.0,,6.573821319759745
"64.23703,-21.87034","64.15321,-21.42076",9:47,,,,,,6419.0,2765.0,23.67335772234259
"64.14326,-21.91988","64.09922,-21.84633",9:25,13472.0,6272.0,7435.59,inf,6272.0,2166.0,813.0,6.059944723856144
"64.12301,-21.8181","64.21473,-21.77118",6:19,,,,,,4480.0,1006.0,10.449077804999291
"64.23554,-21.73207","64.30377,-21.47554",6:14,,,,,,5482.0,,14.522901910462007
"64.13822,-21.89479","64.29588,-21.43666",6:36,,,,,,8650.0,2153.0,28.254138568350577
"64.10238,-21.77043","64.28086,-21.6683",6:32,,,,,,8877.0,,20.45264348119403
"64.12236,-21.7186","64.15544,-21.44111",8:16,19604.0,12404.0,16382.5,inf,12404.0,3576.0,2702.0,13.952463020856838
"64.20184,-21.65899","64.30096,-21.69111",9:04,,,,,,5250.0,1191.0,11.13031709251474
"64.05473,-21.76532","64.15218,-21.48465",6:49,,,,,,5942.0,2815.0,17.41284104193885
"64.14754,-21.76712","64.2478,-21.84069",8:55,,,,,,4832.0,1226.0,11.703240247397027
"64.29805,-21.77898","64.2899,-21.61348",7:03,,,,,,,,8.033544162983564
