start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"45.09901,7.62195","45.04541,7.68501",8:45,14857.0,7657.0,9198.79,inf,7657.0,3066.0,908.0,7.7488021454161435
"45.07085,7.64455","45.05925,7.71955",9:02,13172.0,5972.0,7258.04,inf,5972.0,2270.0,725.0,6.0298759326887135
"45.06532,7.65522","45.01583,7.72129",8:28,16047.0,8847.0,11060.15,inf,8847.0,3154.0,1272.0,7.565170808939459
"45.03187,7.68117","45.03095,7.68122",6:34,7305.0,105.0,138.39,0.0,105.0,28.0,21.0,0.10237476191345597
"45.0909,7.71866","45.11899,7.69661",8:38,11047.0,3847.0,4883.27,inf,3847.0,1258.0,529.0,3.570826945395836
"45.1024,7.64817","45.05022,7.62222",9:17,13854.0,6654.0,8246.58,inf,6654.0,2336.0,669.0,6.149548612450647
"45.06431,7.66062","45.07252,7.63855",9:19,9310.0,2110.0,2534.54,inf,2110.0,797.0,306.0,1.9589407355050859
"45.08953,7.63952","45.02314,7.65848",7:42,14533.0,7333.0,8933.76,inf,7333.0,2676.0,878.0,7.530958588375315
"45.12119,7.67174","45.04075,7.76941",9:59,18733.0,11533.0,14470.83,inf,11533.0,3846.0,1357.0,11.781848020408468
"45.08681,7.64447","45.07923,7.63696",7:57,8279.0,1079.0,1317.42,0.0,1079.0,442.0,236.0,1.0286265641405663
"45.06251,7.74801","45.09703,7.67706",6:22,15063.0,7863.0,9778.83,inf,7863.0,2642.0,1011.0,6.765160697613192
"45.09546,7.69931","45.08457,7.70899",7:33,8430.0,1230.0,1554.18,0.0,1230.0,373.0,188.0,1.4296056634855228
"45.11806,7.72628","45.0189,7.62521",6:32,19790.0,12590.0,15126.9,inf,12590.0,4762.0,1639.0,13.585846528022179
"45.0334,7.59646","45.08281,7.74992",9:49,20227.0,13027.0,16092.93,inf,13027.0,4913.0,1521.0,13.246879353840315
"45.04967,7.6856","45.09842,7.65345",8:47,13296.0,6096.0,7454.71,inf,6096.0,2340.0,797.0,5.979804121242492
"45.04784,7.71487","45.06005,7.77131",7:09,14689.0,7489.0,9778.41,inf,7489.0,2866.0,1186.0,4.636737288261054
