start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"49.62637,6.09938","49.58785,6.14234",8:45,12613.0,5413.0,6471.22,inf,5413.0,2295.0,610.0,5.28475418842398
"49.60614,6.11478","49.5978,6.16586",9:02,11662.0,4462.0,5527.29,inf,4462.0,1983.0,549.0,3.7960845111999517
"49.60216,6.12205","49.56659,6.16705",8:28,12380.0,5180.0,6367.87,inf,5180.0,2150.0,687.0,5.115438197325592
"49.62055,6.16525","49.64073,6.15024",6:34,11200.0,4000.0,4618.05,inf,4000.0,1635.0,777.0,2.4907487283445358
"49.62881,6.11725","49.59131,6.09957",8:38,12144.0,4944.0,5850.83,inf,4944.0,2017.0,583.0,4.360059243458625
"49.58856,6.08155","49.62022,6.12677",9:17,12359.0,5159.0,6294.12,inf,5159.0,1948.0,490.0,4.797076731481801
"49.60144,6.12572","49.60733,6.11069",9:19,8544.0,1344.0,1604.44,0.0,1344.0,461.0,244.0,1.2657032375431387
"49.61956,6.11136","49.57184,6.12427",7:42,13473.0,6273.0,7564.57,inf,6273.0,2361.0,673.0,5.3871861801471885
"49.64232,6.1333","49.5845,6.19982",9:59,16484.0,9284.0,11685.7,inf,9284.0,3538.0,988.0,8.019038920378021
"49.6176,6.11473","49.61216,6.10961",7:57,8169.0,969.0,1180.99,0.0,969.0,522.0,171.0,0.7085000527704194
"49.62382,6.15208","49.616,6.15867",6:22,9589.0,2389.0,2845.78,inf,2389.0,1309.0,639.0,0.9906955384340738
"49.57922,6.08202","49.61473,6.18655",7:33,16860.0,9660.0,12265.29,inf,9660.0,3447.0,457.0,8.505733026965675
"49.59091,6.14274","49.62595,6.12084",6:32,11090.0,3890.0,4649.75,inf,3890.0,1641.0,519.0,4.203692695983083
"49.64784,6.11667","49.64,6.07513",9:49,10469.0,3269.0,4215.52,inf,3269.0,961.0,260.0,3.115448097824903
"49.5944,6.14788","49.63258,6.16092",8:47,12516.0,5316.0,6508.61,inf,5316.0,1954.0,698.0,4.348134598719225
"49.57517,6.10124","49.59843,6.11482",7:09,10202.0,3002.0,3711.9,inf,3002.0,1252.0,303.0,2.765459136261181
"49.6412,6.11129","49.59712,6.11625",8:32,12275.0,5075.0,6060.11,inf,5075.0,1955.0,680.0,4.91447915538398
"49.57705,6.11419","49.63882,6.14247",7:46,14166.0,6966.0,8265.26,inf,6966.0,2716.0,727.0,7.164413843262901
"49.64598,6.10807","49.58048,6.13819",7:32,14406.0,7206.0,8736.77,inf,7206.0,2836.0,959.0,7.5996887816248
"49.64566,6.10345","49.65333,6.14406",9:47,10314.0,3114.0,3856.01,inf,3114.0,1340.0,534.0,3.045549705240353
"49.63675,6.16613","49.59801,6.09068",9:25,13600.0,6400.0,7833.67,inf,6400.0,2336.0,682.0,6.935529530585454
"49.6012,6.12901","49.58019,6.14187",6:19,9749.0,2549.0,3032.98,inf,2549.0,978.0,377.0,2.513388752682669
"49.62752,6.09132","49.63978,6.17274",6:14,12852.0,5652.0,7178.68,inf,5652.0,2538.0,671.0,6.020082511903849
"49.62341,6.16153","49.64434,6.12764",6:36,11385.0,4185.0,4985.49,inf,4185.0,1677.0,,3.3724274244653327
"49.60213,6.14423","49.63281,6.08059",6:32,13214.0,6014.0,7145.15,inf,6014.0,2206.0,658.0,5.714710229619087
"49.61569,6.11397","49.63749,6.19214",8:16,12707.0,5507.0,6846.6,inf,5507.0,1909.0,550.0,6.130092742499745
"49.63147,6.16885","49.61488,6.07983",9:04,13492.0,6292.0,7639.79,inf,6292.0,2166.0,688.0,6.672483035848797
"49.61377,6.09602","49.57246,6.1768",6:49,14985.0,7785.0,9583.67,inf,7785.0,2828.0,883.0,7.416250198305233
"49.61193,6.15584","49.56726,6.20121",8:55,13865.0,6665.0,8422.55,inf,6665.0,2087.0,816.0,5.9470509013029655
