start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"52.34285,4.96612","52.32637,4.99673",8:45,9923.0,2723.0,3343.27,inf,2723.0,981.0,1021.0,2.771939938873902
"52.34377,5.03725","52.33187,5.00933",9:02,,,,,,,372.0,2.3128223422341296
"52.33419,4.97709","52.33062,5.0135",8:28,10258.0,3058.0,3867.53,inf,3058.0,937.0,397.0,2.50566561726329
"52.33249,4.98227","52.31727,5.01434",6:34,9841.0,2641.0,3360.88,inf,2641.0,799.0,551.0,2.7594134628256106
"52.3222,4.99487","52.32192,4.99489",8:38,7579.0,379.0,476.91,0.0,379.0,137.0,4.0,0.031164237921334992
"52.34036,5.01307","52.349,5.00236",9:17,8924.0,1724.0,2200.13,inf,1724.0,577.0,264.0,1.2051109632985781
"52.34389,4.97885","52.32785,4.96625",9:19,10224.0,3024.0,3724.6,inf,3024.0,1131.0,505.0,1.978382951510784
"52.32667,4.95341","52.34022,4.98563",7:42,10420.0,3220.0,3894.98,inf,3220.0,1336.0,418.0,2.6576289475344526
"52.33218,4.98489","52.3347,4.97418",9:59,8032.0,832.0,1011.88,0.0,832.0,295.0,191.0,0.7798006051211588
"52.33994,4.97465","52.31952,4.98385",7:57,9594.0,2394.0,2905.73,inf,2394.0,875.0,427.0,2.355092607478526
"52.33574,4.9561","52.33949,5.02268",6:22,11911.0,4711.0,5852.18,inf,4711.0,1484.0,520.0,4.5426851648734
"52.3391,4.97705","52.33677,4.97341",7:33,7587.0,387.0,441.02,0.0,387.0,181.0,193.0,0.3581668368061621
"52.34176,5.00367","52.33841,5.00837",6:32,7646.0,446.0,581.05,0.0,446.0,121.0,,0.49062600359640834
"52.33724,4.95916","52.32126,5.01034",9:49,10688.0,3488.0,4445.08,inf,3488.0,1098.0,477.0,3.905504538536383
"52.32768,4.99702","52.34267,4.98141",8:47,9678.0,2478.0,3166.75,inf,2478.0,773.0,512.0,1.9756440120877037
"52.32711,5.01123","52.33087,5.03862",7:09,8066.0,4466.0,5702.44,inf,4466.0,1468.0,575.0,1.9076448939644932
"52.32917,5.00068","52.3455,5.00998",8:32,10143.0,2943.0,3761.45,inf,2943.0,896.0,521.0,1.9226070031639158
"52.33548,4.95471","52.34165,4.95707",7:46,4375.0,775.0,890.23,0.0,775.0,370.0,98.0,0.704559257974302
"52.3492,4.9746","52.33033,4.97814",7:32,9855.0,2655.0,3168.85,inf,2655.0,929.0,293.0,2.1119861853320363
"52.35124,4.97231","52.32321,4.99378",9:47,10835.0,3635.0,4447.4,inf,3635.0,1156.0,1040.0,3.441253042638328
"52.3511,4.96901","52.35439,4.99796",9:25,6122.0,2522.0,3094.03,inf,2522.0,904.0,523.0,1.999960381183344
"52.33208,4.98723","52.32309,4.9964",6:19,8549.0,1349.0,1709.24,0.0,1349.0,508.0,851.0,1.1779697880862752
"52.33325,5.01471","52.34514,4.9493",6:14,11797.0,4597.0,5775.76,inf,4597.0,1397.0,382.0,4.636360232805775
"52.34334,4.96037","52.34859,5.0184",6:36,11898.0,4698.0,5911.27,inf,4698.0,1641.0,516.0,3.984860295029447
"52.32638,5.00748","52.32718,4.95523",6:32,11865.0,4665.0,5912.59,inf,4665.0,1415.0,564.0,3.551897333176904
"52.34158,5.01041","52.35054,4.98626",8:16,5665.0,2065.0,2669.05,inf,2065.0,630.0,405.0,1.9193061458924796
"52.33248,4.99808","52.34561,4.95273",9:04,10988.0,3788.0,4759.38,inf,3788.0,1247.0,537.0,3.409437239891238
"52.33828,4.97652","52.34761,5.03223",6:49,,,,,,,451.0,3.924154566683563
"52.34503,5.01563","52.33793,4.95218",8:55,11983.0,4783.0,5929.89,inf,4783.0,1563.0,509.0,4.382177609412343
"52.3494,5.03056","52.34787,4.95685",7:03,13155.0,5955.0,7513.05,inf,5955.0,2009.0,470.0,5.0095674037816496
"52.33746,4.96372","52.31978,5.02129",8:02,12647.0,5447.0,6852.26,inf,5447.0,1710.0,681.0,4.378335358861082
"52.3301,4.94748","52.34172,5.00471",7:20,12695.0,5495.0,6827.13,inf,5495.0,1734.0,685.0,4.097463843800703
"52.33667,5.00636","52.31755,5.03869",7:39,6735.0,3135.0,4013.1,inf,3135.0,968.0,603.0,3.0573048664289977
"52.34143,5.01947","52.31684,4.99365",8:02,7707.0,4107.0,5254.99,inf,4107.0,1239.0,268.0,3.2488189539362446
"52.33198,4.98355","52.34653,4.9901",9:20,9282.0,2082.0,2572.23,inf,2082.0,721.0,278.0,1.6779683128629106
"52.33163,4.96704","52.3546,5.03122",6:47,12076.0,4876.0,6146.47,inf,4876.0,1594.0,601.0,5.052964664780848
"52.327,4.99562","52.35426,5.00381",8:56,11123.0,3923.0,4999.68,inf,3923.0,1230.0,1184.0,3.0818165121908914
"52.34697,4.96436","52.34696,4.98655",9:48,8840.0,1640.0,2005.81,inf,1640.0,625.0,255.0,1.5072908779508594
"52.34362,4.96274","52.33136,5.036",9:07,14234.0,7034.0,9018.18,inf,7034.0,2051.0,525.0,5.160680754942183
"52.32991,4.95466","52.32347,4.96665",9:41,4840.0,1240.0,1344.48,0.0,1240.0,543.0,274.0,1.0847638963259891
"52.33887,5.00435","52.32665,4.94719",8:35,11899.0,4699.0,5787.51,inf,4699.0,1762.0,,4.114760419433272
"52.3434,4.98527","52.35338,5.02707",9:28,11229.0,4029.0,5213.74,inf,4029.0,1209.0,412.0,3.0484040908932215
"52.32917,4.95875","52.35222,5.0334",7:52,12770.0,5570.0,6957.15,inf,5570.0,1888.0,695.0,5.682311211716866
"52.33769,4.9987","52.32393,5.00707",9:38,9006.0,1806.0,2273.1,inf,1806.0,561.0,492.0,1.6323324327218232
"52.33847,4.99718","52.35297,4.99194",7:33,6972.0,3372.0,4315.52,inf,3372.0,1021.0,,1.6511491560060927
"52.33928,4.97637","52.34749,4.9777",6:21,9125.0,1925.0,2341.77,inf,1925.0,827.0,386.0,0.9173703514186349
"52.33053,4.97956","52.34519,4.96757",9:54,9278.0,2078.0,2486.05,inf,2078.0,722.0,290.0,1.822324999800682
"52.33185,4.95579","52.32471,4.97312",6:30,5200.0,1600.0,1923.98,0.0,1600.0,557.0,207.0,1.4202894555898076
"52.32071,5.0016","52.31857,4.97908",6:27,9391.0,2191.0,2682.69,inf,2191.0,791.0,183.0,1.5490377081578062
"52.33755,5.00858","52.32256,4.96505",9:34,12377.0,5177.0,6584.08,inf,5177.0,1581.0,,3.3952721839427036
"52.32604,4.99753","52.34467,4.97631",7:33,10865.0,3665.0,4518.27,inf,3665.0,1244.0,1056.0,2.5239051193763777
"52.34784,5.01828","52.33355,4.96712",6:12,11573.0,4373.0,5510.5,inf,4373.0,1497.0,473.0,3.8216159158557654
"52.32823,5.00678","52.35318,5.01763",9:40,10774.0,3574.0,4538.2,inf,3574.0,1087.0,353.0,2.870564838339196
"52.34253,4.98912","52.32308,5.02104",8:03,6465.0,2865.0,3728.79,inf,2865.0,858.0,351.0,3.062943333831548
"52.35281,4.97021","52.3346,4.97872",8:42,9578.0,2378.0,2835.73,inf,2378.0,859.0,358.0,2.1057666969875406
"52.33272,4.94855","52.31633,4.97611",6:05,9626.0,2426.0,3064.27,inf,2426.0,792.0,271.0,2.6133509501199
"52.34122,4.969","52.33117,4.95251",6:00,8871.0,1671.0,1971.18,0.0,1671.0,754.0,366.0,1.5824291467023814
"52.3359,4.95353","52.31925,5.02373",9:11,13004.0,5804.0,7304.24,inf,5804.0,1830.0,680.0,5.117194234136041
"52.33365,4.99593","52.32994,5.02575",8:34,10543.0,3343.0,4263.16,inf,3343.0,1107.0,511.0,2.0678331827531897
"52.34107,5.01779","52.32423,4.95742",6:58,8821.0,5221.0,6592.02,inf,5221.0,1660.0,447.0,4.509233824694872
"52.34082,5.01644","52.31643,4.96642",9:10,7835.0,4235.0,5338.14,inf,4235.0,1339.0,576.0,4.348452272721179
"52.35193,4.97678","52.32706,5.00086",7:22,7124.0,3524.0,4450.76,inf,3524.0,1134.0,458.0,3.2130766408661486
"52.3326,4.98222","52.35235,4.98979",7:13,11545.0,4345.0,5285.62,inf,4345.0,1408.0,,2.2555074557192345
"52.33962,5.00709","52.31724,4.98041",8:18,11878.0,4678.0,5939.68,inf,4678.0,1460.0,,3.0789542165496195
"52.32481,4.99544","52.33596,5.01234",9:36,11021.0,3821.0,4902.07,inf,3821.0,1133.0,,1.6899586973900154
