start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"53.15122,23.10795","53.10137,23.16639",8:45,13885.0,6685.0,7946.71,inf,6685.0,2793.0,959.0,6.777167868931556
"53.12503,23.1289","53.11424,23.1984",9:02,,,,,,,548.0,4.790631965059685
"53.11989,23.13878","53.07385,23.20001",8:28,13651.0,6451.0,8207.98,inf,6451.0,2183.0,801.0,6.551494873913351
"53.14368,23.19757","53.16981,23.17714",6:34,10600.0,3400.0,4341.26,inf,3400.0,1137.0,291.0,3.2089883926559617
"53.15438,23.13225","53.10584,23.1082",8:38,13354.0,6154.0,7466.99,inf,6154.0,2177.0,807.0,5.630852616593572
"53.11895,23.14379","53.12658,23.12333",9:17,9719.0,2519.0,3165.9,inf,2519.0,788.0,418.0,1.6074054105773634
"53.14241,23.12424","53.08064,23.1418",9:19,13789.0,6589.0,8043.07,inf,6589.0,2348.0,890.0,6.967793978242381
"53.17186,23.15409","53.09703,23.24459",7:42,16993.0,9793.0,12189.86,inf,9793.0,3402.0,1579.0,10.280221998515247
"53.12972,23.08882","53.14107,23.21592",9:59,15398.0,8198.0,9951.3,inf,8198.0,3050.0,946.0,8.57209466402388
"53.13987,23.12883","53.13283,23.12187",7:57,8202.0,1002.0,1215.1,0.0,1002.0,368.0,238.0,0.9101391699396167
"53.14792,23.17964","53.13779,23.1886",6:22,8753.0,1553.0,1777.89,0.0,1553.0,1070.0,405.0,1.2751160223560893
"53.16895,23.20463","53.07671,23.11098",7:33,18431.0,11231.0,13806.61,inf,11231.0,3892.0,1239.0,12.010389240754773
"53.13425,23.09466","53.08591,23.19236",6:32,15208.0,8008.0,9959.22,inf,8008.0,2942.0,927.0,8.451005162363638
"53.10533,23.16694","53.15068,23.13714",9:49,12354.0,5154.0,6144.59,inf,5154.0,2119.0,812.0,5.420508036234981
"53.10363,23.19406","53.11498,23.24636",8:47,10706.0,3506.0,4463.32,inf,3506.0,1132.0,472.0,3.712112492305378
"53.10984,23.17392","53.15925,23.19167",7:09,13002.0,5802.0,7020.41,inf,5802.0,2179.0,679.0,5.62029265484127
"53.12895,23.08617","53.1476,23.09067",8:32,9047.0,1847.0,2327.39,inf,1847.0,661.0,291.0,2.095396705598412
"53.10572,23.21955","53.14698,23.16674",7:46,13286.0,6086.0,7561.98,inf,6086.0,2116.0,737.0,5.7848782229996605
"53.17042,23.12415","53.11336,23.1309",7:32,13759.0,6559.0,8123.19,inf,6559.0,3065.0,885.0,6.360735760416465
"53.08738,23.12809","53.16734,23.16658",9:47,16591.0,9391.0,11403.41,inf,9391.0,3278.0,1081.0,9.254599467785422
"53.16465,23.19876","53.11452,23.0961",9:25,15766.0,8566.0,10393.77,inf,8566.0,3789.0,1134.0,8.82961064764675
"53.11864,23.14825","53.09145,23.16575",6:19,10186.0,2986.0,3662.3,inf,2986.0,995.0,565.0,3.241240901452473
"53.12218,23.2007","53.15816,23.07584",6:14,15651.0,8451.0,10237.94,inf,8451.0,3189.0,880.0,9.239445467930478
"53.15271,23.09698","53.16857,23.20775",6:36,14505.0,7305.0,9258.46,inf,7305.0,2674.0,916.0,7.592634238186815
"53.10141,23.18691","53.10384,23.08716",6:32,13902.0,6702.0,8458.57,inf,6702.0,2245.0,830.0,6.664750029911962
"53.14739,23.1925","53.17448,23.1464",8:16,11548.0,4348.0,5546.19,inf,4348.0,1547.0,546.0,4.303467567590357
"53.11984,23.16897","53.15956,23.08239",9:04,14115.0,6915.0,8342.53,inf,6915.0,2966.0,896.0,7.270368442371847
"53.1374,23.1278","53.16561,23.23415",6:49,14786.0,7586.0,9220.43,inf,7586.0,3078.0,1031.0,7.754571422131693
"53.15782,23.20246","53.13635,23.08135",8:55,16016.0,8816.0,10707.12,inf,8816.0,3545.0,1114.0,8.422333844596942
"53.13491,23.10337","53.08145,23.21327",7:03,16422.0,9222.0,11500.85,inf,9222.0,3100.0,1133.0,9.442072688987206
"53.13253,23.18476","53.07471,23.24649",8:02,13925.0,6725.0,8474.36,inf,6725.0,2670.0,828.0,7.636635771020949
"53.16009,23.08558","53.13632,23.19313",7:20,14236.0,7036.0,8763.75,inf,7036.0,2402.0,691.0,7.643892652946383
"53.14694,23.20979","53.07256,23.16051",7:39,15972.0,8772.0,11122.21,inf,8772.0,3059.0,1187.0,8.900789892536817
"53.11834,23.14122","53.16237,23.15373",8:02,12200.0,5000.0,5892.61,inf,5000.0,1996.0,667.0,4.966511204398111
"53.08867,23.21937","53.10564,23.10076",9:20,14962.0,7762.0,9950.28,inf,7762.0,2672.0,982.0,8.141068511266862
"53.1173,23.10971","53.18677,23.23221",6:47,17150.0,9950.0,12302.48,inf,9950.0,3985.0,1250.0,11.242687719123333
"53.09555,23.22828","53.16475,23.07488",8:56,18671.0,11471.0,14098.88,inf,11471.0,3776.0,1270.0,12.804313340640691
"53.10329,23.16426","53.18575,23.17989",9:48,16005.0,8805.0,10803.67,inf,8805.0,3131.0,917.0,9.228200462858446
"53.16367,23.1046","53.16366,23.14694",9:07,10214.0,3014.0,3823.98,inf,3014.0,1390.0,603.0,2.8225893362294894
"53.15355,23.10149","53.11648,23.24134",9:41,16616.0,9416.0,11507.38,inf,9416.0,3581.0,1075.0,10.199344802487635
"53.14567,23.07164","53.17176,23.11516",8:35,12010.0,4810.0,6075.82,inf,4810.0,2048.0,710.0,4.103102863741632
"53.11208,23.08608","53.0926,23.10896",9:28,10528.0,3328.0,4296.24,inf,3328.0,1209.0,422.0,2.650481968837624
"53.13919,23.18093","53.10222,23.07181",7:52,14836.0,7636.0,9419.01,inf,7636.0,2871.0,1071.0,8.362004009398468
"53.17445,23.08996","53.06855,23.20706",9:38,19792.0,12592.0,15473.82,inf,12592.0,4787.0,1538.0,14.132365170770273
"53.15289,23.1445","53.18307,23.2243",7:33,13597.0,6397.0,8189.51,inf,6397.0,2602.0,931.0,6.289432714502115
"53.10985,23.09389","53.17957,23.23639",6:21,18500.0,11300.0,13883.89,inf,11300.0,4460.0,1524.0,12.264830964740666
"53.16778,23.08941","53.1694,23.17452",9:54,13222.0,6022.0,7606.98,inf,6022.0,1873.0,943.0,5.676051890812764
"53.094,23.13257","53.17293,23.16434",6:30,15581.0,8381.0,10048.43,inf,8381.0,2964.0,1325.0,9.028896243419258
"53.13563,23.17014","53.09399,23.18613",6:27,11577.0,4377.0,5277.26,inf,4377.0,1742.0,656.0,4.751550513412993
"53.10284,23.14869","53.11746,23.23501",9:34,12508.0,5308.0,6748.05,inf,5308.0,1944.0,599.0,5.986632466523863
"53.13798,23.16724","53.18182,23.15724",7:33,12078.0,4878.0,6044.83,inf,4878.0,1586.0,585.0,4.920165887647154
"53.14042,23.12753","53.16526,23.13005",6:12,9960.0,2760.0,3469.83,inf,2760.0,881.0,418.0,2.7671887425156982
"53.11397,23.1336","53.15831,23.11072",9:40,12603.0,5403.0,6577.53,inf,5403.0,2156.0,791.0,5.161218337995713
"53.09987,23.12767","53.09164,23.126",8:03,8826.0,1626.0,2033.75,inf,1626.0,555.0,472.0,0.921902573583446
"53.1738,23.1949","53.16651,23.23987",8:42,9898.0,2698.0,3456.17,inf,2698.0,1203.0,594.0,3.105138043135436
"53.11794,23.08824","53.09637,23.12131",6:05,11011.0,3811.0,4818.96,inf,3811.0,1332.0,575.0,3.2597193594468337
"53.1352,23.189","53.08985,23.10591",6:00,13917.0,6717.0,8180.55,inf,6717.0,2499.0,800.0,7.4956236857543725
"53.10038,23.1679","53.15673,23.1274",9:11,14743.0,7543.0,9185.04,inf,7543.0,2839.0,1147.0,6.823650157855745
"53.13258,23.23137","53.15092,23.17168",8:34,11138.0,3938.0,4870.87,inf,3938.0,1588.0,371.0,4.4731644094688505
"53.09487,23.20717","53.15733,23.10319",6:58,16629.0,9429.0,11352.62,inf,9429.0,3853.0,1165.0,9.816840856792911
"53.1663,23.20753","53.12309,23.10986",9:10,14589.0,7389.0,8888.71,inf,7389.0,3236.0,956.0,8.0943221669758
"53.10701,23.18557","53.18248,23.20629",7:22,15415.0,8215.0,9993.14,inf,8215.0,3426.0,1135.0,8.504900128201967
"53.15024,23.15186","53.09142,23.21279",7:13,14194.0,6994.0,8656.01,inf,6994.0,2660.0,865.0,7.701286875783404
"53.14862,23.08284","53.06733,23.12955",8:18,16182.0,8982.0,11466.88,inf,8982.0,2893.0,970.0,9.561683300939414
"53.17714,23.19444","53.07187,23.15424",9:36,18769.0,11569.0,14542.35,inf,11569.0,4222.0,2151.0,12.008896512967615
"53.09164,23.13226","53.08665,23.22258",9:15,13460.0,6260.0,8126.01,inf,6260.0,2091.0,862.0,6.057084698211353
"53.1463,23.11344","53.11589,23.08198",7:43,11038.0,3838.0,4527.09,inf,3838.0,1705.0,583.0,3.97986969614351
"53.09863,23.13889","53.09958,23.10039",7:27,9805.0,2605.0,3231.7,inf,2605.0,909.0,549.0,2.5726249082817554
"53.11806,23.22348","53.1118,23.11761",9:44,13738.0,6538.0,8140.6,inf,6538.0,2391.0,838.0,7.100021068301163
"53.13021,23.08392","53.07985,23.21792",7:30,17466.0,10266.0,12768.23,inf,10266.0,3509.0,1072.0,10.553464268951501
"53.12338,23.16486","53.11218,23.22178",7:52,10980.0,3780.0,4747.93,inf,3780.0,1251.0,620.0,3.9975588743834343
"53.14584,23.2066","53.09491,23.09134",6:06,15955.0,8755.0,10712.09,inf,8755.0,3223.0,991.0,9.55149502896432
"53.14507,23.20401","53.0713,23.10853",7:45,16927.0,9727.0,11888.86,inf,9727.0,3424.0,1050.0,10.387815928254746
"53.16508,23.17735","53.08253,23.24507",8:51,17665.0,10465.0,13185.53,inf,10465.0,4391.0,1191.0,10.231107916678724
"53.17386,23.14193","53.17832,23.2012",6:26,11427.0,4227.0,5492.08,inf,4227.0,2160.0,1183.0,3.9810907961889717
"53.09246,23.22046","53.11427,23.09008",8:16,15717.0,8517.0,10921.52,inf,8517.0,3063.0,928.0,9.035510007270794
"53.12022,23.13869","53.17995,23.15314",7:06,13915.0,6715.0,8160.58,inf,6715.0,2413.0,910.0,6.711212014041796
"53.16128,23.07321","53.13013,23.24406",6:14,17753.0,10553.0,13351.31,inf,10553.0,3390.0,976.0,11.90927547835753
"53.14145,23.18617","53.07376,23.13524",6:52,15078.0,7878.0,9618.35,inf,7878.0,3072.0,994.0,8.258950010062396
"53.09667,23.16393","53.13037,23.19619",6:39,11686.0,4486.0,5611.1,inf,4486.0,1648.0,763.0,4.321799119428535
"53.11032,23.18018","53.16353,23.074",7:11,16237.0,9037.0,10854.79,inf,9037.0,3727.0,1103.0,9.228992700864378
"53.133,23.16931","53.17133,23.09876",9:54,13147.0,5947.0,7318.13,inf,5947.0,1995.0,809.0,6.348030142950506
"53.12861,23.08692","53.15857,23.21425",8:07,15976.0,8776.0,10718.95,inf,8776.0,3481.0,1165.0,9.122450997177875
"53.08695,23.13657","53.13149,23.11187",9:01,12096.0,4896.0,5956.14,inf,4896.0,1728.0,595.0,5.219837848201985
"53.14527,23.20398","53.07114,23.162",9:43,16114.0,8914.0,11361.75,inf,8914.0,3008.0,1263.0,8.70617102444932
"53.16327,23.14668","53.12638,23.12444",6:58,11581.0,4381.0,5429.03,inf,4381.0,1562.0,650.0,4.36192114604817
"53.10117,23.14507","53.18396,23.2263",8:37,16660.0,9460.0,11701.66,inf,9460.0,3503.0,1053.0,10.681773898737934
"53.14535,23.22062","53.1709,23.23932",8:55,10626.0,3426.0,4358.46,inf,3426.0,1036.0,663.0,3.1025710407168607
"53.1514,23.19913","53.16446,23.17609",6:25,9335.0,2135.0,2691.31,inf,2135.0,1002.0,391.0,2.1139296011358373
"53.15376,23.07446","53.15357,23.16005",7:50,12239.0,5039.0,6384.36,inf,5039.0,1519.0,531.0,5.707211426775495
"53.16291,23.15087","53.09612,23.14543",9:20,14304.0,7104.0,8457.65,inf,7104.0,2700.0,1011.0,7.435572468351261
"53.11554,23.16177","53.0814,23.14746",7:56,11046.0,3846.0,4985.14,inf,3846.0,1207.0,481.0,3.9145787114605097
"53.14721,23.07205","53.13336,23.07284",9:49,8843.0,1643.0,2075.54,inf,1643.0,530.0,272.0,1.5409509501660523
"53.12347,23.14943","53.14265,23.10725",8:12,10721.0,3521.0,4143.1,inf,3521.0,1664.0,609.0,3.530818086784269
"53.11237,23.18713","53.07922,23.10168",6:18,13243.0,6043.0,7643.25,inf,6043.0,1910.0,648.0,6.792665498845424
"53.12437,23.0728","53.18415,23.09442",9:17,,,,,,,1007.0,6.801760044476503
"53.10288,23.23078","53.18104,23.09627",8:01,,,,,,,1178.0,12.490928195929811
"53.1736,23.1853","53.11415,23.18369",8:51,13860.0,6660.0,8074.75,inf,6660.0,2396.0,642.0,6.611410456360086
"53.10633,23.15117","53.08839,23.11451",9:44,9997.0,2797.0,3478.47,inf,2797.0,932.0,405.0,3.1576324687135555
"53.10974,23.15014","53.18253,23.19044",7:53,14889.0,7689.0,9517.09,inf,7689.0,2883.0,776.0,8.528454970769916
"53.10745,23.18574","53.1876,23.1024",7:41,,,,,,,1159.0,10.503296600622576
"53.12176,23.11648","53.11101,23.08816",7:48,9724.0,2524.0,3144.9,inf,2524.0,920.0,597.0,2.236303594010161
"53.08066,23.21273","53.18235,23.09677",6:56,,,,,,,1484.0,13.70061870580456
"53.09175,23.20481","53.14625,23.21303",9:27,12892.0,5692.0,7103.56,inf,5692.0,1905.0,707.0,6.0849001116451715
"53.138,23.18554","53.18414,23.17243",9:49,12514.0,5314.0,6494.38,inf,5314.0,1952.0,571.0,5.20445044262423
"53.12963,23.08619","53.15951,23.06747",6:22,10581.0,3381.0,4267.25,inf,3381.0,1262.0,521.0,3.549343560690768
"53.16427,23.2058","53.11306,23.14642",9:03,13635.0,6435.0,7620.07,inf,6435.0,2498.0,790.0,6.936381975526321
"53.16916,23.15374","53.07586,23.15117",6:03,16725.0,9525.0,11623.76,inf,9525.0,3904.0,1425.0,10.375903967243495
"53.09871,23.23009","53.18126,23.14699",9:11,16671.0,9471.0,11731.1,inf,9471.0,3175.0,1023.0,10.722890455325926
"53.10771,23.15283","53.16066,23.22385",9:21,14266.0,7066.0,8619.29,inf,7066.0,2635.0,792.0,7.557279613197009
"53.17342,23.19918","53.07437,23.24622",6:25,19095.0,11895.0,15061.19,inf,11895.0,4270.0,1466.0,11.452389492577344
"53.1275,23.17419","53.09203,23.1795",9:39,11229.0,4029.0,4953.24,inf,4029.0,1526.0,682.0,3.9599776380994145
"53.14777,23.22895","53.08757,23.17893",7:41,14101.0,6901.0,8726.99,inf,6901.0,2786.0,1066.0,7.480105772196712
"53.13354,23.22197","53.16542,23.08574",8:34,15579.0,8379.0,10506.57,inf,8379.0,2613.0,716.0,9.751869241816163
"53.14716,23.12014","53.15288,23.24204",7:03,15577.0,8377.0,10353.2,inf,8377.0,3181.0,1020.0,8.15387035598856
"53.10046,23.16062","53.0751,23.19214",9:11,10407.0,3207.0,4213.5,inf,3207.0,1072.0,868.0,3.5189249869879182
"53.09632,23.1686","53.10774,23.22678",8:03,13105.0,5905.0,7673.43,inf,5905.0,1898.0,831.0,4.086435664926261
"53.1574,23.11244","53.09206,23.16144",6:51,15194.0,7994.0,9768.73,inf,7994.0,3295.0,1133.0,7.967247322920219
"53.16003,23.15738","53.14178,23.17464",6:56,9721.0,2521.0,3198.84,inf,2521.0,800.0,418.0,2.332988821001397
"53.15847,23.22878","53.13186,23.23766",7:30,10863.0,3663.0,4734.11,inf,3663.0,1253.0,696.0,3.0175848451932925
"53.10062,23.12549","53.14651,23.20296",9:06,14577.0,7377.0,8831.81,inf,7377.0,2611.0,673.0,7.263612200397749
"53.11895,23.16694","53.14254,23.24281",9:09,12645.0,5445.0,6796.74,inf,5445.0,2045.0,659.0,5.701034726044413
"53.15839,23.09844","53.1328,23.22992",6:23,15143.0,7943.0,10021.59,inf,7943.0,2626.0,708.0,9.21890790029425
"53.09161,23.23575","53.14558,23.10736",7:14,16731.0,9531.0,11732.93,inf,9531.0,3533.0,1092.0,10.460702017526549
"53.09405,23.21615","53.1701,23.13044",8:38,16591.0,9391.0,11687.7,inf,9391.0,3410.0,1171.0,10.208148723907469
"53.09881,23.24502","53.08208,23.21754",6:19,9944.0,2744.0,3509.87,inf,2744.0,886.0,433.0,2.6130781757095347
"53.17588,23.08769","53.12901,23.07656",9:57,12147.0,4947.0,6302.78,inf,4947.0,1899.0,700.0,5.26428561768041
"53.14981,23.12561","53.12566,23.08514",8:06,10829.0,3629.0,4396.38,inf,3629.0,1353.0,445.0,3.8077216778041962
"53.13279,23.13753","53.10876,23.12302",7:12,10242.0,3042.0,3705.05,inf,3042.0,1067.0,448.0,2.842043643809262
"53.11316,23.19135","53.15088,23.14531",9:54,12067.0,4867.0,5809.01,inf,4867.0,1694.0,706.0,5.198663656019079
"53.09342,23.21631","53.10232,23.13324",9:27,12281.0,5081.0,6546.03,inf,5081.0,1761.0,609.0,5.633932128734011
