walk_time,bike_time,car_time,line_distance
5272.0,1958.0,648.0,4.327134590086756
4301.0,1437.0,623.0,4.192864515750712
5212.0,1625.0,502.0,4.354417336534745
223.0,104.0,70.0,0.04350464260682566
4378.0,1622.0,598.0,1.8108758598280987
3143.0,1018.0,337.0,2.869329155224137
1183.0,384.0,219.0,1.283734750271815
5887.0,2015.0,800.0,5.578644334756956
3251.0,1094.0,439.0,3.3304436204246657
7540.0,2400.0,826.0,6.6284801707148855
7685.0,2470.0,995.0,7.622980777838011
577.0,158.0,252.0,0.5505405477989539
4365.0,1407.0,788.0,4.260693601688037
5772.0,1730.0,663.0,0.7461068310241031
8127.0,2644.0,791.0,6.344742725462992
2911.0,1148.0,343.0,2.9252288060493123
4572.0,1342.0,645.0,3.417597806873816
3428.0,1211.0,482.0,3.1823956469344585
2977.0,974.0,426.0,2.741343190119261
1016.0,434.0,382.0,0.9914457502810589
3981.0,1292.0,654.0,3.7982625526434566
2772.0,900.0,291.0,2.9467116388643104
5187.0,1896.0,521.0,4.982262783646933
4252.0,1340.0,991.0,3.343080471683758
2995.0,1024.0,315.0,1.7405275772799016
8201.0,3096.0,1173.0,7.6896452691819555
7004.0,2585.0,685.0,6.672770876194941
6305.0,2119.0,626.0,5.967694283549839
4903.0,1527.0,763.0,3.085722902463258
5890.0,2372.0,643.0,5.561421832495501
6796.0,2134.0,721.0,6.520846766651469
8257.0,2669.0,857.0,7.3248050990511056
7794.0,2565.0,949.0,7.11983643925588
6434.0,2059.0,960.0,5.92240625839567
6616.0,2207.0,821.0,5.824449435787387
4811.0,1598.0,649.0,4.73060710343079
6832.0,2202.0,890.0,6.545262662090957
4535.0,1553.0,409.0,4.812629381408692
2165.0,695.0,508.0,2.373881040359971
7298.0,2434.0,676.0,7.148187634690217
5196.0,1831.0,620.0,5.158410260444528
10010.0,3985.0,1201.0,9.832636303993823
4832.0,1531.0,661.0,4.319992808750665
2713.0,887.0,281.0,2.531999504674419
8415.0,2796.0,960.0,8.575408535319175
7772.0,2948.0,793.0,8.58579409883156
4925.0,1866.0,687.0,4.588102575965483
6286.0,2175.0,744.0,6.7934645944529946
9512.0,3392.0,748.0,8.853197808911817
5188.0,1884.0,583.0,5.014216123457699
7935.0,3028.0,611.0,5.08878172565062
4764.0,1525.0,467.0,2.334441825522843
5002.0,1652.0,633.0,5.215990303078745
2064.0,599.0,417.0,2.3210171190555307
1614.0,500.0,191.0,1.2798836038793873
2887.0,985.0,304.0,2.6492444900658767
3333.0,1030.0,334.0,3.082585667575029
2251.0,682.0,367.0,2.2653245614404036
2779.0,943.0,337.0,2.59350117174534
5265.0,1743.0,587.0,5.485323187186651
3710.0,1400.0,452.0,3.7649767332597306
4287.0,1312.0,932.0,3.6900520220921447
7314.0,2625.0,697.0,6.991340852216159
3889.0,1499.0,676.0,4.054713371432602
5440.0,1755.0,814.0,4.725556907078036
4890.0,1613.0,741.0,5.010106987246963
3183.0,965.0,421.0,2.979604615345397
6457.0,2407.0,664.0,6.752224977468749
7023.0,2214.0,648.0,3.3232361765471965
1837.0,603.0,347.0,1.9591547480084335
2414.0,930.0,255.0,2.441065450246752
2559.0,798.0,411.0,2.303689095179784
6000.0,2035.0,709.0,6.340079292013367
8849.0,2881.0,797.0,8.418798519467787
8318.0,2707.0,866.0,7.679460879260227
3600.0,1308.0,459.0,3.4514351129783565
7130.0,2366.0,707.0,7.368875238323429
6499.0,2326.0,696.0,6.844735127498697
8035.0,2448.0,955.0,5.851654714326856
4282.0,1438.0,502.0,3.5510436011270796
7686.0,2618.0,718.0,7.877811290339686
3407.0,1041.0,376.0,2.7906369414007264
5071.0,1809.0,594.0,4.7286415682601834
2935.0,938.0,534.0,3.1742952769722295
5357.0,1858.0,456.0,4.611988947145031
2541.0,993.0,438.0,2.588272151566738
6804.0,2874.0,910.0,6.908995041509076
5434.0,1854.0,550.0,4.651295742781849
8070.0,2668.0,953.0,7.7661172431354295
4605.0,1579.0,468.0,4.54791845101769
2742.0,1241.0,733.0,2.497085884283732
2397.0,707.0,375.0,2.308279082239562
6071.0,1982.0,582.0,6.444628210898161
2495.0,867.0,497.0,1.719993575170821
4337.0,1804.0,762.0,1.5306357186755293
3127.0,998.0,475.0,3.4324640043292165
2646.0,1017.0,248.0,1.9444214376989493
3337.0,1173.0,347.0,2.707277416451065
5023.0,1837.0,509.0,5.384916896780167
9810.0,3809.0,1043.0,8.98195767071382
3052.0,1034.0,351.0,2.376361438841223
5926.0,1802.0,623.0,4.43432525171803
6555.0,2412.0,997.0,6.45415580008951
2835.0,979.0,418.0,2.83070627368806
4003.0,1227.0,821.0,2.486088212575076
2582.0,1214.0,795.0,1.8941273919257406
3012.0,921.0,386.0,2.8532257822374056
4898.0,1572.0,586.0,4.774954854771262
6658.0,2207.0,1051.0,6.5214987068818795
5286.0,1742.0,542.0,5.037363397971956
2240.0,798.0,417.0,1.8411675097783282
8851.0,2890.0,1047.0,8.307140598442341
8568.0,2952.0,972.0,7.294674447530192
2920.0,1089.0,393.0,2.2886205806651607
3739.0,1347.0,526.0,3.5289001946853755
4909.0,1918.0,451.0,4.445412971976346
6185.0,1851.0,393.0,1.3905052534187758
2346.0,724.0,646.0,1.7997589793138313
4588.0,1602.0,533.0,4.913981035376655
4540.0,1617.0,759.0,4.694557122005239
8356.0,2734.0,856.0,7.971476214562479
8756.0,3180.0,1064.0,8.159706624406045
7157.0,2672.0,725.0,6.434453371382422
2327.0,775.0,458.0,2.4881522768934183
4669.0,1472.0,658.0,3.8398659138113223
3078.0,1138.0,333.0,2.7167982132862964
1353.0,409.0,186.0,1.5045054928970116
8739.0,2840.0,1026.0,8.112116821350146
4053.0,1429.0,405.0,3.3615320903279704
5967.0,2076.0,572.0,4.989755274824489
7373.0,2274.0,686.0,7.465585597445396
4200.0,1329.0,436.0,4.385054027353212
2143.0,660.0,551.0,1.7261296156758736
3051.0,1024.0,,3.097770180855427
4952.0,1682.0,410.0,4.746496894191733
3424.0,1064.0,468.0,2.6685329957610002
2953.0,1227.0,450.0,2.2529244309805274
9690.0,3422.0,837.0,5.5278324480853875
5643.0,1908.0,682.0,5.110866901764237
4650.0,1501.0,834.0,4.475370005552735
6476.0,2005.0,716.0,5.8684813847044905
3194.0,1034.0,740.0,2.2014521619419978
4098.0,1566.0,531.0,4.258690601465946
6133.0,2332.0,628.0,4.794993448303622
3216.0,1068.0,383.0,2.9447334812293544
5079.0,1833.0,511.0,4.417207754920553
5083.0,1806.0,564.0,5.197450528750675
3249.0,1414.0,656.0,2.7598816940407467
5239.0,1584.0,522.0,4.3384310490113664
4885.0,1516.0,594.0,4.514233215026147
1401.0,636.0,127.0,1.4025815715580383
2058.0,694.0,362.0,1.6443077993223445
1395.0,522.0,175.0,1.1707961313218624
6235.0,2027.0,733.0,6.440184736690859
5456.0,1804.0,706.0,4.8697466738151185
2630.0,1020.0,359.0,2.2145690939343496
7281.0,2551.0,647.0,6.936027655064181
4748.0,1625.0,468.0,4.670078850584616
3666.0,1187.0,451.0,3.4180020997125724
4228.0,1497.0,436.0,4.395883375468738
6490.0,2135.0,379.0,2.714855288294794
5168.0,1795.0,620.0,4.0631025308550335
4292.0,1361.0,789.0,3.9970470867954417
4473.0,1645.0,633.0,2.7732013434785445
5456.0,1911.0,734.0,4.703603554295998
9325.0,3261.0,1099.0,8.468695343239906
1832.0,556.0,245.0,1.8937004614739712
4986.0,1560.0,717.0,4.757942732975119
2132.0,651.0,345.0,2.1811953602111354
4818.0,1526.0,389.0,4.217793297273265
3349.0,1081.0,406.0,2.8397304411916173
1828.0,694.0,150.0,1.8430559512110467
3339.0,1327.0,483.0,2.9239227379168238
3140.0,993.0,332.0,2.178561000490949
7616.0,2824.0,802.0,7.064442463500808
3894.0,1452.0,481.0,2.673946932284513
2639.0,818.0,551.0,2.5022377225194026
5089.0,1675.0,357.0,5.158728167872871
1979.0,716.0,344.0,1.7880259759696302
1509.0,461.0,216.0,1.362944862584746
2932.0,1040.0,414.0,2.9621449330920218
506.0,160.0,79.0,0.3934007865762781
3131.0,991.0,251.0,2.139727007481472
2487.0,765.0,310.0,2.349446513973509
2866.0,960.0,533.0,2.983577899743427
3011.0,936.0,494.0,2.215948609577188
5733.0,2149.0,838.0,4.438335679208812
3942.0,1444.0,493.0,4.088154252146731
4783.0,1613.0,618.0,4.322409301875037
5050.0,1680.0,611.0,5.426575741798165
5799.0,1853.0,856.0,5.367288699072885
6260.0,2189.0,693.0,5.948217373211371
3745.0,1289.0,758.0,3.428717801976982
534.0,201.0,89.0,0.5459677789531143
8524.0,3011.0,1059.0,7.927782513002331
4888.0,1791.0,697.0,4.77269026666667
4278.0,1470.0,487.0,3.636297752742027
3535.0,1136.0,367.0,3.2755563498139493
7313.0,2432.0,1001.0,6.956742447002963
6752.0,2568.0,696.0,6.219650755381773
8508.0,3123.0,901.0,9.388098127468185
4413.0,1407.0,611.0,3.546609104380983
5396.0,1794.0,681.0,5.043041623965033
4963.0,1873.0,582.0,4.246073753719476
6642.0,2179.0,767.0,7.051089089890326
8592.0,2968.0,1145.0,7.733223024891091
6402.0,2321.0,599.0,6.565427458797508
8726.0,3293.0,964.0,8.350796335687695
7706.0,2459.0,991.0,7.62495157367989
4524.0,1490.0,674.0,4.402721733334558
7817.0,2581.0,917.0,8.06524156616296
9071.0,2984.0,800.0,8.595429488611327
2408.0,737.0,323.0,2.0392166602634663
2772.0,903.0,428.0,1.9151117231524417
6768.0,2055.0,800.0,3.3111628334001346
6657.0,2557.0,620.0,6.625347522752958
5180.0,2016.0,837.0,4.598818586838733
4196.0,1366.0,667.0,3.9402012939866893
4145.0,1456.0,659.0,4.078882020437687
3249.0,1185.0,466.0,2.4921767946150246
7048.0,2531.0,805.0,6.288408089162083
3342.0,1053.0,471.0,3.4582349466755042
1445.0,467.0,234.0,1.4541877278835904
1778.0,504.0,291.0,1.6562147172774253
9304.0,3341.0,999.0,9.83629899311568
8252.0,2790.0,738.0,7.7416440044142645
8710.0,3043.0,820.0,7.988297214869842
5285.0,2093.0,603.0,4.996243227026037
