walk_time,bike_time,car_time,line_distance
2275,714,346.0,2.205896932249461
1402,524,157.0,1.5419950244326808
2182,669,286.0,2.129584265773997
3,1,,0.031178994137404596
1906,552,284.0,1.046848681869266
1931,544,264.0,1.840583713845827
734,221,101.0,0.5191203338193838
2410,751,548.0,2.2787519047638374
8165,2352,603.0,3.345076070220888
3805,1159,548.0,2.7596968479682014
406,128,57.0,0.2963345473811014
2378,821,376.0,1.8323266928241713
381,109,128.0,0.41653948321287265
4517,1355,632.0,2.7375819445606284
1583,508,241.0,1.7694288987706637
3109,862,398.0,1.2680145819223274
2637,795,305.0,1.1965947957533092
1958,588,259.0,1.8379207440723149
888,328,74.0,1.1649151317140152
1305,457,263.0,0.6851143402186551
1975,595,286.0,1.8810391416113004
2100,623,347.0,2.0810457489189127
3159,1062,620.0,3.0248833529156887
3166,954,395.0,3.2086494001602484
4891,1346,520.0,1.2394577422728088
1198,351,109.0,1.0586373422085553
3123,959,373.0,2.983180685748841
3146,923,441.0,2.4463208729069574
3084,1024,376.0,2.143558595765455
1691,479,258.0,1.3970961574501675
2545,802,315.0,2.354572581747525
2490,811,365.0,2.5031683580691997
2577,809,512.0,2.7136616036039185
3142,927,408.0,3.0578434199036035
2966,845,694.0,2.510424045897187
3272,1054,502.0,2.4862741546760927
2966,871,393.0,2.465183986105423
3170,969,364.0,2.9056074628240762
1509,440,196.0,1.6246765771973477
3206,1021,542.0,2.6208548967816703
3184,926,451.0,3.647117967187404
1148,344,163.0,1.3070011564035713
4251,1199,667.0,4.145279145404566
6802,1947,772.0,3.0198963742129084
1375,385,203.0,0.9079906923008403
4396,1298,520.0,3.2912022307693576
1296,353,162.0,1.3318083911199126
1640,493,260.0,1.5085002273547943
2630,784,363.0,2.7009628900380602
6340,1885,872.0,4.601105012778094
2120,596,295.0,2.0348836687789715
1974,542,205.0,1.8268644217099461
3012,1170,326.0,2.9518172490584624
1727,503,228.0,1.552939422928287
2583,849,493.0,1.927297074971793
5672,1621,717.0,1.6089019559859383
1044,311,154.0,0.9056291078172184
1622,473,222.0,1.6866348465389611
1136,307,137.0,1.1127331938729883
214,214,448.0,0.30124514966469224
1575,471,242.0,0.9526866338248507
2528,798,248.0,2.4301543322242045
1969,592,289.0,2.2270060013438715
3264,1034,487.0,3.1864233501852084
3088,905,360.0,2.782314045501795
2364,707,428.0,2.508624646557012
3430,1016,607.0,3.124293352442004
2018,563,265.0,2.0339410125377646
3018,1030,393.0,2.5993515715277318
1841,550,268.0,1.7343363806740721
2321,927,309.0,1.9482242147687483
1221,347,162.0,1.2971384280939884
1482,452,293.0,0.8275402605549206
2944,979,345.0,2.284434272310139
1713,508,327.0,1.2880999411362564
2727,806,329.0,3.0915604741489466
2483,819,219.0,2.6746963985863914
3250,936,494.0,3.377146092256727
3525,1043,540.0,3.336709895917845
1134,306,136.0,1.2824218001941885
3415,1074,530.0,2.9089543425769535
1716,495,238.0,1.81754548125987
2740,835,391.0,2.9090942117245513
5717,1668,737.0,2.195759574648223
3979,1151,490.0,3.838275523361688
2500,724,460.0,2.6959082947430275
2483,726,453.0,1.9048522239251235
1612,485,131.0,1.4082213489745878
3448,979,428.0,2.990660441309898
2559,731,302.0,2.0592050989219373
3691,1097,575.0,2.9426053349027206
2075,639,504.0,1.7058542810100206
3125,958,344.0,2.8440034103370326
1322,382,176.0,1.424475525801972
3202,922,546.0,3.480619189686872
1105,372,171.0,1.0126388583525767
641,191,66.0,0.6851245027231712
1860,533,300.0,1.8368739029497387
2135,614,432.0,2.43350792346465
1263,448,303.0,1.2794072695189367
528,159,90.0,0.503987521929268
1368,398,224.0,1.142915059991981
2610,979,241.0,2.196004566995256
6226,1759,824.0,4.052394525946038
1588,609,312.0,1.0216308789763529
2431,708,341.0,2.78733542867945
6085,1716,697.0,3.4223821596924613
740,213,98.0,0.723065008380588
2892,909,478.0,1.990430165201534
6970,1989,706.0,3.889316311229099
6440,1787,738.0,1.7025401654208012
1205,346,208.0,1.15957672432769
1962,569,253.0,2.0128917456570603
2934,868,508.0,3.3963366420717853
7612,2170,1076.0,3.4936801911211934
1195,332,124.0,0.9541835862139552
2478,749,245.0,2.4570344489108433
1367,380,168.0,1.2948843231370808
3764,1070,662.0,2.906230697526149
3295,937,453.0,3.145773386104995
2487,754,347.0,2.624309634679497
1112,303,143.0,1.144655608314653
1943,535,308.0,1.3166930674570145
2550,753,292.0,2.5997275699850864
980,300,149.0,0.7600024073554592
765,228,108.0,0.8902133732325965
2356,767,325.0,2.356539125714113
3227,1006,351.0,3.0815599305676966
1628,547,140.0,1.8407525543854832
3489,1076,424.0,2.9714010248747917
3668,1232,645.0,3.3841922952576677
3242,917,558.0,3.3236837300089004
3129,971,411.0,1.7223444130096404
2234,638,325.0,2.6398120716357605
1564,472,199.0,1.1660737318150698
2172,730,410.0,1.2364527902377886
975,326,140.0,0.928739376234493
3187,920,429.0,3.2381699487974083
1830,555,272.0,1.6922084420880759
2483,704,483.0,1.8124347695560463
3081,919,425.0,3.294580347033127
1607,481,171.0,1.680559414733721
2371,696,451.0,1.811040087600459
1134,331,153.0,1.2276640943083161
2349,770,540.0,1.928613383718652
1637,483,253.0,1.2046677710296283
1485,418,287.0,1.390175056698383
2408,698,330.0,2.1665598498503673
2000,636,314.0,2.1431524976562306
1707,504,275.0,1.6136029016224889
1483,448,207.0,1.4040250012944744
1344,433,169.0,0.790737143172904
5472,1590,837.0,3.604503716984442
2746,771,403.0,2.9902446516992427
2053,602,307.0,1.8681273158046674
5238,1482,68.0,0.6315250966800362
1736,506,551.0,1.9599502179593418
2377,827,426.0,1.5920915419210375
1913,570,325.0,1.7006296177600169
1538,444,252.0,1.5574637313029767
2382,670,346.0,2.3613809753428296
1571,506,284.0,0.9686300365385931
2433,1091,209.0,1.221675644489912
524,186,90.0,0.6028304977855622
512,142,47.0,0.4603622913119186
3391,1051,512.0,2.5274040915776146
2190,749,351.0,2.0507409282129703
1639,474,288.0,1.472634313754837
2294,745,219.0,2.248246851867529
2186,649,,2.276023318358795
2251,698,447.0,2.1547168929796228
2393,700,477.0,2.382377036154079
1528,434,206.0,1.269926957090294
4168,1208,555.0,2.1847517854282628
4618,1345,559.0,2.561211978803431
2623,749,321.0,2.2131554741249437
1911,544,248.0,1.90175137774264
3466,978,465.0,3.341712662920987
3602,1329,388.0,2.3291544517105303
3555,1146,493.0,3.626312237572374
948,284,145.0,0.737805570507913
2799,804,524.0,2.933214863700337
2023,797,283.0,1.8131729974437958
1057,435,130.0,1.1000757627903035
1753,496,235.0,1.5192565750739302
1349,409,223.0,1.294372013326691
2304,661,314.0,2.6035307051215306
785,229,195.0,0.6614826008481838
1170,359,184.0,1.10360098164369
3088,867,390.0,3.186728790964638
1116,321,159.0,1.0122735827237275
1415,449,149.0,1.495861221291209
2928,844,487.0,3.061012527881985
3257,925,396.0,1.3358731200443623
2285,760,208.0,2.314062762747543
5057,1454,659.0,3.7050723839642803
2056,605,231.0,0.8109082707868979
948,303,290.0,0.742663476149219
1783,530,275.0,2.100862811953213
626,176,83.0,0.1619489511794731
2929,830,543.0,2.5469968076869662
821,261,142.0,0.8468819074389123
1135,348,328.0,1.0991409133104113
1841,562,408.0,2.1052999263691814
1023,301,186.0,1.0171846207883144
2819,820,357.0,3.061447448645741
3162,1042,440.0,2.5059995723640562
3502,1097,549.0,1.6684221439394538
2967,1182,283.0,2.097547423428868
7003,2066,1172.0,3.8117184675258873
3214,961,447.0,3.1299047099617123
3674,1068,476.0,2.9621615781650954
2433,852,346.0,2.2000522597767818
960,270,153.0,0.38695923861860765
3941,1173,537.0,3.607696772451039
3163,946,583.0,2.954542650236425
1759,515,261.0,1.6258308254452276
2393,708,290.0,2.328260787943636
3696,1083,620.0,3.554174941581654
144,44,26.0,0.19878249415954885
6526,1866,942.0,4.627966068052274
2377,732,258.0,2.170841993776006
2678,1016,219.0,2.9243538762145556
3245,894,312.0,2.7762497542514923
3414,1072,441.0,3.5164992237149693
715,201,95.0,0.6117811916833716
2990,886,389.0,2.8679018357406694
1065,312,163.0,0.7850193570232908
971,286,136.0,0.9781254870513962
957,258,146.0,1.0919368061594272
1768,502,291.0,1.6931389949784552
2440,681,316.0,2.4945620975883815
