start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"44.59873,20.32091","44.52002,20.39511",8:45,14358.0,10758.0,14068.19,inf,10758.0,2995,1603,10.543261634579254
"44.55738,20.34751","44.54035,20.43576",9:02,16664.0,9464.0,12335.53,inf,9464.0,2716,1501,7.245073263624165
"44.54926,20.36006","44.47658,20.43781",8:28,13290.0,9690.0,12691.79,inf,9690.0,2739,1777,10.16463917215798
"44.50014,20.39059","44.49879,20.39066",6:34,3645.0,45.0,58.9,0.0,45.0,12,14,0.15021577780607467
"44.58682,20.43471","44.62807,20.40877",8:38,12058.0,4858.0,6336.81,inf,4858.0,1374,715,5.025487000917811
"44.60371,20.35177","44.52708,20.32123",9:17,11646.0,8046.0,10522.16,inf,8046.0,2272,766,8.857691039719125
"44.54778,20.36642","44.55983,20.34044",9:19,6576.0,2976.0,3887.63,inf,2976.0,855,837,2.456222139821736
"44.58482,20.34159","44.48731,20.3639",7:42,18709.0,11509.0,15089.71,inf,11509.0,3169,1413,10.985866297667968
"44.63131,20.3795","44.51317,20.49442",9:59,,,,,,4394,1851,15.982292045115933
"44.58081,20.34742","44.56969,20.33858",7:57,10939.0,7339.0,9617.15,inf,7339.0,2044,1173,1.4209758602744935
"44.59352,20.41194","44.57753,20.42333",6:22,10042.0,2842.0,3659.45,inf,2842.0,843,396,1.9937240779807006
"44.62671,20.44368","44.48109,20.32476",7:33,,,,,,4795,2462,18.73436692235026
"44.58545,20.27272","44.6039,20.40497",6:32,14703.0,11103.0,14488.81,inf,11103.0,3169,1436,10.670748908543143
"44.57193,20.30404","44.49562,20.42809",9:49,16086.0,12486.0,16296.45,inf,12486.0,3621,1648,12.987750084269877
"44.52628,20.39581","44.59787,20.35798",8:47,17692.0,10492.0,13676.15,inf,10492.0,2985,1735,8.505954043907996
"44.5334,20.40469","44.61141,20.42722",7:09,11650.0,8050.0,10563.2,inf,8050.0,2397,845,8.855995970877588
"44.62904,20.34148","44.53895,20.35005",8:32,17586.0,10386.0,13564.68,inf,10386.0,2886,1240,10.040516293977404
"44.49795,20.34648","44.62417,20.39535",7:46,,,,,,4516,1868,14.559284969823299
"44.61993,20.43622","44.54078,20.30587",7:32,,,,,,4177,1783,13.56610837025082
"44.58036,20.49396","44.63122,20.28718",9:47,,,,,,5614,2176,17.319259806213648
"44.5473,20.37209","44.50437,20.3943",9:25,8705.0,5105.0,6657.46,inf,5105.0,1454,1016,5.08795349836641
"44.55287,20.43869","44.60967,20.28014",6:19,,,,,,4132,1857,14.055932184236642
"44.60108,20.30698","44.62612,20.44764",6:14,17008.0,13408.0,17550.83,inf,13408.0,3976,1387,11.476826366483936
"44.52009,20.42117","44.52392,20.2945",6:36,19401.0,12201.0,15977.89,inf,12201.0,3706,1704,10.051409227737102
"44.59267,20.42827","44.63544,20.36973",6:32,15355.0,8155.0,10698.72,inf,8155.0,2279,1031,6.63994940032537
"44.54919,20.39839","44.61189,20.28845",8:16,15573.0,11973.0,15657.24,inf,11973.0,3413,1607,11.154559566060984
"44.5769,20.34612","44.62144,20.48116",9:04,,,,,,4506,1415,11.783136179805684
"44.60914,20.44093","44.57525,20.28713",6:49,,,,,,4479,2105,12.748246374440127
"44.48082,20.36037","44.49168,20.36607",8:55,5254.0,1654.0,2158.36,inf,1654.0,480,222,1.2894580522320513
"44.57298,20.31509","44.48858,20.45465",7:03,,,,,,4326,2009,14.507143949071844
"44.47131,20.37718","44.608,20.29687",8:02,,,,,,4300,1854,16.47817869951521
"44.56922,20.41845","44.47794,20.49683",7:20,16012.0,12412.0,16254.33,inf,12412.0,3438,1311,11.900885321781374
"44.59196,20.45022","44.47455,20.38766",7:39,19816.0,12616.0,16508.08,inf,12616.0,3535,1517,13.965420134065162
"44.54682,20.36315","44.61632,20.37904",8:02,15521.0,8321.0,10891.18,inf,8321.0,2350,1055,7.82984416797726
"44.54518,20.32314","44.65485,20.4787",9:20,,,,,,5112,2037,17.33210262420371
"44.52305,20.39241","44.65323,20.41226",6:47,17072.0,13472.0,17544.22,inf,13472.0,3802,1566,14.560454717742713
"44.61838,20.31666","44.61837,20.37043",8:56,12904.0,5704.0,7466.32,inf,5704.0,1621,729,4.25582247449548
"44.6024,20.31271","44.54388,20.49029",9:48,,,,,,4870,2155,15.498369016313822
"44.58996,20.2748","44.63115,20.33007",9:07,10192.0,6592.0,8641.8,inf,6592.0,1892,856,6.333978852670919
"44.57973,20.41358","44.52136,20.27502",9:41,20475.0,13275.0,17354.85,inf,13275.0,3711,1643,12.7545412796756
"44.60136,20.36733","44.649,20.46865",8:35,13499.0,9899.0,12933.3,inf,9899.0,2851,960,9.610223074377066
"44.57411,20.39988","44.50838,20.42019",9:28,15738.0,8538.0,11164.46,inf,8538.0,2409,1022,7.483991439390278
"44.52234,20.37265","44.54543,20.48225",7:52,17042.0,9842.0,12900.62,inf,9842.0,2759,1830,9.058766418845348
"44.57783,20.39619","44.64703,20.38351",9:38,11039.0,7439.0,9717.71,inf,7439.0,2125,915,7.759875380746823
"44.58167,20.34577","44.62088,20.34897",7:33,12034.0,4834.0,6312.42,inf,4834.0,1370,880,4.3673077672392635
"44.53992,20.35349","44.60992,20.32442",6:21,11627.0,8027.0,10512.78,inf,8027.0,2230,1029,8.11707852650918
"44.63437,20.43132","44.62287,20.48843",9:54,9253.0,5653.0,7356.34,inf,5653.0,1593,767,4.696805927528435
"44.49299,20.40692","44.48281,20.35232",6:30,8726.0,5126.0,6701.15,inf,5126.0,1419,910,4.4766917463627065
"44.57343,20.42383","44.50183,20.31832",6:27,17245.0,13645.0,17825.83,inf,13645.0,3837,1759,11.54638678174203
"44.51846,20.39704","44.60742,20.34561",9:34,15004.0,11404.0,14889.49,inf,11404.0,3283,1441,10.698188037221831
"44.56929,20.47763","44.59825,20.40184",7:33,15411.0,8211.0,10701.74,inf,8211.0,2352,1135,6.811513321696549
"44.62254,20.44736","44.55432,20.32334",6:12,20957.0,13757.0,18002.43,inf,13757.0,3913,1736,12.409535649138391
"44.52893,20.41947","44.64807,20.44578",9:40,,,,,,4316,2193,13.410596119358837
"44.59718,20.37667","44.50432,20.45404",8:03,19708.0,12508.0,16366.15,inf,12508.0,3895,1902,12.008521724238756
"44.59462,20.28902","44.46629,20.34834",8:42,,,,,,4242,1943,15.024427597106081
"44.63964,20.43074","44.47346,20.37969",6:05,,,,,,5568,2213,18.915891056149366
