start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"59.44299,17.78874","59.43163,17.85308",8:45,7605.0,4005.0,5060.76,inf,4005.0,1414.0,611.0,3.8508836799695567
"59.43757,17.79789","59.38912,17.85457",9:02,9165.0,5565.0,7141.31,inf,5565.0,1881.0,726.0,6.269669735984749
"59.40482,17.82015","59.40392,17.8202",8:28,3717.0,117.0,144.1,0.0,117.0,40.0,28.0,0.10011543397256253
"59.41905,17.74689","59.46218,17.80384",6:34,9389.0,5789.0,7425.32,inf,5789.0,1817.0,1035.0,5.7763569030308926
"59.43659,17.80252","59.44462,17.78359",8:38,4858.0,1258.0,1633.32,0.0,1258.0,768.0,124.0,1.3937737626072424
"59.49227,17.81206","59.41351,17.89584",9:17,13430.0,9830.0,12618.77,inf,9830.0,3426.0,1069.0,9.95568361065096
"59.45861,17.78868","59.45119,17.78223",9:19,4043.0,443.0,583.95,0.0,443.0,227.0,157.0,0.9019934615022305
"59.42225,17.82396","59.46998,17.79638",7:42,8370.0,4770.0,6124.62,inf,4770.0,1428.0,610.0,5.53156508198992
"59.42046,17.84906","59.43241,17.89747",9:59,7026.0,3426.0,4373.76,inf,3426.0,1537.0,,3.0434065605033584
"59.427,17.83042","59.479,17.84685",7:57,9782.0,6182.0,7978.49,inf,6182.0,2085.0,619.0,5.856215934885823
"59.40081,17.77169","59.43249,17.78879",6:22,7421.0,3821.0,4876.12,inf,3821.0,1397.0,615.0,3.6530844291819093
"59.42266,17.87266","59.46609,17.82377",7:33,8668.0,5068.0,6568.24,inf,5068.0,1596.0,474.0,5.5640896366163775
"59.40336,17.78799","59.48752,17.82362",6:32,12210.0,8610.0,11023.09,inf,8610.0,2868.0,1058.0,9.57244257097093
"59.43626,17.80666","59.40764,17.82285",9:49,6858.0,3258.0,4027.3,inf,3258.0,974.0,399.0,3.311549877545946
"59.43998,17.85521","59.47785,17.73963",8:47,11492.0,7892.0,10096.27,inf,7892.0,2393.0,,7.770657969370363
"59.41813,17.84244","59.42068,17.7501",7:09,8433.0,4833.0,6136.08,inf,4833.0,1567.0,595.0,5.2314006374750335
"59.43753,17.82583","59.47933,17.74569",8:32,10191.0,6591.0,8456.23,inf,6591.0,2017.0,596.0,6.489155837890819
"59.456,17.78773","59.48569,17.88617",7:46,10249.0,6649.0,8529.46,inf,6649.0,2305.0,859.0,6.4665544532304935
"59.39194,17.79811","59.39918,17.80227",7:32,4380.0,780.0,972.14,0.0,780.0,267.0,799.0,0.8387890877911339
"59.45088,17.84046","59.39002,17.89759",9:47,10642.0,7042.0,8957.21,inf,7042.0,2430.0,516.0,7.49939828284055
"59.43595,17.80015","59.48228,17.81173",9:25,8100.0,4500.0,5813.98,inf,4500.0,1557.0,925.0,5.193047356031951
"59.40471,17.87249","59.42258,17.76269",6:19,10076.0,6476.0,8223.38,inf,6476.0,2220.0,708.0,6.522527479405516
"59.43485,17.77098","59.50797,17.88438",6:14,13882.0,10282.0,13222.03,inf,10282.0,4160.0,1351.0,10.350512036787057
"59.49894,17.80883","59.39316,17.81526",6:36,14261.0,10661.0,13608.52,inf,10661.0,3453.0,1282.0,11.76781361000185
"59.4216,17.77182","59.38754,17.74746",6:32,,,,,,8858.0,2946.0,4.030426126734448
"59.41195,17.88074","59.48479,17.73874",8:16,14452.0,10852.0,13924.7,inf,10852.0,3537.0,890.0,11.402607952400473
"59.4201,17.82148","59.50689,17.83595",9:04,12750.0,9150.0,11792.72,inf,9150.0,2849.0,1063.0,9.685171452386253
"59.41993,17.77842","59.46262,17.79193",6:49,8029.0,4429.0,5735.46,inf,4429.0,1804.0,880.0,4.807963821450626
"59.45789,17.8369","59.41897,17.7359",8:55,10521.0,6921.0,8857.79,inf,6921.0,2280.0,3464.0,7.165032764597931
"59.4723,17.80319","59.50407,17.87705",7:03,10144.0,6544.0,8500.62,inf,6544.0,3108.0,586.0,5.46506419172002
"59.42701,17.75633","59.50039,17.88825",8:02,16361.0,12761.0,16358.12,inf,12761.0,4529.0,1263.0,11.050987666220196
"59.41032,17.79214","59.4934,17.82155",7:20,12170.0,8570.0,10990.36,inf,8570.0,2927.0,1195.0,9.386411832743073
"59.45414,17.82692","59.41032,17.84172",7:39,8479.0,4879.0,6229.19,inf,4879.0,1663.0,464.0,4.943915474847705
"59.41963,17.80707","59.43502,17.88697",8:02,8791.0,5191.0,6444.43,inf,5191.0,1805.0,,4.832093673183775
"59.45662,17.82423","59.50275,17.81498",9:20,8694.0,5094.0,6509.48,inf,5094.0,1565.0,,5.155949298434231
"59.38489,17.84505","59.49916,17.88228",6:47,16217.0,12617.0,16112.94,inf,12617.0,4192.0,1258.0,12.879379989837
"59.45918,17.78747","59.48532,17.78981",8:56,6851.0,3251.0,4174.66,inf,3251.0,1117.0,967.0,2.9096387484310307
"59.43134,17.7931","59.47801,17.77191",9:48,9053.0,5453.0,7075.97,inf,5453.0,1783.0,995.0,5.325835402936661
"59.4165,17.7876","59.40784,17.78606",9:07,4874.0,1274.0,1575.37,0.0,1274.0,451.0,304.0,0.9668825361044646
"59.40006,17.83205","59.39327,17.79225",9:41,6475.0,2875.0,3634.13,inf,2875.0,902.0,559.0,2.376156068722402
"59.45369,17.84438","59.40595,17.76746",8:35,10508.0,6908.0,8796.89,inf,6908.0,2256.0,806.0,6.863131898347666
"59.41704,17.82485","59.47635,17.78735",9:28,9602.0,6002.0,7714.97,inf,6002.0,1751.0,722.0,6.927242125241925
"59.41124,17.8612","59.47698,17.76494",7:52,12266.0,8666.0,11078.05,inf,8666.0,2633.0,698.0,9.112916520486777
"59.42402,17.8412","59.50345,17.86038",9:38,12294.0,8694.0,11238.33,inf,8694.0,2851.0,875.0,8.898436538213394
