start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"48.1635,17.08659","48.14862,17.10536",8:45,9200.0,2000.0,2488.6,inf,2000.0,795.0,337.0,2.1624580313559987
"48.15568,17.09332","48.15246,17.11564",9:02,9056.0,1856.0,1977.56,0.0,1856.0,765.0,641.0,1.6940012351717617
"48.15415,17.09649","48.14041,17.11616",8:28,9412.0,2212.0,2552.65,inf,2212.0,1104.0,565.0,2.112796397056705
"48.14486,17.10422","48.14461,17.10423",6:34,3744.0,144.0,165.82,0.0,144.0,215.0,225.0,0.027808631232771774
"48.1489,17.0788","48.16112,17.09856",8:38,9641.0,2441.0,3084.72,inf,2441.0,772.0,401.0,1.99872675747795
"48.15387,17.0981","48.15615,17.09153",9:17,8014.0,814.0,1017.44,0.0,814.0,330.0,130.0,0.5493610433759538
"48.16087,17.09182","48.14244,17.09747",9:19,9186.0,1986.0,2492.27,inf,1986.0,800.0,274.0,2.091746920625233
"48.15708,17.08045","48.16047,17.12127",7:42,10487.0,3287.0,3971.59,inf,3287.0,1267.0,568.0,3.051183531331127
"48.16011,17.0933","48.15801,17.09106",9:59,7991.0,791.0,1007.48,0.0,791.0,322.0,65.0,0.2865877464141765
"48.15337,17.12411","48.16295,17.103",7:57,9194.0,1994.0,2357.79,inf,1994.0,898.0,355.0,1.8938386118215853
"48.14529,17.079","48.159,17.12468",6:22,7631.0,4031.0,4944.44,inf,4031.0,1876.0,764.0,3.7158549105973773
"48.15843,17.08232","48.14401,17.1137",7:33,6459.0,2859.0,3396.46,inf,2859.0,1077.0,668.0,2.82671372552137
"48.14981,17.10554","48.16333,17.09597",6:32,8905.0,1705.0,2086.76,inf,1705.0,709.0,353.0,1.6625311522190263
"48.1493,17.11425","48.15268,17.13105",9:49,8493.0,1293.0,1503.14,0.0,1293.0,538.0,,1.3017589922169575
"48.15115,17.10778","48.16589,17.11348",8:47,8879.0,1679.0,2007.72,inf,1679.0,670.0,266.0,1.6926671719078608
