start_points,end_points,time,fastest_arrivals,shortest_travels,walk_distances,num_of_changes,walk_time,bike_time,car_time,line_distance
"53.58213,-2.52854","53.57119,-2.41601",8:45,14337.0,7137.0,9026.97,inf,7137.0,2307.0,700.0,7.528344673513192
"53.57691,-2.51254","53.53023,-2.4134",9:02,15716.0,8516.0,10829.03,inf,8516.0,2765.0,842.0,8.356490844824071
"53.54536,-2.4736","53.5445,-2.47352",8:28,,,,,,,60.0,0.09577360540491342
"53.60103,-2.41735","53.62752,-2.45043",6:34,11393.0,4193.0,5354.11,inf,4193.0,1542.0,561.0,3.6657379957760154
"53.61188,-2.52311","53.56267,-2.56205",8:38,9653.0,6053.0,7810.87,inf,6053.0,2258.0,715.0,6.045479955378787
"53.57596,-2.50443","53.5837,-2.53755",9:17,10140.0,2940.0,3601.44,inf,2940.0,931.0,348.0,2.349760999009479
"53.59975,-2.53609","53.53713,-2.50764",9:19,14551.0,7351.0,8898.63,inf,7351.0,2437.0,768.0,7.212015865996236
"53.59717,-2.52866","53.59003,-2.53993",7:42,8507.0,1307.0,1640.26,0.0,1307.0,557.0,504.0,1.0878946715411675
"53.57426,-2.37331","53.60681,-2.47976",9:59,14750.0,7550.0,9577.76,inf,7550.0,2723.0,802.0,7.90318875627695
"53.60533,-2.44638","53.59506,-2.43186",7:57,9032.0,1832.0,2334.86,inf,1832.0,603.0,246.0,1.490656185018332
"53.59147,-2.58398","53.54246,-2.42578",6:22,14300.0,10700.0,13779.6,inf,10700.0,3877.0,864.0,11.782991102525617
"53.56215,-2.46694","53.60813,-2.51519",7:33,9140.0,5540.0,7066.71,inf,5540.0,1853.0,653.0,6.023599405638579
"53.56043,-2.42303","53.57193,-2.33834",6:32,12592.0,5392.0,6864.0,inf,5392.0,1859.0,729.0,5.737081867671341
"53.56673,-2.45563","53.61682,-2.4269",9:49,13826.0,6626.0,8191.76,inf,6626.0,2242.0,828.0,5.883658659778312
"53.5415,-2.55838","53.57202,-2.52845",8:47,11016.0,3816.0,4967.69,inf,3816.0,1262.0,552.0,3.9275118465161656
"53.56255,-2.38175","53.60438,-2.46727",7:09,13843.0,6643.0,8461.99,inf,6643.0,2583.0,647.0,7.314601300303965
"53.54396,-2.52985","53.62502,-2.46753",8:32,16943.0,9743.0,12533.24,inf,9743.0,3183.0,929.0,9.907826610538741
"53.62229,-2.41542","53.57146,-2.58164",7:46,18988.0,11788.0,14974.6,inf,11788.0,3607.0,1353.0,12.339426891824175
"53.57565,-2.4972","53.54808,-2.46887",7:32,8107.0,4507.0,5728.08,inf,4507.0,1249.0,505.0,3.591516459810903
"53.53438,-2.35811","53.55945,-2.46268",9:47,14095.0,6895.0,8737.51,inf,6895.0,2534.0,818.0,7.4499442866526255
"53.57923,-2.41227","53.61571,-2.61445",9:25,19564.0,12364.0,15858.5,inf,12364.0,4434.0,1226.0,13.944697541968388
"53.55818,-2.43461","53.56064,-2.59613",6:19,17509.0,10309.0,13127.38,inf,10309.0,3759.0,1026.0,10.671667015080764
"53.60479,-2.42555","53.63226,-2.5002",6:14,9173.0,5573.0,7220.88,inf,5573.0,1612.0,642.0,5.79415845884849
"53.57687,-2.46366","53.61713,-2.60385",6:36,16200.0,9000.0,11614.6,inf,9000.0,3449.0,914.0,10.277355859680473
"53.59466,-2.53032","53.62326,-2.35811",6:32,15158.0,11558.0,14764.3,inf,11558.0,3510.0,1355.0,11.797600669080863
"53.61536,-2.40942","53.5936,-2.60553",8:16,19714.0,12514.0,15885.78,inf,12514.0,4277.0,1356.0,13.163264597675031
"53.59214,-2.56988","53.53794,-2.39192",9:04,15895.0,12295.0,15796.94,inf,12295.0,4074.0,629.0,13.20763161796895
"53.58973,-2.43808","53.53111,-2.33813",6:49,11853.0,8253.0,10501.55,inf,8253.0,2644.0,755.0,9.277172640790724
"53.60433,-2.39756","53.52893,-2.47734",8:55,18266.0,11066.0,13824.13,inf,11066.0,3589.0,1141.0,9.90200358497063
"53.57534,-2.50859","53.61998,-2.48834",7:03,12736.0,5536.0,7221.88,inf,5536.0,1860.0,700.0,5.140462696607529
"53.54526,-2.38204","53.56247,-2.57411",8:02,18814.0,11614.0,14901.2,inf,11614.0,4170.0,1065.0,12.831111926159974
"53.57429,-2.55962","53.64472,-2.36124",7:20,,,,,,5160.0,1464.0,15.251429316546345
"53.56152,-2.55813","53.52871,-2.60076",7:39,11952.0,4752.0,6038.3,inf,4752.0,1553.0,737.0,4.6090535690643915
